Sample	Spirochaetia	Actinomycetes	Gammaproteobacteria	Bacilli	Betaproteobacteria	Other	Unclassified
UCT113H	250.0	0.0	0.0	0.0	0.0	0.0	3.0
UCT113H_kraken2	250.0	0.0	0.0	0.0	0.0	0.0	3.0
UCT30H	88.0	0.0	0.0	0.0	0.0	0.0	1.0
UCT30H_kraken2	88.0	0.0	0.0	0.0	0.0	0.0	1.0
UCT32H	56.0	0.0	0.0	0.0	0.0	0.0	1.0
UCT32H_kraken2	56.0	0.0	0.0	0.0	0.0	0.0	1.0
UCT35H	30.0	0.0	0.0	0.0	0.0	0.0	3.0
UCT35H_kraken2	30.0	0.0	0.0	0.0	0.0	0.0	3.0
UCT50H	86.0	0.0	0.0	0.0	0.0	0.0	4.0
UCT50H_kraken2	86.0	0.0	0.0	0.0	0.0	0.0	4.0
UCT92H	61.0	0.0	0.0	0.0	0.0	0.0	1.0
UCT92H_kraken2	61.0	0.0	0.0	0.0	0.0	0.0	1.0
UNY1083P	144.0	3.0	4.0	3.0	1.0	2.0	69.0
UNY1083P_kraken2	144.0	3.0	4.0	3.0	1.0	2.0	69.0
UNY1128P	253.0	8.0	1.0	0.0	0.0	1.0	14.0
UNY1128P_kraken2	253.0	8.0	1.0	0.0	0.0	1.0	14.0
URI112H	83.0	0.0	0.0	0.0	0.0	0.0	2.0
URI112H_kraken2	83.0	0.0	0.0	0.0	0.0	0.0	2.0
URI117H	158.0	0.0	0.0	0.0	0.0	0.0	2.0
URI117H_kraken2	158.0	0.0	0.0	0.0	0.0	0.0	2.0
URI33H	43.0	0.0	0.0	0.0	0.0	0.0	1.0
URI33H_kraken2	43.0	0.0	0.0	0.0	0.0	0.0	1.0
URI34H	78.0	0.0	0.0	0.0	0.0	0.0	1.0
URI34H_kraken2	78.0	0.0	0.0	0.0	0.0	0.0	1.0
URI36H	49.0	0.0	0.0	0.0	0.0	0.0	4.0
URI36H_kraken2	49.0	0.0	0.0	0.0	0.0	0.0	4.0
URI40H	81.0	0.0	0.0	0.0	0.0	0.0	1.0
URI40H_kraken2	81.0	0.0	0.0	0.0	0.0	0.0	1.0
URI44H	74.0	0.0	0.0	0.0	0.0	0.0	1.0
URI44H_kraken2	74.0	0.0	0.0	0.0	0.0	0.0	1.0
URI45H	345.0	0.0	1.0	1.0	0.0	0.0	3.0
URI45H_kraken2	345.0	0.0	1.0	1.0	0.0	0.0	3.0
URI46H	94.0	0.0	0.0	0.0	0.0	0.0	1.0
URI46H_kraken2	94.0	0.0	0.0	0.0	0.0	0.0	1.0
URI48H	21.0	0.0	0.0	0.0	0.0	0.0	1.0
URI48H_kraken2	21.0	0.0	0.0	0.0	0.0	0.0	1.0
URI89H	84.0	0.0	0.0	0.0	0.0	0.0	1.0
URI89H_kraken2	84.0	0.0	0.0	0.0	0.0	0.0	1.0
XYZ459H	22.0	0.0	0.0	0.0	0.0	0.0	2.0
XYZ459H_kraken2	22.0	0.0	0.0	0.0	0.0	0.0	2.0
