Sample	Borreliella burgdorferi	Borreliella bissettiae	Borreliella mayonii	Borreliella valaisiana	Borreliella garinii	Other	Unclassified
UCT113H	209.0	2.0	1.0	0.0	0.0	38.0	3.0
UCT113H_kraken2	209.0	2.0	1.0	0.0	0.0	38.0	3.0
UCT30H	74.0	0.0	2.0	0.0	0.0	12.0	1.0
UCT30H_kraken2	74.0	0.0	2.0	0.0	0.0	12.0	1.0
UCT32H	49.0	0.0	0.0	0.0	0.0	7.0	1.0
UCT32H_kraken2	49.0	0.0	0.0	0.0	0.0	7.0	1.0
UCT35H	26.0	0.0	0.0	0.0	3.0	1.0	3.0
UCT35H_kraken2	26.0	0.0	0.0	0.0	3.0	1.0	3.0
UCT50H	65.0	3.0	2.0	0.0	0.0	16.0	4.0
UCT50H_kraken2	65.0	3.0	2.0	0.0	0.0	16.0	4.0
UCT92H	59.0	1.0	0.0	0.0	0.0	1.0	1.0
UCT92H_kraken2	59.0	1.0	0.0	0.0	0.0	1.0	1.0
UNY1083P	127.0	1.0	0.0	0.0	0.0	29.0	69.0
UNY1083P_kraken2	127.0	1.0	0.0	0.0	0.0	29.0	69.0
UNY1128P	210.0	0.0	0.0	0.0	1.0	52.0	14.0
UNY1128P_kraken2	210.0	0.0	0.0	0.0	1.0	52.0	14.0
URI112H	70.0	2.0	1.0	0.0	0.0	10.0	2.0
URI112H_kraken2	70.0	2.0	1.0	0.0	0.0	10.0	2.0
URI117H	135.0	2.0	0.0	0.0	0.0	21.0	2.0
URI117H_kraken2	135.0	2.0	0.0	0.0	0.0	21.0	2.0
URI33H	40.0	0.0	1.0	0.0	0.0	2.0	1.0
URI33H_kraken2	40.0	0.0	1.0	0.0	0.0	2.0	1.0
URI34H	67.0	0.0	1.0	0.0	0.0	10.0	1.0
URI34H_kraken2	67.0	0.0	1.0	0.0	0.0	10.0	1.0
URI36H	39.0	0.0	0.0	8.0	1.0	1.0	4.0
URI36H_kraken2	39.0	0.0	0.0	8.0	1.0	1.0	4.0
URI40H	59.0	2.0	1.0	1.0	0.0	18.0	1.0
URI40H_kraken2	59.0	2.0	1.0	1.0	0.0	18.0	1.0
URI44H	57.0	2.0	2.0	0.0	0.0	13.0	1.0
URI44H_kraken2	57.0	2.0	2.0	0.0	0.0	13.0	1.0
URI45H	284.0	5.0	3.0	0.0	2.0	53.0	3.0
URI45H_kraken2	284.0	5.0	3.0	0.0	2.0	53.0	3.0
URI46H	83.0	2.0	1.0	0.0	0.0	8.0	1.0
URI46H_kraken2	83.0	2.0	1.0	0.0	0.0	8.0	1.0
URI48H	21.0	0.0	0.0	0.0	0.0	0.0	1.0
URI48H_kraken2	21.0	0.0	0.0	0.0	0.0	0.0	1.0
URI89H	63.0	1.0	1.0	1.0	0.0	18.0	1.0
URI89H_kraken2	63.0	1.0	1.0	1.0	0.0	18.0	1.0
XYZ459H	19.0	1.0	1.0	0.0	1.0	0.0	2.0
XYZ459H_kraken2	19.0	1.0	1.0	0.0	1.0	0.0	2.0
