Sample	U	R	P	C	O	F	G	S	K
UCT113H	{'unclassified': 3}	{'root': 250}	{'Spirochaetota': 250}	{'Spirochaetia': 250}	{'Spirochaetales': 250}	{'Borreliaceae': 250}	{'Borreliella': 250}	{'Borreliella burgdorferi': 209, 'Borreliella carolinensis': 3, 'Borreliella bissettiae': 2, 'Borreliella mayonii': 1}	
UCT113H_kraken2	{'unclassified': 3}	{'root': 250}	{'Spirochaetota': 250}	{'Spirochaetia': 250}	{'Spirochaetales': 250}	{'Borreliaceae': 250}	{'Borreliella': 250}	{'Borreliella burgdorferi': 209, 'Borreliella carolinensis': 3, 'Borreliella bissettiae': 2, 'Borreliella mayonii': 1}	
UCT30H	{'unclassified': 1}	{'root': 88}	{'Spirochaetota': 88}	{'Spirochaetia': 88}	{'Spirochaetales': 88}	{'Borreliaceae': 88}	{'Borreliella': 88}	{'Borreliella burgdorferi': 74, 'Borreliella mayonii': 2, 'Borreliella carolinensis': 1}	
UCT30H_kraken2	{'unclassified': 1}	{'root': 88}	{'Spirochaetota': 88}	{'Spirochaetia': 88}	{'Spirochaetales': 88}	{'Borreliaceae': 88}	{'Borreliella': 88}	{'Borreliella burgdorferi': 74, 'Borreliella mayonii': 2, 'Borreliella carolinensis': 1}	
UCT32H	{'unclassified': 1}	{'root': 56}	{'Spirochaetota': 56}	{'Spirochaetia': 56}	{'Spirochaetales': 56}	{'Borreliaceae': 56}	{'Borreliella': 56}	{'Borreliella burgdorferi': 49}	
UCT32H_kraken2	{'unclassified': 1}	{'root': 56}	{'Spirochaetota': 56}	{'Spirochaetia': 56}	{'Spirochaetales': 56}	{'Borreliaceae': 56}	{'Borreliella': 56}	{'Borreliella burgdorferi': 49}	
UCT35H	{'unclassified': 3}	{'root': 30}	{'Spirochaetota': 30}	{'Spirochaetia': 30}	{'Spirochaetales': 30}	{'Borreliaceae': 30}	{'Borreliella': 30}	{'Borreliella burgdorferi': 26, 'Borreliella garinii': 3}	
UCT35H_kraken2	{'unclassified': 3}	{'root': 30}	{'Spirochaetota': 30}	{'Spirochaetia': 30}	{'Spirochaetales': 30}	{'Borreliaceae': 30}	{'Borreliella': 30}	{'Borreliella burgdorferi': 26, 'Borreliella garinii': 3}	
UCT50H	{'unclassified': 4}	{'root': 86}	{'Spirochaetota': 86}	{'Spirochaetia': 86}	{'Spirochaetales': 86}	{'Borreliaceae': 86}	{'Borreliella': 86}	{'Borreliella burgdorferi': 65, 'Borreliella bissettiae': 3, 'Borreliella mayonii': 2}	
UCT50H_kraken2	{'unclassified': 4}	{'root': 86}	{'Spirochaetota': 86}	{'Spirochaetia': 86}	{'Spirochaetales': 86}	{'Borreliaceae': 86}	{'Borreliella': 86}	{'Borreliella burgdorferi': 65, 'Borreliella bissettiae': 3, 'Borreliella mayonii': 2}	
UCT92H	{'unclassified': 1}	{'root': 61}	{'Spirochaetota': 61}	{'Spirochaetia': 61}	{'Spirochaetales': 61}	{'Borreliaceae': 61}	{'Borreliella': 61}	{'Borreliella burgdorferi': 59, 'Borreliella bissettiae': 1}	
UCT92H_kraken2	{'unclassified': 1}	{'root': 61}	{'Spirochaetota': 61}	{'Spirochaetia': 61}	{'Spirochaetales': 61}	{'Borreliaceae': 61}	{'Borreliella': 61}	{'Borreliella burgdorferi': 59, 'Borreliella bissettiae': 1}	
UNY1083P	{'unclassified': 69}	{'root': 157}	{'Spirochaetota': 144, 'Bacillota': 3, 'Actinomycetota': 3, 'Pseudomonadota': 5, 'Artverviricota': 1}	{'Spirochaetia': 144, 'Bacilli': 3, 'Actinomycetes': 3, 'Gammaproteobacteria': 4, 'Betaproteobacteria': 1, 'Revtraviricetes': 1}	{'Spirochaetales': 144, 'Bacillales': 3, 'Propionibacteriales': 2, 'Mycobacteriales': 1, 'Pseudomonadales': 2, 'Enterobacterales': 2, 'Burkholderiales': 1, 'Ortervirales': 1}	{'Borreliaceae': 144, 'Bacillaceae': 3, 'Propionibacteriaceae': 2, 'Corynebacteriaceae': 1, 'Pseudomonadaceae': 2, 'Enterobacteriaceae': 1, 'Yersiniaceae': 1, 'Comamonadaceae': 1, 'Retroviridae': 1}	{'Borreliella': 144, 'Bacillus': 3, 'Cutibacterium': 2, 'Corynebacterium': 1, 'Pseudomonas': 2, 'Klebsiella': 1, 'Serratia': 1, 'Limnohabitans': 1}	{'Borreliella burgdorferi': 127, 'Borreliella bavariensis': 1, 'Borreliella bissettiae': 1, 'Bacillus thuringiensis': 2, 'Bacillus paralicheniformis': 1, 'Cutibacterium acnes': 2, 'Corynebacterium amycolatum': 1, 'Pseudomonas sp. R76': 1, 'Pseudomonas sp. OE 28.3': 1, 'Klebsiella pneumoniae': 1, 'Serratia sp. JSRIV006': 1, 'Limnohabitans sp. 103DPR2': 1, 'Human endogenous retrovirus K': 1}	{'Pararnavirae': 1}
UNY1083P_kraken2	{'unclassified': 69}	{'root': 157}	{'Spirochaetota': 144, 'Bacillota': 3, 'Actinomycetota': 3, 'Pseudomonadota': 5, 'Artverviricota': 1}	{'Spirochaetia': 144, 'Bacilli': 3, 'Actinomycetes': 3, 'Gammaproteobacteria': 4, 'Betaproteobacteria': 1, 'Revtraviricetes': 1}	{'Spirochaetales': 144, 'Bacillales': 3, 'Propionibacteriales': 2, 'Mycobacteriales': 1, 'Pseudomonadales': 2, 'Enterobacterales': 2, 'Burkholderiales': 1, 'Ortervirales': 1}	{'Borreliaceae': 144, 'Bacillaceae': 3, 'Propionibacteriaceae': 2, 'Corynebacteriaceae': 1, 'Pseudomonadaceae': 2, 'Enterobacteriaceae': 1, 'Yersiniaceae': 1, 'Comamonadaceae': 1, 'Retroviridae': 1}	{'Borreliella': 144, 'Bacillus': 3, 'Cutibacterium': 2, 'Corynebacterium': 1, 'Pseudomonas': 2, 'Klebsiella': 1, 'Serratia': 1, 'Limnohabitans': 1}	{'Borreliella burgdorferi': 127, 'Borreliella bavariensis': 1, 'Borreliella bissettiae': 1, 'Bacillus thuringiensis': 2, 'Bacillus paralicheniformis': 1, 'Cutibacterium acnes': 2, 'Corynebacterium amycolatum': 1, 'Pseudomonas sp. R76': 1, 'Pseudomonas sp. OE 28.3': 1, 'Klebsiella pneumoniae': 1, 'Serratia sp. JSRIV006': 1, 'Limnohabitans sp. 103DPR2': 1, 'Human endogenous retrovirus K': 1}	{'Pararnavirae': 1}
UNY1128P	{'unclassified': 14}	{'root': 263}	{'Spirochaetota': 253, 'Actinomycetota': 8, 'Pseudomonadota': 2}	{'Spirochaetia': 253, 'Actinomycetes': 8, 'Gammaproteobacteria': 1, 'Alphaproteobacteria': 1}	{'Spirochaetales': 253, 'Mycobacteriales': 4, 'Propionibacteriales': 4, 'Pseudomonadales': 1, 'Caulobacterales': 1}	{'Borreliaceae': 253, 'Mycobacteriaceae': 2, 'Corynebacteriaceae': 1, 'Nocardiaceae': 1, 'Propionibacteriaceae': 4, 'Pseudomonadaceae': 1, 'Caulobacteraceae': 1}	{'Borreliella': 253, 'Mycobacterium': 1, 'Mycolicibacterium': 1, 'Corynebacterium': 1, 'Rhodococcus': 1, 'Cutibacterium': 4, 'Pseudomonas': 1, 'Brevundimonas': 1}	{'Borreliella burgdorferi': 210, 'Borreliella garinii': 1, 'Candidatus Mycobacterium wuenschmannii': 1, 'Mycolicibacterium parafortuitum': 1, 'Corynebacterium amycolatum': 1, 'Rhodococcus fascians': 1, 'Cutibacterium acnes': 4, 'Pseudomonas fluorescens': 1, 'Brevundimonas sp. PAMC22021': 1}	
