Module	Section	Sample Name	Source
QUAST	all_sections	GCA_030439625.1_ASM3043962v1_genomic	/home/mf019/longread_pangenome/expanded_dataset_analysis/reports/quast/GCA_030439625.1_ASM3043962v1_genomic/report.tsv
QUAST	all_sections	GCA_032595535.1_ASM3259553v1_genomic	/home/mf019/longread_pangenome/expanded_dataset_analysis/reports/quast/GCA_032595535.1_ASM3259553v1_genomic/report.tsv
QUAST	all_sections	GCF_000172295.2_ASM17229v2_genomic	/home/mf019/longread_pangenome/expanded_dataset_analysis/reports/quast/GCF_000172295.2_ASM17229v2_genomic/report.tsv
QUAST	all_sections	GCF_000181715.2_ASM18171v2_genomic	/home/mf019/longread_pangenome/expanded_dataset_analysis/reports/quast/GCF_000181715.2_ASM18171v2_genomic/report.tsv
QUAST	all_sections	GCF_040790765.1_ASM4079076v1_genomic	/home/mf019/longread_pangenome/expanded_dataset_analysis/reports/quast/GCF_040790765.1_ASM4079076v1_genomic/report.tsv
QUAST	all_sections	URI45H	/home/mf019/longread_pangenome/expanded_dataset_analysis/reports/quast/URI45H/report.tsv
QUAST	all_sections	GCF_002151465.1_ASM215146v1_genomic	/home/mf019/longread_pangenome/expanded_dataset_analysis/reports/quast/GCF_002151465.1_ASM215146v1_genomic/report.tsv
QUAST	all_sections	URI87H	/home/mf019/longread_pangenome/expanded_dataset_analysis/reports/quast/URI87H/report.tsv
QUAST	all_sections	URI34H	/home/mf019/longread_pangenome/expanded_dataset_analysis/reports/quast/URI34H/report.tsv
QUAST	all_sections	URI88H	/home/mf019/longread_pangenome/expanded_dataset_analysis/reports/quast/URI88H/report.tsv
QUAST	all_sections	GCA_030445025.1_ASM3044502v1_genomic	/home/mf019/longread_pangenome/expanded_dataset_analysis/reports/quast/GCA_030445025.1_ASM3044502v1_genomic/report.tsv
QUAST	all_sections	URI33H	/home/mf019/longread_pangenome/expanded_dataset_analysis/reports/quast/URI33H/report.tsv
QUAST	all_sections	GCA_002151465.1_ASM215146v1_genomic	/home/mf019/longread_pangenome/expanded_dataset_analysis/reports/quast/GCA_002151465.1_ASM215146v1_genomic/report.tsv
QUAST	all_sections	GCA_002442595.2_ASM244259v2_genomic	/home/mf019/longread_pangenome/expanded_dataset_analysis/reports/quast/GCA_002442595.2_ASM244259v2_genomic/report.tsv
QUAST	all_sections	UCT110H	/home/mf019/longread_pangenome/expanded_dataset_analysis/reports/quast/UCT110H/report.tsv
QUAST	all_sections	URI39H	/home/mf019/longread_pangenome/expanded_dataset_analysis/reports/quast/URI39H/report.tsv
QUAST	all_sections	URI91H	/home/mf019/longread_pangenome/expanded_dataset_analysis/reports/quast/URI91H/report.tsv
QUAST	all_sections	GCA_024662155.1_ASM2466215v1_genomic	/home/mf019/longread_pangenome/expanded_dataset_analysis/reports/quast/GCA_024662155.1_ASM2466215v1_genomic/report.tsv
QUAST	all_sections	GCA_019464575.1_ASM1946457v1_genomic	/home/mf019/longread_pangenome/expanded_dataset_analysis/reports/quast/GCA_019464575.1_ASM1946457v1_genomic/report.tsv
QUAST	all_sections	GCF_000181575.2_ASM18157v2_genomic	/home/mf019/longread_pangenome/expanded_dataset_analysis/reports/quast/GCF_000181575.2_ASM18157v2_genomic/report.tsv
QUAST	all_sections	GCA_040790775.1_ASM4079077v1_genomic	/home/mf019/longread_pangenome/expanded_dataset_analysis/reports/quast/GCA_040790775.1_ASM4079077v1_genomic/report.tsv
QUAST	all_sections	UCT35H	/home/mf019/longread_pangenome/expanded_dataset_analysis/reports/quast/UCT35H/report.tsv
QUAST	all_sections	UWI247P	/home/mf019/longread_pangenome/expanded_dataset_analysis/reports/quast/UWI247P/report.tsv
QUAST	all_sections	URI120H	/home/mf019/longread_pangenome/expanded_dataset_analysis/reports/quast/URI120H/report.tsv
QUAST	all_sections	URI107H	/home/mf019/longread_pangenome/expanded_dataset_analysis/reports/quast/URI107H/report.tsv
QUAST	all_sections	GCF_002151505.1_ASM215150v1_genomic	/home/mf019/longread_pangenome/expanded_dataset_analysis/reports/quast/GCF_002151505.1_ASM215150v1_genomic/report.tsv
QUAST	all_sections	UWI263P	/home/mf019/longread_pangenome/expanded_dataset_analysis/reports/quast/UWI263P/report.tsv
QUAST	all_sections	GCF_040790795.1_ASM4079079v1_genomic	/home/mf019/longread_pangenome/expanded_dataset_analysis/reports/quast/GCF_040790795.1_ASM4079079v1_genomic/report.tsv
QUAST	all_sections	GCF_040790785.1_ASM4079078v1_genomic	/home/mf019/longread_pangenome/expanded_dataset_analysis/reports/quast/GCF_040790785.1_ASM4079078v1_genomic/report.tsv
QUAST	all_sections	GCA_002151505.1_ASM215150v1_genomic	/home/mf019/longread_pangenome/expanded_dataset_analysis/reports/quast/GCA_002151505.1_ASM215150v1_genomic/report.tsv
QUAST	all_sections	URI89H	/home/mf019/longread_pangenome/expanded_dataset_analysis/reports/quast/URI89H/report.tsv
QUAST	all_sections	URI42H	/home/mf019/longread_pangenome/expanded_dataset_analysis/reports/quast/URI42H/report.tsv
QUAST	all_sections	GCA_024662175.1_ASM2466217v1_genomic	/home/mf019/longread_pangenome/expanded_dataset_analysis/reports/quast/GCA_024662175.1_ASM2466217v1_genomic/report.tsv
