All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     ESI26H
# misassemblies              14    
  # contig misassemblies     14    
    # c. relocations         4     
    # c. translocations      10    
    # c. inversions          0     
  # scaffold misassemblies   0     
    # s. relocations         0     
    # s. translocations      0     
    # s. inversions          0     
# misassembled contigs       6     
Misassembled contigs length  157202
# local misassemblies        4     
# scaffold gap ext. mis.     0     
# scaffold gap loc. mis.     0     
# unaligned mis. contigs     0     
# mismatches                 5496  
# indels                     358   
    # indels (<= 5 bp)       320   
    # indels (> 5 bp)        38    
Indels length                1826  
