All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     UCT32H 
# misassemblies              28     
  # contig misassemblies     28     
    # c. relocations         5      
    # c. translocations      22     
    # c. inversions          1      
  # scaffold misassemblies   0      
    # s. relocations         0      
    # s. translocations      0      
    # s. inversions          0      
# misassembled contigs       13     
Misassembled contigs length  1252893
# local misassemblies        14     
# scaffold gap ext. mis.     0      
# scaffold gap loc. mis.     0      
# unaligned mis. contigs     4      
# mismatches                 12004  
# indels                     747    
    # indels (<= 5 bp)       681    
    # indels (> 5 bp)        66     
Indels length                3900   
