All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     URI33H
# misassemblies              18    
  # contig misassemblies     18    
    # c. relocations         5     
    # c. translocations      11    
    # c. inversions          2     
  # scaffold misassemblies   0     
    # s. relocations         0     
    # s. translocations      0     
    # s. inversions          0     
# misassembled contigs       7     
Misassembled contigs length  213190
# local misassemblies        14    
# scaffold gap ext. mis.     0     
# scaffold gap loc. mis.     0     
# unaligned mis. contigs     2     
# mismatches                 9559  
# indels                     608   
    # indels (<= 5 bp)       527   
    # indels (> 5 bp)        81    
Indels length                5663  
