All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     UWI263P
# misassemblies              25     
  # contig misassemblies     25     
    # c. relocations         3      
    # c. translocations      22     
    # c. inversions          0      
  # scaffold misassemblies   0      
    # s. relocations         0      
    # s. translocations      0      
    # s. inversions          0      
# misassembled contigs       9      
Misassembled contigs length  286890 
# local misassemblies        13     
# scaffold gap ext. mis.     0      
# scaffold gap loc. mis.     0      
# unaligned mis. contigs     4      
# mismatches                 10256  
# indels                     641    
    # indels (<= 5 bp)       579    
    # indels (> 5 bp)        62     
Indels length                2238   
