"Isolate"	"ST"	"New ST"	"Contamination"	"clpA"	"clpX"	"nifS"	"pepX"	"pyrG"	"recG"	"rplB"	"uvrA"
"5A18NP1-JBb08-A"	"1"	""	"uvrA_1,uvrA_1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"5A18NP1-JBb08-B"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"UNY147_200"	"14~"	"Unknown"	""	"U"	"1"	"U"	"7"	"1"	"6"	"1"	"10"
"5A18NP1-JBb08-C"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"5A18NP1-JBb08-E"	"1"	""	"uvrA_1,uvrA_1,uvrA_1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"K2"	"1"	""	"uvrA_1,uvrA_1,uvrA_1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"5A18NP1-JBb08-D"	"1"	""	"uvrA_1,uvrA_1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"5A4"	"1"	""	"uvrA_1,uvrA_1~"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"UNY201_200"	"14~"	"Unknown"	""	"U"	"1"	"1~"	"7"	"1"	"6"	"1"	"10"
"UNY210_200"	"18~"	"Unknown"	""	"7"	"6"	"U"	"1"	"1"	"5"	"5"	"5"
"UNY218_200"	"18~"	"Unknown"	""	"7"	"6"	"U"	"1"	"1"	"5"	"5"	"5"
"UWI272_200"	"55~"	"Unknown"	""	"U"	"1"	"U"	"20"	"2"	"1"	"U"	"10"
"UNY196_200"	"15"	""	""	"2"	"2"	"4"	"2"	"2"	"2"	"2"	"2"
"BG001_C7"	"1~"	"Unknown"	""	"1"	"1"	"1"	"1"	"1"	"1"	"1~"	"1~"
"ESI322_200"	"24"	""	""	"15"	"9"	"12"	"8"	"1"	"11"	"8"	"16"
"UWI257_200"	"232~"	"Unknown"	""	"25"	"3"	"U"	"3"	"3"	"21"	"6"	"2"
"UWI273_200"	"55"	""	""	"23"	"1"	"17"	"20"	"2"	"1"	"1"	"10"
"UNY214_200"	"40~"	"Unknown"	""	"22~"	"1"	"5"	"8"	"1"	"18"	"11"	"10"
"ESI295_200"	"24"	""	""	"15"	"9"	"12"	"8"	"1"	"11"	"8"	"16"
"ESI300_200"	"24"	""	""	"15"	"9"	"12"	"8"	"1"	"11"	"8"	"16"
"UWI276_200"	"410~"	"Unknown"	""	"4"	"U"	"3"	"3"	"3"	"21"	"6"	"104"
"ESI323_200"	"799"	""	""	"15"	"9"	"12"	"223"	"1"	"11"	"8"	"16"
