refseq_id	old_name
BB_RS00005	BB_0001
BB_RS00010	BB_0002
BB_RS00015	BB_0003
BB_RS00020	BB_0004
BB_RS00025	BB_0005
BB_RS00030	BB_0006
BB_RS00035	BB_0007
BB_RS00040	BB_0008
BB_RS00045	BB_0009
BB_RS00050	BB_0010
BB_RS00055	BB_0011
BB_RS00060	BB_0012
BB_RS00065	BB_0013
BB_RS00070	BB_0014
BB_RS00075	BB_0015
BB_RS00080	BB_0016
BB_RS00085	BB_0017
BB_RS00090	BB_0018
BB_RS00095	BB_0019
BB_RS00100	BB_0020
BB_RS00105	BB_0021
BB_RS00110	BB_0022
BB_RS00115	BB_0023
BB_RS00120	BB_0024
BB_RS00125	BB_0025
BB_RS00130	BB_0026
BB_RS00135	BB_0027
BB_RS00140	BB_0028
BB_RS00145	BB_0029
BB_RS00150	BB_0030
BB_RS00155	BB_0031
BB_RS00160	BB_0032
BB_RS00165	BB_0033
BB_RS00170	BB_0034
BB_RS00175	BB_0035
BB_RS00180	BB_0036
BB_RS00185	BB_0037
BB_RS00190	BB_0038
BB_RS00195	BB_0039
BB_RS00200	BB_0040
BB_RS00205	BB_0042
BB_RS00210	BB_0043
BB_RS00215	BB_0044
BB_RS00220	BB_0045
BB_RS00225	BB_0046
BB_RS00230	BB_0047
BB_RS00235	BB_t25
BB_RS00245	BB_0050
BB_RS00250	BB_0051
BB_RS00255	BB_0052
BB_RS00260	BB_0053
BB_RS00265	BB_0054
BB_RS00270	BB_0055
BB_RS00275	BB_0056
BB_RS00280	BB_0057
BB_RS00285	BB_0058
BB_RS00290	BB_0059
BB_RS00295	BB_0060
BB_RS00300	BB_0061
BB_RS00305	BB_0062
BB_RS00310	BB_0063
BB_RS00315	BB_0064
BB_RS00320	BB_0065
BB_RS00325	BB_0066
BB_RS00330	BB_0067
BB_RS00335	BB_0068
BB_RS00340	BB_0069
BB_RS00345	BB_0070
BB_RS00350	BB_0071
BB_RS00355	BB_0072
BB_RS00360	BB_0073
BB_RS00365	BB_0074
BB_RS00370	BB_0075
