Isolate,MLST,RST_Type,Source,Origin,Location,skin/blood_pairs,Disseminated,method,OspC_Type,AT_type
5A18NP1-JBb08-A,1,,culture,US,NY,,,nanopore,A,AT1
UNY147,34,3.0,,US,NY,,L,illumina,J,
5A18NP1-JBb08-C,1,,culture,US,NY,,,nanopore,A,AT1
5A18NP1-JBb08-B,1,,culture,US,NY,,,nanopore,A,AT1
5A18NP1-JBb08-E,1,,culture,US,NY,,,nanopore,A,AT1
B31-K2,1,,culture,US,NY,,,nanopore,A,AT1
B31-5A4,1,,culture,US,NY,,,nanopore,A,AT1
5A18NP1-JBb08-D,1,,culture,US,NY,,,nanopore,A,AT1
UNY218,37,3.0,,US,NY,,L,illumina,T,AT14
UNY201,34,3.0,,US,NY,,D,illumina,J,AT10
UWI272,55,1.0,,US,WI,,D,illumina,A,AT1
UNY210,18,3.0,,US,NY,,L,illumina,U,AT15
UNY196,15,3.0,,US,NY,,D,illumina,I,AT9
BG001_C7,1,,culture,US,NY,,,nanopore,A,AT1
UNY214,40,3.0,,US,NY,,L,illumina,E3,AT16
UWI273,55,3.0,,US,WI,,L,illumina,C,AT3
UWI267,222,3.0,,US,WI,,L,illumina,U,AT15
UWI252,29,2.0,,US,WI,,D,illumina,L,AT10
ESI300,24,3.0,,EU,Slovenia,,,illumina,L,AT10
UWI257,232,3.0,,US,WI,,L,illumina,B3,AT11
ESI322,24,3.0,,EU,Slovenia,,,illumina,L,AT10
UWI276,410,2.0,,US,WI,,D,illumina,N,AT13
ESI295,24,3.0,,EU,Slovenia,,,illumina,L,AT10
EU57_B190413,20,,,,,,,hybrid,M,AT7
ESI299,24,1.0,,EU,Slovenia,,,illumina,S,AT3
ESI311,24,3.0,,EU,Slovenia,,,illumina,L,AT10
ESI323,799,3.0,,EU,Slovenia,,,illumina,L,AT10
UNY171,8,2.0,,US,NY,,L,illumina,F,AT6
UNY216,12,3.0,,US,NY,,D,illumina,M,AT12
UWI263,29,2.0,,US,WI,,L,illumina,L,AT10
ESI28,284,1.0,,EU,Slovenia,,,illumina,R,AT7
ESI309,20,1.0,,EU,Slovenia,,,illumina,S,AT7
UWI237,229,3.0,,US,WI,,L,illumina,E,AT5
ESI312,New ,3.0,,EU,Slovenia,,,illumina,L,AT10
ESI319,24,3.0,,EU,Slovenia,,,illumina,L,AT10
ESI304,24,3.0,,EU,Slovenia,,,illumina,L,AT10
ESI288a,20,1.0,,EU,Slovenia,,,illumina,S,AT7
ESI284,20,1.0,,EU,Slovenia,,,illumina,R,AT7
N40_HP,12,,culture,US,NY,,,nanopore,M,AT12
ESI292,545,1.0,,EU,Slovenia,,,illumina,B,AT2
UWI240,12,3.0,,US,WI,,D,illumina,M,AT12
UNY203,14,3.0,,US,NY,,L,illumina,G,AT7
UWI230,222,3.0,,US,WI,,D,illumina,U,AT15
L113,24,,,,,,,hybrid,L,AT10
UWI281,223,3.0,,US,WI,,L,illumina,T,AT14
UWI278,32,2.0,,US,WI,,D,illumina,H,AT8
UWI258,232,3.0,,US,WI,,L,illumina,B3,AT11
BB-8,34,,culture,US,NY,,,nanopore,J_os,AT10
UWI221,32,2.0,,US,WI,,L,illumina,H,AT8
UNY213,8,2.0,,US,NY,,L,illumina,F,AT6
UNY199,19,3.0,,US,NY,,L,illumina,E,AT5
ESI316,24,3.0,,EU,Slovenia,,,illumina,L,AT10
UNY137,54,3.0,,US,NY,,L,illumina,O,
UWI235,47,3.0,,US,WI,,L,illumina,U,AT15
UNY138,9,2.0,,US,NY,,L,illumina,N,AT13
UNY207,11,3.0,,US,NY,,D,illumina,C,
UWI268,228,3.0,,US,WI,,L,illumina,I,AT9
UNY167,16,3.0,,US,NY,,L,illumina,I,AT9
XD1,12,,,,,,,hybrid,M,AT12
UWI279,302,2.0,,US,WI,,D,illumina,F,AT6
UWI277,410,2.0,,US,WI,,L,illumina,N,AT13
UWI255,227,3.0,,US,WI,,L,illumina,I,AT9
UNY178,14,3.0,,US,NY,,D,illumina,G,AT7
UNY141,8,2.0,,US,NY,,L,illumina,F,AT6
MR616,14,3.0,Skin,US,NY,,L,pacbio,G,AT7
UNY172,12,3.0,,US,NY,,L,illumina,M,AT12
UNY168,4,2.0,,US,NY,,L,illumina,H,AT8
URI34,38,3.0,,US,RI,,D,illumina,D,
ESI291,545,1.0,,EU,Slovenia,,,illumina,Q,AT2
URI118,3,2.0,,US,RI,,L,illumina,K,AT11
UWI226,221,3.0,,US,WI,,D,illumina,O,AT3
UWI282,55,1.0,,US,WI,,L,illumina,C,AT3
UWI233,48,3.0,,US,WI,,L,illumina,G,AT7
UWI254,32,2.0,,US,WI,,D,illumina,H,AT8
ESI26,20,1.0,,EU,Slovenia,,,illumina,R,AT7
