Isolate,OspC_Type,ospc_newtype,AT_type
5A18NP1-JBb08-A,,A,AT1
UNY147,J,unknown,unknown
5A18NP1-JBb08-C,,A,AT1
5A18NP1-JBb08-B,,A,AT1
5A18NP1-JBb08-E,,A,AT1
B31-K2,,A,AT1
B31-5A4,,A,AT1
5A18NP1-JBb08-D,,A,AT1
UNY218,T,T,AT14
UNY201,J,J,AT10
UWI272,A,A,AT1
UNY210,U,Ub,AT15
UNY196,I,Ia,AT9
BG001_C7,,A,AT1
UNY214,E3,E3,AT16
UWI273,C,C,AT3
UWI267,U,Ub,AT15
UWI252,L,L,Bbis
ESI300,L,L,Bbis
UWI257,B3,B3,Bbis
ESI322,L,L,Bbis
UWI276,N,N,AT13
ESI295,L,L,Bbis
EU57_B190413,,M,Bbis
ESI299,S,C,Bbis
ESI311,L,L,Bbis
ESI323,L,L,Bbis
UNY171,F,Fa,AT6
UNY216,M,M,AT12
UWI263,L,L,Bbis
ESI28,R,M,Bbis
ESI309,S,J,Bbis
UWI237,E,E,AT5
ESI312,L,L,Bbis
ESI319,L,L,Bbis
ESI304,L,L,Bbis
ESI288a,S,J,Bbis
ESI284,R,M,Bbis
N40_HP,,M,AT12
ESI292,B,Bb,AT2
UWI240,M,M,AT12
UNY203,G,G,AT7
UWI230,U,Ub,AT15
L113,,L,Bbis
UWI281,T,T,AT14
UWI278,H,Hb,AT8
UWI258,B3,B3,Bbis
BB-8,,J,AT10
UWI221,H,Hb,AT8
UNY213,F,Fa,AT6
UNY199,E,E,AT5
ESI316,L,L,Bbis
UNY137,O,unknown,unknown
UWI235,U,Ub,AT15
UNY138,N,N,AT13
UNY207,C,unknown,unknown
UWI268,I,Ia,AT9
UNY167,I,Ia,AT9
XD1,,M,AT12
UWI279,F,Fa,AT6
UWI277,N,N,AT13
UWI255,I,Ia,AT9
UNY178,G,G,AT7
UNY141,F,Fa,AT6
MR616,G,G,AT7
UNY172,M,M,AT12
UNY168,H,Hb,AT8
URI34,D,unknown,unknown
ESI291,Q,Bb,AT2
URI118,K,K,AT11
UWI226,O,O,Bbis
UWI282,C,C,AT3
UWI233,G,G,AT7
UWI254,H,Hb,AT8
ESI26,R,M,Bbis
UNY173,D,unknown,unknown
ESI320,Q,C,Bbis
UWI260,F3,F3,Bbis
UNY217,T,T,AT14
UNY144,U,Ub,AT15
UWI264,L,L,Bbis
UWI227,H,Hb,AT8
UNY187,B,Bb,AT2
UWI232,K,K,AT11
UWI283,O,O,Bbis
UWI265,K,K,AT11
UWI231,E3,E3,AT16
ESI303,B,Bb,AT2
UWI222,H,Hb,AT8
UWI269,H,Hb,AT8
UNY166,N,N,AT13
UWI247,H,Hb,AT8
UWI245,E,E,AT5
MC149,O,O,Bbis
UWI253,H,Hb,AT8
UWI220,F,Fb,AT6
UWI229,N,N,AT13
UNY175,G,G,AT7
UNY140,E,E,AT5
UWI280,H,Hb,AT8
URI119,A,A,AT1
UNY160,K,K,AT11
UWI242,A,A,AT1
