Rename_A,Original_Name,Patient Code,OspC_Type,MLST,Location,Origin,RST_Type,OspC_Allele,Disseminated
UMA1,N2,,K,3,Nantucket,US,2,,L
UMA2,N4,,F,8,Nantucket,US,2,,L
UMA3,N7,,K,3,Nantucket,US,2,,L
UMA4,N9,,K,3,Nantucket,US,2,,L
UMA5,N11,,N,36,Nantucket,US,2,,L
,,,,,,,,,
UMA7,N15,,N,36,Nantucket,US,2,,L
UMA8,N17,,A,1,Nantucket,US,1,,D
UMA9,N19,,A,1,Nantucket,US,1,,L
UMA10,N20,,B,797,Nantuchet,US,1,,L
UMA11,N21,,D,38,Nantucket,US,3,,L
UMA12,N23,,A,1,Nantucket,US,1,,L
UMA13,N25,,B,59,Nantucket,US,1,,L
UMA14,N30,,A,1,Nantucket,US,1,,L
UMA15,N31,,K,3,Nantucket,US,2,,L
UMA16,N32,,B,59,Nantucket,US,1,,L
URI17,R5,,B,7,RI,US,1,,D
,,,,,,,,,
URI19,R7,,B,59,RI,US,1,,L
URI20,R8,,G,14,RI,US,3,,L
,,,,,,,,,
URI22,R10,,N,9,RI,US,2,,L
URI23,R11,,K,3,RI,US,2,,L
URI24,R12,,A,1,RI,US,1,,D
,,,,,,,,,
ESI26,EUbbssFN5,B1904/13,R,ST20,Slovenia,EU,1,,
,,,,,,,,,
ESI28,EUBBssDA4,B2526/13,R,284,Slovenia,EU,1,,
UCT29,K1,,A,1,CT,US,1,,D
UCT30,K11,,K,3,CT,US,2,,D
UCT31,K10,,A,1,CT,US,1,,D
UCT32,K15,,K,3,CT,US,2,,D
URI33,K16,,N,9,RI,US,2,,D
URI34,K22,,D,38,RI,US,3,,D
UCT35,K24,,G,14,CT,US,3,,L
URI36,K25,,I,16,RI,US,3,,D
URI37,KA1,,B,59,RI,US,1,,L
URI38,KA6,,T,37,RI,US,3,,L
URI39,K2,,A,1,RI,US,1,,D
URI40,K3,,A,1,RI,US,1,,D
URI41,K6,,A,1,RI,US,1,,L
URI42,K7,,A,1,RI,US,1,,L
URI43,K9,,A,1,RI,US,1,,L
URI44,K12,,K,3,RI,US,2,,D
,,,,,,,,,
URI46,K17,,K,3,RI,US,2,,L
URI47,K18,,K,3,RI,US,2,,L
URI48,K19,,N,9,RI,US,2,,L
URI49,K20,,F,8,RI,US,2,,L
UCT50,K21,,E,19,CT,US,3,,D
UCT51,K23,,I,16,CT,US,3,,L
URI52,K26,,I,16,RI,US,3,,L
URI53,K27,,I,16,RI,US,3,,L
URI54,K28,,G,14,RI,US,3,,L
URI55,K29,,E,19,RI,US,3,,L
URI56,K30,,I,16,RI,US,3,,L
URI57,KA2,,B,59,RI,US,1,,L
URI58,KA3,,I,16,RI,US,3,,L
URI59,KA4,,G,14,RI,US,3,,L
URI60,KA5,,N,9,RI,US,2,,L
URI61,K4,,A,1,RI,US,1,,D
UCT62,K14,,K,3,CT,US,2,,D
URI63,K34,,A,1,RI,US,1,,L
URI64,K40,,K,3,RI,US,2,,L
URI65,K5,,A,1,RI,US,1,,L
UCT66,K8,,A,1,CT,US,1,,D
URI67,K31,,B,59,RI,US,1,,L
URI68,K32,,N,36,RI,US,2,,D
UCT69,K33,,B,59,CT,US,1,,D
URI70,K35,,B,7,RI,US,1,,D
URI71,K36,,K,3,RI,US,2,,D
URI72,K37,,A,1,RI,US,1,,L
UCT73,K38,,K,3,CT,US,2,,D
UCT74,K39,,A,1,CT,US,1,,D
URI75,K41,,A,1,RI,US,1,,D
UCT76,K42,,K,3,CT,US,2,,L
URI77,K43,,K,3,RI,US,2,,D
URI78,K44,,B,59,RI,US,1,,D
URI79,K45,,B,59,RI,US,1,,D
,,,,,,,,,
URI81,K47,,N,,RI,US,2,,D
,,,,,,,,,
UCT83,K49,,K,3,CT,US,2,,L
URI84,K50,,B,59,RI,US,2,,L
URI85,K52,,N,9,RI,US,2,,L
URI86,K56,,K,3,RI,US,2,,L
URI87,K60,,A,,RI,US,1,,D
URI88,K62,,H,4,RI,US,2,,L
URI89,K64,,A,1,RI,US,1,,D
URI90,K68,,N,9,RI,US,2,,D
URI91,K71,,A,1,RI,US,1,,L
UCT92,K72,,K,3,CT,US,2,,L
URI93,K73,,A,1,RI,US,1,,D
URI94,K77,,K,3,RI,US,2,,D
,,,,,,,,,
UCT96,K84,,B,59,CT,US,1,,D
URI97,K51,,K,3,RI,US,2,,L
URI98,K53,,K,3,RI,US,2,,D
URI99,K54,,N,36,RI,US,2,,D
URI100,K55,,B,59,RI,US,1,,L
URI101,K57,,A,1,RI,US,1,,D
URI102,K58,,A,1,RI,US,1,,D
URI103,K59,,K,3,RI,US,2,,L
UCT104,K61,,K,3,CT,US,2,,D
URI105,K63,,A,1,RI,US,1,,D
UCT106,K65,,N,36,CT,US,2,,D
URI107,K66,,A,1,RI,US,1,,D
URI108,K67,,B,59,RI,US,1,,D
UCT109,K69,,A,1,CT,US,1,,L
UCT110,K70,,K,3,CT,US,2,,D
URI111,K74,,A,1,RI,US,1,,D
URI112,K75,,K,3,RI,US,2,,L
UCT113,K76,,H,4,CT,US,2,,D
URI114,K78,,I,16,RI,US,3,,D
UCT115,K79,,H,4,CT,US,2,,D
URI116,K81,,N,36,RI,US,2,,L
URI117,K82,,K,3,RI,US,2,,L
URI118,K83,,K,3,RI,US,2,,L
URI119,K85,,A,1,RI,US,1,,L
URI120,K86,,A,1,RI,US,1,,D
UCT121,K87,,B,59,CT,US,1,,L
URI122,K88,,K,3,RI,US,2,,L
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
UMA127,N14,,C,11,Nantucket,US,3,,L
,,,,,,,,,
UNY129,B5,,A,1,NY,US,1,,L
UNY130,B19,,K,3,NY,US,2,,L
UNY131,B23,,G,50,NY,US,3,,L
UNY132,B26,,I,16,NY,US,3,,L
UNY133,B48,,F,8,NY,US,2,,D
UNY134,B62,,N,36,NY,US,2,,D
UNY135,B68,,I,16,NY,US,3,,L
UNY136,B76,,E,19,NY,US,3,,L
UNY137,B83,,O,54,NY,US,3,Ob,L
UNY138,B93,,N,9,NY,US,2,,L
UNY139,B123,,B,7,NY,US,1,,L
UNY140,B124,,E,19,NY,US,3,,L
UNY141,B156,,F,8,NY,US,2,ospC_AT6,L
UNY142,B157,,G,50,NY,US,3,,L
UNY143,B210,,M,12,NY,US,3,,L
UNY144,B225,,U,18,NY,US,3,,L
UNY145,B229,,A,1,NY,US,1,,L
UNY146,B232,,K,3,NY,US,2,,L
UNY147,B236,,J,34,NY,US,3,ospC_AT10,L
UNY148,B244,,H,4,NY,US,2,,L
UNY149,B247,,K,3,NY,US,2,,D
UNY150,B250,,B,7,NY,US,1,,D
UNY151,B251,,H,4,NY,US,2,Hb,D
UNY152,B252,,U,18,NY,US,3,,L
UNY153,B253,,A,1,NY,US,1,,D
UNY154,B257,,K,3,NY,US,2,,L
UNY155,B258,,K,3,NY,US,2,,L
UNY156,B261,,K,3,NY,US,2,,L
UNY157,B262,,B,59,NY,US,1,,L
UNY158,B266,,G,50,NY,US,3,,L
UNY159,B269,,U,18,NY,US,3,,L
UNY160,B272,,K,3,NY,US,2,,D
UNY161,B279,,A,1,NY,US,1,,D
UNY162,B281,,N,9,NY,US,2,,L
UNY163,B310,,B,7,NY,US,1,,L
UNY164,B322,,H,4,NY,US,2,Hb,L
UNY165,B323,,G,14,NY,US,3,,L
UNY166,B329,,N,9,NY,US,2,ospC_AT9,L
UNY167,B331,,I,16,NY,US,3,,L
UNY168,B346,,H,4,NY,US,2,,L
UNY169,B348,,E,19,NY,US,3,ospC_AT5,D
UNY170,B352,,A,1,NY,US,1,,D
UNY171,B353,,F,8,NY,US,2,ospC_AT6,L
