Original_Name,MLST,OspC_Type,Source,Origin,Location,skin/blood_pairs,Disseminated
K1,1,A,,US,CT,,D
K11,3,K,,US,CT,,D
K10,1,A,,US,CT,,D
K15,3,K,,US,CT,,D
K16,9,N,,US,RI,,D
K22,38,D,,US,RI,,D
K24,14,G,,US,CT,,L
K25,16,I,,US,RI,,D
K2,1,A,,US,RI,,D
K3,1,A,,US,RI,,D
K6,1,A,,US,RI,,L
K7,1,A,,US,RI,,L
K12,3,K,,US,RI,,D
K13,,K,,US,RI,,D
K17,3,K,,US,RI,,L
K18,3,K,,US,RI,,L
K19,9,N,,US,RI,,L
K21,19,E,,US,CT,,D
K30,16,I,,US,RI,,L
K56,3,K,,US,RI,,L
K60,,A,,US,RI,,D
K62,4,H,,US,RI,,L
K64,1,A,,US,RI,,D
K71,1,A,,US,RI,,L
K72,3,K,,US,CT,,L
K73,1,A,,US,RI,,D
K80,,E,,US,CT,,L
K84,59,B,,US,CT,,D
K57,1,A,,US,RI,,D
K58,1,A,,US,RI,,D
K59,3,K,,US,RI,,L
K66,1,A,,US,RI,,D
K69,1,A,,US,CT,,L
K70,3,K,,US,CT,,D
K74,1,A,,US,RI,,D
K75,3,K,,US,RI,,L
K76,4,H,,US,CT,,D
K82,3,K,,US,RI,,L
K83,3,K,,US,RI,,L
K86,1,A,,US,RI,,D
K90,59,B,,US,CT,,L
B247,3,K,Skin,US,NY,BL146,D
B331,16,I,Skin,US,NY,,L
B348,19,E,Skin,US,NY,,D
B356,12,M,Skin,US,NY,,L
B418,19,E,Skin,US,NY,BL252,D
B477,38,D,Skin,US,NY,,L
B500,15,I,Skin,US,NY,,D
MR616,14,G,Skin,US,NY,,L
MR641,4,H,Skin,US,NY,BL546,D
MC104,4,H,CSF,US,WI,,D
MC105,32,H,Skin,US,WI,,L
MC123,29,L,Skin,US,WI,,L
MC149,221,O,Skin,US,WI,,L
K1,1,A,Skin,US,CT,,D
K11,3,K,Skin,US,CT,,D
K10,1,A,Skin,US,CT,,L
K15,3,K,Skin,US,CT,,D
K16,9,N,Skin,US,RI,,D
K22,38,D,Skin,US,RI,,D
K24,14,G,Skin,US,CT,,L
K25,16,I,Skin,US,RI,,D
K2,1,A,Skin,US,RI,,D
K3,1,A,Skin,US,RI,,D
K6,1,A,Skin,US,RI,,L
K7,1,A,Skin,US,RI,,L
K12,3,K,Skin,US,RI,,D
K17,3,K,Skin,US,RI,,L
K18,3,K,Skin,US,RI,,L
K19,9,N,Skin,US,RI,,L
K21,19,E,Skin,US,CT,,D
K30,16,I,Skin,US,RI,,L
K56,3,K,Skin,US,RI,,L
K60,,A,Skin,US,RI,,D
K62,4,H,Skin,US,RI,,L
K64,1,A,Skin,US,RI,,D
K71,1,A,Skin,US,RI,,L
K72,3,K,Skin,US,CT,,L
K73,1,A,Skin,US,RI,,D
K84,59,B,Skin,US,CT,,D
K57,1,A,Skin,US,RI,,D
K58,1,A,Skin,US,RI,,D
K59,3,K,Skin,US,RI,,L
K66,1,A,Skin,US,RI,,D
K69,1,A,Skin,US,CT,,L
K70,3,K,Skin,US,CT,,D
K74,1,A,Skin,US,RI,,D
K75,3,K,Skin,US,RI,,L
K76,4,H,Skin,US,CT,,D
K82,3,K,Skin,US,RI,,L
K83,3,K,Skin,US,RI,,L
K86,1,A,Skin,US,RI,,D
B247,3,K,Skin,US,NY,BL146,D
B331,16,I,Skin,US,NY,,L
B348,19,E,Skin,US,NY,"BL202
",D
B356,12,M,Skin,US,NY,,L
B477,38,D,Skin,US,NY,,L
B500,15,I,Skin,US,NY,BL333,D
MR616,14,G,Skin,US,NY,,L
MR641,4,H,Skin,US,NY,BL546,D
MC104,4,H,CSF,US,WI,,D
MC105,32,H,Skin,US,WI,,L
MC123,29,L,Skin,US,WI,,ND
MC149,221,O,Skin,US,WI,,L
B483,,N,,NY,,,ND
BL206,1,A,,NY,,,D
BL224,3,K,,NY,,,D
BL515,11,C,,NY,,,D
BL522,12,M,,NY,,,D
BL546,4,H,,NY,,,D
MR614,11,C,,NY,,,D
EU14_B89613,,,,,,,
EU57_B190413,,,,,,,
EU51_B192411,,,,,,,
K1,,,,,,,
K11,,,,,,,
K10,,,,,,,
K15,,,,,,,
K16,,,,,,,
K22,,,,,,,
K24,,,,,,,
K25,,,,,,,
K2,,,,,,,
K3,,,,,,,
K6,,,,,,,
K7,,,,,,,
K12,,,,,,,
K13,,,,,,,
K17,,,,,,,
K18,,,,,,,
K19,,,,,,,
K21,,,,,,,
K30,,,,,,,
K56,,,,,,,
K60,,,,,,,
K62,,,,,,,
K64,,,,,,,
K71,,,,,,,
K72,,,,,,,
K73,,,,,,,
K80,,,,,,,
K84,,,,,,,
K57,,,,,,,
K58,,,,,,,
K59,,,,,,,
K66,,,,,,,
K69,,,,,,,
K70,,,,,,,
K74,,,,,,,
K75,,,,,,,
K76,,,,,,,
K82,,,,,,,
K83,,,,,,,
K86,,,,,,,
K89,,,,,,,
K90,,,,,,,
L113,,,,,,,
XD1,,,,,,,
BL206,1.0,A,Blood,,,,D
B247,3.0,K,Skin,,,,D
BL515,11.0,C,Blood,,,,D
BL522,12.0,M,Blood,,,,D
BL546,4.0,H,Blood,,,,D
MC104,4.0,H,CSF,,,,D
MC105,32.0,H,Skin,,,,L
MC123,29.0,L,Skin,,,,
MC149,221.0,O,Skin,,,,L
MR614,11.0,C,Skin,,,,D
MR616,14.0,G,Skin,,,,L
MR641,4.0,H,Skin,,,,D
B483,9.0,N,Skin,,,,L
B348,19.0,E,Skin,,,,D
B356,12.0,M,Skin,,,,L
B418,19.0,E,Skin,,,,D
B477,38.0,D,Skin,,,,L
BL224,3.0,K,Blood,,,,D
UMA1,3,K,,US,Nantucket,,L
UMA2,8,F,,US,Nantucket,,L
UMA3,3,K,,US,Nantucket,,L
UMA4,3,K,,US,Nantucket,,L
UMA5,36,N,,US,Nantucket,,L
UMA7,36,N,,US,Nantucket,,L
UMA8,1,A,,US,Nantucket,,D
UMA9,1,A,,US,Nantucket,,L
UMA10,797,B,,US,Nantuchet,,L
UMA11,38,D,,US,Nantucket,,L
UMA12,1,A,,US,Nantucket,,L
UMA13,59,B,,US,Nantucket,,L
UMA14,1,A,,US,Nantucket,,L
UMA15,3,K,,US,Nantucket,,L
UMA16,59,B,,US,Nantucket,,L
URI17,7,B,,US,RI,,D
URI19,59,B,,US,RI,,L
URI20,14,G,,US,RI,,L
URI22,9,N,,US,RI,,L
URI23,3,K,,US,RI,,L
URI24,1,A,,US,RI,,D
ESI26,ST20,R,,EU,Slovenia,,
ESI28,284,R,,EU,Slovenia,,
UCT29,1,A,,US,CT,,D
UCT30,3,K,,US,CT,,D
UCT31,1,A,,US,CT,,D
UCT32,3,K,,US,CT,,D
URI33,9,N,,US,RI,,D
URI34,38,D,,US,RI,,D
UCT35,14,G,,US,CT,,L
URI36,16,I,,US,RI,,D
URI37,59,B,,US,RI,,L
URI38,37,T,,US,RI,,L
URI39,1,A,,US,RI,,D
URI40,1,A,,US,RI,,D
URI41,1,A,,US,RI,,L
URI42,1,A,,US,RI,,L
URI43,1,A,,US,RI,,L
URI44,3,K,,US,RI,,D
URI46,3,K,,US,RI,,L
URI47,3,K,,US,RI,,L
URI48,9,N,,US,RI,,L
URI49,8,F,,US,RI,,L
UCT50,19,E,,US,CT,,D
UCT51,16,I,,US,CT,,L
URI52,16,I,,US,RI,,L
URI53,16,I,,US,RI,,L
URI54,14,G,,US,RI,,L
URI55,19,E,,US,RI,,L
URI56,16,I,,US,RI,,L
URI57,59,B,,US,RI,,L
URI58,16,I,,US,RI,,L
URI59,14,G,,US,RI,,L
URI60,9,N,,US,RI,,L
URI61,1,A,,US,RI,,D
UCT62,3,K,,US,CT,,D
URI63,1,A,,US,RI,,L
URI64,3,K,,US,RI,,L
URI65,1,A,,US,RI,,L
UCT66,1,A,,US,CT,,D
URI67,59,B,,US,RI,,L
URI68,36,N,,US,RI,,D
UCT69,59,B,,US,CT,,D
