label	Original_Name	Origin	Location	OspC_Type	RST_Type	MLST	wgs_group	WGS_Group
UMA1	N2	US	Nantucket	K	2	3	C	C
UMA2	N4	US	Nantucket	F	2	8	B.1	B
UMA3	N7	US	Nantucket	K	2	3	C	C
UMA4	N9	US	Nantucket	K	2	3	C	C
UMA5	N11	US	Nantucket	N	2	36	B.1	B
UMA7	N15	US	Nantucket	N	2	36	B.1	B
UMA8	N17	US	Nantucket	A	1	1	A	A
UMA9	N19	US	Nantucket	A	1	1	A	A
UMA10	N20	US	Nantucket	B	1	797	A	A
UMA11	N21	US	Nantucket	D	3	38	B.2	B
UMA12	N23	US	Nantucket	A	1	1	A	A
UMA13	N25	US	Nantucket	B	1	59	A	A
UMA14	N30	US	Nantucket	A	1	1	A	A
UMA15	N31	US	Nantucket	K	2	3	C	C
UMA16	N32	US	Nantucket	B	1	59	A	A
URI17	R5	US	RI	B	1	7	A	A
URI19	R7	US	RI	B	1	59	A	A
URI20	R8	US	RI	G	3	14	B.2	B
URI22	R10	US	RI	N	2	9	B.1	B
URI23	R11	US	RI	K	2	3	C	C
URI24	R12	US	RI	A	1	1	A	A
ESI26	B1904/13	EU	Slovenia	R	1	ST20	A	A
ESI28	B2526/13	EU	Slovenia	R	1	284	A	A
UCT29	K1	US	CT	A	1	1	A	A
UCT30	K11	US	CT	K	2	3	C	C
UCT31	K10	US	CT	A	1	1	A	A
UCT32	K15	US	CT	K	2	3	C	C
URI33	K16	US	RI	N	2	9	B.1	B
URI34	K22	US	RI	D	3	38	B.2	B
UCT35	K24	US	CT	G	3	14	B.2	B
URI36	K25	US	RI	I	3	16	B.1	B
URI37	KA1	US	RI	B	1	59	A	A
URI38	KA6	US	RI	T	3	37	B.2	B
URI39	K2	US	RI	A	1	1	A	A
URI40	K3	US	RI	A	1	1	A	A
URI41	K6	US	RI	A	1	1	A	A
URI42	K7	US	RI	A	1	1	A	A
URI43	K9	US	RI	A	1	1	A	A
URI44	K12	US	RI	K	2	3	C	C
URI46	K17	US	RI	K	2	3	C	C
URI47	K18	US	RI	K	2	3	C	C
URI48	K19	US	RI	N	2	9	B.1	B
URI49	K20	US	RI	F	2	8	B.1	B
UCT50	K21	US	CT	E	3	19	B.1	B
UCT51	K23	US	CT	I	3	16	B.1	B
URI52	K26	US	RI	I	3	16	B.1	B
URI53	K27	US	RI	I	3	16	B.1	B
URI54	K28	US	RI	G	3	14	B.2	B
URI55	K29	US	RI	E	3	19	B.1	B
URI56	K30	US	RI	I	3	16	B.1	B
URI57	KA2	US	RI	B	1	59	A	A
URI58	KA3	US	RI	I	3	16	B.1	B
URI59	KA4	US	RI	G	3	14	B.2	B
URI60	KA5	US	RI	N	2	9	B.1	B
URI61	K4	US	RI	A	1	1	A	A
UCT62	K14	US	CT	K	2	3	C	C
URI63	K34	US	RI	A	1	1	A	A
URI64	K40	US	RI	K	2	3	C	C
URI65	K5	US	RI	A	1	1	A	A
UCT66	K8	US	CT	A	1	1	A	A
URI67	K31	US	RI	B	1	59	A	A
URI68	K32	US	RI	N	2	36	B.1	B
UCT69	K33	US	CT	B	1	59	A	A
URI70	K35	US	RI	B	1	7	A	A
URI71	K36	US	RI	K	2	3	C	C
URI72	K37	US	RI	A	1	1	A	A
UCT73	K38	US	CT	K	2	3	C	C
UCT74	K39	US	CT	A	1	1	A	A
URI75	K41	US	RI	A	1	1	A	A
