Isolate,MLST,OspC_Type,RST_Type,Source,Origin,Location,skin/blood_pairs,Disseminated,method
5A18NP1-JBb08-A,1,,,culture,US,NY,,,nanopore
UNY147,34,J,3.0,,US,NY,,L,illumina
5A18NP1-JBb08-C,1,,,culture,US,NY,,,nanopore
5A18NP1-JBb08-B,1,,,culture,US,NY,,,nanopore
5A18NP1-JBb08-E,1,,,culture,US,NY,,,nanopore
B31-K2,1,,,culture,US,NY,,,nanopore
B31-5A4,1,,,culture,US,NY,,,nanopore
5A18NP1-JBb08-D,1,,,culture,US,NY,,,nanopore
UNY218,37,T,3.0,,US,NY,,L,illumina
UNY201,34,J,3.0,,US,NY,,D,illumina
UWI272,55,A,1.0,,US,WI,,D,illumina
UNY210,18,U,3.0,,US,NY,,L,illumina
UNY196,15,I,3.0,,US,NY,,D,illumina
BG001_C7,1,,,culture,US,NY,,,nanopore
UNY214,40,E3,3.0,,US,NY,,L,illumina
UWI273,55,C,3.0,,US,WI,,L,illumina
UWI267,222,U,3.0,,US,WI,,L,illumina
UWI252,29,L,2.0,,US,WI,,D,illumina
ESI300,24,L,3.0,,EU,Slovenia,,,illumina
UWI257,232,B3,3.0,,US,WI,,L,illumina
ESI322,24,L,3.0,,EU,Slovenia,,,illumina
UWI276,410,N,2.0,,US,WI,,D,illumina
ESI295,24,L,3.0,,EU,Slovenia,,,illumina
EU57_B190413,20,,,,,,,,hybrid
ESI299,24,S,1.0,,EU,Slovenia,,,illumina
ESI311,24,L,3.0,,EU,Slovenia,,,illumina
ESI323,799,L,3.0,,EU,Slovenia,,,illumina
UNY171,8,F,2.0,,US,NY,,L,illumina
UNY216,12,M,3.0,,US,NY,,D,illumina
UWI263,29,L,2.0,,US,WI,,L,illumina
ESI28,284,R,1.0,,EU,Slovenia,,,illumina
ESI309,20,S,1.0,,EU,Slovenia,,,illumina
UWI237,229,E,3.0,,US,WI,,L,illumina
ESI312,New ,L,3.0,,EU,Slovenia,,,illumina
ESI319,24,L,3.0,,EU,Slovenia,,,illumina
ESI304,24,L,3.0,,EU,Slovenia,,,illumina
ESI288a,20,S,1.0,,EU,Slovenia,,,illumina
ESI284,20,R,1.0,,EU,Slovenia,,,illumina
N40_HP,12,,,culture,US,NY,,,nanopore
ESI292,545,B,1.0,,EU,Slovenia,,,illumina
UWI240,12,M,3.0,,US,WI,,D,illumina
UNY203,14,G,3.0,,US,NY,,L,illumina
UWI230,222,U,3.0,,US,WI,,D,illumina
L113,24,,,,,,,,hybrid
UWI281,223,T,3.0,,US,WI,,L,illumina
UWI278,32,H,2.0,,US,WI,,D,illumina
UWI258,232,B3,3.0,,US,WI,,L,illumina
BB-8,34,,,culture,US,NY,,,nanopore
UWI221,32,H,2.0,,US,WI,,L,illumina
UNY213,8,F,2.0,,US,NY,,L,illumina
UNY199,19,E,3.0,,US,NY,,L,illumina
ESI316,24,L,3.0,,EU,Slovenia,,,illumina
UNY137,54,O,3.0,,US,NY,,L,illumina
UWI235,47,U,3.0,,US,WI,,L,illumina
UNY138,9,N,2.0,,US,NY,,L,illumina
