method,sample
hybrid,EU14_B89613.hybrid.assembly.contigs
hybrid,EU51_B192411.hybrid.assembly.contigs
hybrid,EU57_B190413.hybrid.assembly.contigs
hybrid,K1.hybrid.assembly.contigs
hybrid,K10.hybrid.assembly.contigs
hybrid,K11.hybrid.assembly.contigs
hybrid,K12.hybrid.assembly.contigs
hybrid,K13.hybrid.assembly.contigs
hybrid,K15.hybrid.assembly.contigs
hybrid,K16.hybrid.assembly.contigs
hybrid,K17.hybrid.assembly.contigs
hybrid,K18.hybrid.assembly.contigs
hybrid,K19.hybrid.assembly.contigs
hybrid,K2.hybrid.assembly.contigs
hybrid,K21.hybrid.assembly.contigs
hybrid,K22.hybrid.assembly.contigs
hybrid,K24.hybrid.assembly.contigs
hybrid,K25.hybrid.assembly.contigs
hybrid,K3.hybrid.assembly.contigs
hybrid,K30.hybrid.assembly.contigs
hybrid,K56.hybrid.assembly.contigs
hybrid,K57.hybrid.assembly.contigs
hybrid,K58.hybrid.assembly.contigs
hybrid,K59.hybrid.assembly.contigs
hybrid,K6.hybrid.assembly.contigs
hybrid,K60.hybrid.assembly.contigs
hybrid,K62.hybrid.assembly.contigs
hybrid,K64.hybrid.assembly.contigs
hybrid,K66.hybrid.assembly.contigs
hybrid,K69.hybrid.assembly.contigs
hybrid,K7.hybrid.assembly.contigs
hybrid,K70.hybrid.assembly.contigs
hybrid,K71.hybrid.assembly.contigs
hybrid,K72.hybrid.assembly.contigs
hybrid,K73.hybrid.assembly.contigs
hybrid,K74.hybrid.assembly.contigs
hybrid,K75.hybrid.assembly.contigs
hybrid,K76.hybrid.assembly.contigs
hybrid,K80.hybrid.assembly.contigs
hybrid,K82.hybrid.assembly.contigs
hybrid,K83.hybrid.assembly.contigs
hybrid,K84.hybrid.assembly.contigs
hybrid,K86.hybrid.assembly.contigs
hybrid,K89.hybrid.assembly.contigs
hybrid,K90.hybrid.assembly.contigs
hybrid,L113.hybrid.assembly.contigs
hybrid,XD1.hybrid.assembly.contigs
illumina,ESI26_200
illumina,ESI284_200
illumina,ESI285_200
illumina,ESI286_200
illumina,ESI287_200
illumina,ESI288a_200
illumina,ESI289_200
illumina,ESI28_200
illumina,ESI290_200
illumina,ESI291_200
illumina,ESI292_200
illumina,ESI294_200
illumina,ESI295_200
illumina,ESI297_200
illumina,ESI299_200
illumina,ESI300_200
illumina,ESI301_200
illumina,ESI303_200
illumina,ESI304_200
illumina,ESI305_200
illumina,ESI306_200
illumina,ESI307_200
illumina,ESI308_200
illumina,ESI309_200
illumina,ESI311_200
illumina,ESI312_200
illumina,ESI313_200
illumina,ESI314_200
illumina,ESI315_200
illumina,ESI316_200
illumina,ESI317_200
illumina,ESI318_200
illumina,ESI319_200
illumina,ESI320_200
illumina,ESI322_200
illumina,ESI323_200
illumina,UCT104_200
illumina,UCT106_200
illumina,UCT109_200
illumina,UCT110_200
illumina,UCT113_200
illumina,UCT115_200
illumina,UCT121_200
illumina,UCT29_200
illumina,UCT30_200
illumina,UCT31_200
illumina,UCT32_200
illumina,UCT35_200
illumina,UCT50_200
illumina,UCT51_200
illumina,UCT62_200
illumina,UCT66_200
illumina,UCT69_200
illumina,UCT73_200
illumina,UCT74_200
illumina,UCT76_200
illumina,UCT83_200
illumina,UCT92_200
illumina,UCT96_200
illumina,UMA10_200
illumina,UMA11_200
illumina,UMA127_200
illumina,UMA12_200
illumina,UMA13_200
illumina,UMA14_200
illumina,UMA15_200
illumina,UMA16_200
illumina,UMA1_200
illumina,UMA2_200
illumina,UMA3_200
illumina,UMA4_200
illumina,UMA5_200
illumina,UMA7_200
illumina,UMA8_200
illumina,UMA9_200
illumina,UNY129_200
illumina,UNY130_200
illumina,UNY131_200
illumina,UNY132_200
