Original_Name,MLST,OspC_Type,Source,Origin,Location,skin/blood_pairs,Disseminated,method
K1,1,A,,US,CT,,D,hybrid
K11,3,K,,US,CT,,D,hybrid
K10,1,A,,US,CT,,D,hybrid
K15,3,K,,US,CT,,D,hybrid
K16,9,N,,US,RI,,D,hybrid
K22,38,D,,US,RI,,D,hybrid
K24,14,G,,US,CT,,L,hybrid
K25,16,I,,US,RI,,D,hybrid
K2,1,A,,US,RI,,D,hybrid
K3,1,A,,US,RI,,D,hybrid
K6,1,A,,US,RI,,L,hybrid
K7,1,A,,US,RI,,L,hybrid
K12,3,K,,US,RI,,D,hybrid
K13,,K,,US,RI,,D,hybrid
K17,3,K,,US,RI,,L,hybrid
K18,3,K,,US,RI,,L,hybrid
K19,9,N,,US,RI,,L,hybrid
K21,19,E,,US,CT,,D,hybrid
K30,16,I,,US,RI,,L,hybrid
K56,3,K,,US,RI,,L,hybrid
K60,,A,,US,RI,,D,hybrid
K62,4,H,,US,RI,,L,hybrid
K64,1,A,,US,RI,,D,hybrid
K71,1,A,,US,RI,,L,hybrid
K72,3,K,,US,CT,,L,hybrid
K73,1,A,,US,RI,,D,hybrid
K80,,E,,US,CT,,L,hybrid
K84,59,B,,US,CT,,D,hybrid
K57,1,A,,US,RI,,D,hybrid
K58,1,A,,US,RI,,D,hybrid
K59,3,K,,US,RI,,L,hybrid
K66,1,A,,US,RI,,D,hybrid
K69,1,A,,US,CT,,L,hybrid
K70,3,K,,US,CT,,D,hybrid
K74,1,A,,US,RI,,D,hybrid
K75,3,K,,US,RI,,L,hybrid
K76,4,H,,US,CT,,D,hybrid
K82,3,K,,US,RI,,L,hybrid
K83,3,K,,US,RI,,L,hybrid
K86,1,A,,US,RI,,D,hybrid
K90,59,B,,US,CT,,L,hybrid
B247,3,K,Skin,US,NY,BL146,D,pacbio
B331,16,I,Skin,US,NY,,L,pacbio
B348,19,E,Skin,US,NY,,D,pacbio
B356,12,M,Skin,US,NY,,L,pacbio
B418,19,E,Skin,US,NY,BL252,D,pacbio
B477,38,D,Skin,US,NY,,L,pacbio
B500,15,I,Skin,US,NY,,D,pacbio
MR616,14,G,Skin,US,NY,,L,pacbio
MR641,4,H,Skin,US,NY,BL546,D,pacbio
MC104,4,H,CSF,US,WI,,D,pacbio
MC105,32,H,Skin,US,WI,,L,pacbio
MC123,29,L,Skin,US,WI,,L,pacbio
MC149,221,O,Skin,US,WI,,L,pacbio
B483,,N,,NY,,,ND,pacbio
BL206,1,A,,NY,,,D,pacbio
BL224,3,K,,NY,,,D,pacbio
BL515,11,C,,NY,,,D,pacbio
BL522,12,M,,NY,,,D,pacbio
BL546,4,H,,NY,,,D,pacbio
MR614,11,C,,NY,,,D,pacbio
