Isolate,MLST,OspC_Type,RST_Type,Source,Origin,Location,skin/blood_pairs,Disseminated,method
5A18NP1-JBb08-A,1,,,culture,US,MA,,,nanopore
5A18NP1-JBb08-B,1,,,culture,US,MA,,,nanopore
UNY147,34,J,3.0,,US,NY,,L,illumina
5A18NP1-JBb08-C,1,,,culture,US,MA,,,nanopore
5A18NP1-JBb08-E,1,,,culture,US,MA,,,nanopore
K2,1,A,1.0,,US,RI,,D,hybrid
5A18NP1-JBb08-D,1,,,culture,US,MA,,,nanopore
5A4,1,,,,,,,,
UNY201,34,J,3.0,,US,NY,,D,illumina
UNY210,18,U,3.0,,US,NY,,L,illumina
UNY218,37,T,3.0,,US,NY,,L,illumina
UWI272,55,A,1.0,,US,WI,,D,illumina
UNY196,15,I,3.0,,US,NY,,D,illumina
BG001_C7,1,,,culture,US,MA,,,nanopore
ESI322,ST24,L,3.0,,EU,Slovenia,,,illumina
UWI257,232,B3,3.0,,US,WI,,L,illumina
UWI273,55,C,3.0,,US,WI,,L,illumina
UNY214,40,E3,3.0,,US,NY,,L,illumina
ESI295,24,L,3.0,,EU,Slovenia,,,illumina
ESI300,ST24,L,3.0,,EU,Slovenia,,,illumina
UWI276,410,N,2.0,,US,WI,,D,illumina
ESI323,799,L,3.0,,EU,Slovenia,,,illumina
UWI252,29,L,2.0,,US,WI,,D,illumina
ESI299,ST24,S,1.0,,EU,Slovenia,,,illumina
EU57_B190413,20,,,,,,,,hybrid
ESI311,ST24,L,3.0,,EU,Slovenia,,,illumina
UWI267,222,U,3.0,,US,WI,,L,illumina
UWI237,229,E,3.0,,US,WI,,L,illumina
UNY171,8,F,2.0,,US,NY,,L,illumina
UNY216,12,M,3.0,,US,NY,,D,illumina
ESI304,ST24,L,3.0,,EU,Slovenia,,,illumina
ESI319,ST24,L,3.0,,EU,Slovenia,,,illumina
L113,24,,,,,,,,hybrid
ESI28,284,R,1.0,,EU,Slovenia,,,illumina
UWI263,29,L,2.0,,US,WI,,L,illumina
ESI284,ST20,R,1.0,,EU,Slovenia,,,illumina
ESI309,ST20,S,1.0,,EU,Slovenia,,,illumina
UWI258,232,B3,3.0,,US,WI,,L,illumina
ESI288a,ST20,S,1.0,,EU,Slovenia,,,illumina
ESI312,New ST,L,3.0,,EU,Slovenia,,,illumina
UWI230,222,U,3.0,,US,WI,,D,illumina
UNY203,14,G,3.0,,US,NY,,L,illumina
UWI281,223,T,3.0,,US,WI,,L,illumina
ESI292,545,B,1.0,,EU,Slovenia,,,illumina
UNY207,11,C,3.0,,US,NY,,D,illumina
UWI282,55,C,1.0,,US,WI,,L,illumina
N40_HP,12,,,culture,US,MA,,,nanopore
UWI268,228,I,3.0,,US,WI,,L,illumina
UWI235,47,U,3.0,,US,WI,,L,illumina
ESI316,ST24,L,3.0,,EU,Slovenia,,,illumina
BB-8,34,,,culture,US,MA,,,nanopore
UNY213,8,F,2.0,,US,NY,,L,illumina
UNY138,9,N,2.0,,US,NY,,L,illumina
UWI279,302,F,2.0,,US,WI,,D,illumina
UWI277,410,N,2.0,,US,WI,,L,illumina
UNY199,19,E,3.0,,US,NY,,L,illumina
UNY141,8,F,2.0,,US,NY,,L,illumina
UWI255,227,I,3.0,,US,WI,,L,illumina
UWI240,12,M,3.0,,US,WI,,D,illumina
UWI221,32,H,2.0,,US,WI,,L,illumina
UNY137,54,O,3.0,,US,NY,,L,illumina
UNY178,14,G,3.0,,US,NY,,D,illumina
UWI278,32,H,2.0,,US,WI,,D,illumina
ESI26,ST20,R,1.0,,EU,Slovenia,,,illumina
UNY167,16,I,3.0,,US,NY,,L,illumina
UNY217,37,T,3.0,,US,NY,,L,illumina
UWI265,234,K,2.0,,US,WI,,L,illumina
ESI313,ST314,B,1.0,,EU,Slovenia,,,illumina
UNY144,18,U,3.0,,US,NY,,L,illumina
ESI291,545,Q,1.0,,EU,Slovenia,,,illumina
UWI247,4,H,2.0,,US,WI,,D,illumina
URI34,38,D,3.0,,US,RI,,D,illumina
UNY166,9,N,2.0,,US,NY,,L,illumina
UWI231,52,E3,3.0,,US,WI,,L,illumina
UNY187,7,B,1.0,,US,NY,,D,illumina
UWI260,225,F3,3.0,,US,WI,,L,illumina
XD1,12,,,,,,,,hybrid
UWI232,234,K,2.0,,US,WI,,D,illumina
URI118,3,K,2.0,,US,RI,,L,illumina
UWI264,29,L,2.0,,US,WI,,D,illumina
UWI245,229,E,3.0,,US,WI,,L,illumina
UWI269,32,H,2.0,,US,WI,,D,illumina
MR616,14,G,3.0,Skin,US,NY,,L,pacbio
UWI253,32,H,2.0,,US,WI,,D,illumina
UNY172,12,M,3.0,,US,NY,,L,illumina
UWI254,32,H,2.0,,US,WI,,D,illumina
UNY168,4,H,2.0,,US,NY,,L,illumina
UWI283,221,O,3.0,,US,WI,,L,illumina
UWI256,29,L,2.0,,US,WI,,L,illumina
ESI320,546,Q,1.0,,EU,Slovenia,,,illumina
UWI250,32,H,2.0,,US,WI,,L,illumina
UNY193,38,D,3.0,,US,NY,,L,illumina
UWI223,234,K,2.0,,US,WI,,L,illumina
UWI233,48,G,3.0,,US,WI,,L,illumina
UNY200,1,A,1.0,,US,NY,,L,illumina
URI122,3,K,2.0,,US,RI,,L,illumina
UNY160,3,K,2.0,,US,NY,,D,illumina
UWI228,234,K,2.0,,US,WI,,L,illumina
UWI246,302,E,2.0,,US,WI,,L,illumina
UCT96,59,B,1.0,,US,CT,,D,illumina
UNY206,9,N,2.0,,US,NY,,D,illumina
UWI222,32,H,2.0,,US,WI,,D,illumina
UNY191,4,H,2.0,,US,NY,,D,illumina
UNY215,14,G,3.0,,US,NY,,D,illumina
UWI243,234,K,2.0,,US,WI,,L,illumina
UNY140,19,E,3.0,,US,NY,,L,illumina
UWI248,32,H,2.0,,US,WI,,L,illumina
UWI220,56,F,2.0,,US,WI,,L,illumina
ESI314,ST20,B,1.0,,EU,Slovenia,,,illumina
UWI227,32,H,2.0,,US,WI,,D,illumina
UWI274,226,D,3.0,,US,WI,,L,illumina
UNY205,16,I,3.0,,US,NY,,D,illumina
UNY169,19,E,3.0,,US,NY,,D,illumina
UWI236,48,G,3.0,,US,WI,,L,illumina
UWI239,221,O,3.0,,US,WI,,D,illumina
UWI226,221,O,3.0,,US,WI,,D,illumina
UNY177,3,K,2.0,,US,NY,,D,illumina
ESI315,ST545,B,1.0,,EU,Slovenia,,,illumina
UWI280,32,H,2.0,,US,WI,,L,illumina
K21,19,E,3.0,,US,CT,,D,hybrid
UNY134,36,N,2.0,,US,NY,,D,illumina
ESI303,ST545,B,1.0,,EU,Slovenia,,,illumina
UWI242,55,A,1.0,,US,WI,,L,illumina
UNY173,38,D,3.0,,US,NY,,L,illumina
UWI229,43,N,2.0,,US,WI,,L,illumina
UWI251,30,B,1.0,,US,WI,,L,illumina
B348,19,E,3.0,Skin,US,NY,,D,pacbio
MC149,221,O,,Skin,US,WI,,L,pacbio
UWI261,55,A,1.0,,US,WI,,D,illumina
UNY136,19,E,3.0,,US,NY,,L,illumina
UWI244,237,J,3.0,,US,WI,,L,illumina
UNY159,18,U,3.0,,US,NY,,L,illumina
UNY183,16,I,3.0,,US,NY,,L,illumina
B356,12,M,3.0,Skin,US,NY,,L,pacbio
K19,9,N,2.0,,US,RI,,L,hybrid
B331,16,I,3.0,Skin,US,NY,,L,pacbio
UNY143,12,M,3.0,,US,NY,,L,illumina
ESI294,ST314,B,1.0,,EU,Slovenia,,,illumina
ESI297,ST545,B,1.0,,EU,Slovenia,,,illumina
UWI249,409,M,3.0,,US,WI,,L,illumina
ESI289,ST314,B,1.0,,EU,Slovenia,,,illumina
UWI241,48,G,3.0,,US,WI,,D,illumina
B418,19,E,3.0,Skin,US,NY,BL252,D,pacbio
