#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:Bbss_out_gbbins.filtered_polymorphic_sites" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:Bbss_out_gbbins.filtered_polymorphic_sites" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:Bbss_out_gbbins.filtered_polymorphic_sites" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.Bbss_out_gbbins.filtered_polymorphic_sites" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:Bbss_out_gbbins.filtered_polymorphic_sites" name="distribution" x="@birthRate.t:Bbss_out_gbbins.filtered_polymorphic_sites">
#            <Normal id="Normal.100" name="distr">
#                <parameter estimate="false" id="RealParameter.200" name="mean" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <parameter estimate="false" id="RealParameter.201" name="sigma" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Normal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Bbss_out_gbbins.filtered_polymorphic_sites" id="treeLikelihood.Bbss_out_gbbins.filtered_polymorphic_sites" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Bbss_out_gbbins.filtered_polymorphic_sites">
#            <siteModel id="SiteModel.s:Bbss_out_gbbins.filtered_polymorphic_sites" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Bbss_out_gbbins.filtered_polymorphic_sites" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:Bbss_out_gbbins.filtered_polymorphic_sites" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Bbss_out_gbbins.filtered_polymorphic_sites" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:Bbss_out_gbbins.filtered_polymorphic_sites" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:Bbss_out_gbbins.filtered_polymorphic_sites" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:Bbss_out_gbbins.filtered_polymorphic_sites" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-420819.71552940796	-420811.13977222436	-8.575757183593183	-420811.13977222436	1.6730703658476014	-7.1568186503885105	1.0
1000	-221204.75667349977	-221239.05351051278	34.296837013008414	-221239.05351051278	0.6852485448563618	42.79307802626181	3.892891593673969
2000	-155681.07805620655	-155726.34462797412	45.266571767582576	-155726.34462797412	0.28483841020795503	55.51937216777439	4.320616128976779
3000	-137704.5808657247	-137754.2858266114	49.704960886680944	-137754.2858266114	0.21627680594364218	62.341287343749514	4.840947825346581
4000	-127362.92308258517	-127414.65875192848	51.735669343309524	-127414.65875192848	0.2278993158357553	70.80272513617814	6.024635633739843
5000	-115915.05551734488	-115968.91255428115	53.8570369362733	-115968.91255428115	0.22065244330006611	71.80117244728439	5.835271540863614
6000	-106835.65045960748	-106888.60613975073	52.955680143254746	-106888.60613975073	0.21717628133987413	80.78845313161068	7.336734212870364
7000	-105411.76383949979	-105466.29659568143	54.53275618163151	-105466.29659568143	0.2300766293163975	77.03373459697522	6.569937576893564
8000	-104752.30972230711	-104806.98424236572	54.6745200586167	-104806.98424236572	0.22864941920513565	69.784112333694	5.327410955027334
9000	-104640.19287449808	-104694.95345426469	54.76057976660917	-104694.95345426469	0.23815264268705388	73.33978107234915	5.943107398076416
10000	-104614.22344173105	-104668.96269053305	54.739248801997235	-104668.96269053305	0.2338335893267313	70.90689002519429	5.522445597738809
11000	-104536.9136700424	-104589.65320901935	52.739538976950854	-104589.65320901935	0.24017587977830396	81.25946550435303	7.429803226761461
12000	-104475.36148039663	-104530.31007257503	54.94859217838865	-104530.31007257503	0.24017587977830396	74.63604103861364	6.126746335049349
13000	-104353.76814258817	-104408.84265913587	55.07451654769377	-104408.84265913587	0.24017587977830396	73.52882859787111	5.92205598031168
14000	-104349.88114088576	-104404.48839633755	54.60725545179521	-104404.48839633755	0.2460930109472817	75.62238931784564	6.339746892872894
15000	-104339.6924871506	-104394.478972237	54.78648508639464	-104394.478972237	0.24185830762227314	71.20943143056552	5.568484140404137
16000	-104331.20500063639	-104386.1533178548	54.94831721840836	-104386.1533178548	0.24185830762227314	72.52103627695362	5.771270315162959
17000	-104334.11501998735	-104389.10572204847	54.99070206111014	-104389.10572204847	0.24185830762227314	75.17123068789031	6.206704454632185
18000	-104318.66221706246	-104373.53810975289	54.875892690429254	-104373.53810975289	0.2437052728181654	72.71438885439387	5.817139783563731
19000	-104320.40954311626	-104374.89628408627	54.486740970007446	-104374.89628408627	0.2437052728181654	70.01937515185847	5.406236333836388
20000	-104319.92341546791	-104374.40822552539	54.484810057470625	-104374.40822552539	0.2437052728181654	69.78703130142435	5.363447158451186
21000	-104311.78322659581	-104365.1839564747	53.40072987889549	-104365.1839564747	0.2437052728181654	80.14701859740066	7.187120450542136
