23:45:19.322 - INFO - UTILS - version=1.10.0
23:45:19.322 - INFO - UTILS - developer: Oliver Schwengers, github.com/oschwengers
23:45:19.322 - INFO - UTILS - command: /opt/conda/bin/bakta --db /db --gram - --threads 64 --force --output /home/mf019/longread_pangenome/expanded_dataset_analysis/results/v5_filtered_sp/bakta_v5_filtered_sp --prefix roary_pangenome_v5_filtered_sp --genus Borrelia --species burgdorferi --strain sensu-stricto --keep-contig-headers -v --skip-plot /home/mf019/longread_pangenome/expanded_dataset_analysis/results/v5_filtered_sp/roary_v5_filtered_sp/pan_genome_reference.fa
23:45:19.322 - INFO - UTILS - local time: 2024-11-20 23:45:19
23:45:19.325 - INFO - UTILS - machine: type=, cores=64
23:45:19.325 - INFO - UTILS - system: type=Linux, release=6.1.0-27-cloud-amd64
23:45:19.325 - INFO - UTILS - python: version=3.11.10, implementation=CPython
23:45:19.325 - INFO - CONFIG - threads=64
23:45:19.325 - INFO - CONFIG - verbose=True
23:45:19.325 - INFO - CONFIG - debug=False
23:45:19.325 - INFO - CONFIG - database: type=parameter, path=/db
23:45:19.325 - INFO - CONFIG - tmp-path=/tmp/tmphi2su2kt
23:45:19.325 - INFO - CONFIG - genome-path=/home/mf019/longread_pangenome/expanded_dataset_analysis/results/v5_filtered_sp/roary_v5_filtered_sp/pan_genome_reference.fa
23:45:19.325 - INFO - CONFIG - min_contig_length=1
23:45:19.325 - INFO - CONFIG - prefix=roary_pangenome_v5_filtered_sp
23:45:19.325 - INFO - CONFIG - output-path=/home/mf019/longread_pangenome/expanded_dataset_analysis/results/v5_filtered_sp/bakta_v5_filtered_sp
23:45:19.325 - INFO - CONFIG - force=True
23:45:19.325 - INFO - CONFIG - genus=Borrelia
23:45:19.325 - INFO - CONFIG - species=burgdorferi
23:45:19.325 - INFO - CONFIG - strain=sensu-stricto
23:45:19.325 - INFO - CONFIG - plasmid=None
23:45:19.326 - INFO - CONFIG - complete=False
23:45:19.326 - INFO - CONFIG - prodigal_tf=None
23:45:19.326 - INFO - CONFIG - translation_table=11
23:45:19.326 - INFO - CONFIG - gram=-
23:45:19.326 - INFO - CONFIG - compliant=False
23:45:19.326 - INFO - CONFIG - meta=False
23:45:19.326 - INFO - CONFIG - locus=None
23:45:19.326 - INFO - CONFIG - locus-tag=None
23:45:19.326 - INFO - CONFIG - locus-tag-increment=1
23:45:19.326 - INFO - CONFIG - keep_contig_headers=True
23:45:19.326 - INFO - CONFIG - replicon-table=None
23:45:19.326 - INFO - CONFIG - regions=None
23:45:19.326 - INFO - CONFIG - skip-tRNA=False
23:45:19.326 - INFO - CONFIG - skip-tmRNA=False
23:45:19.326 - INFO - CONFIG - skip-rRNA=False
23:45:19.326 - INFO - CONFIG - skip-ncRNA=False
23:45:19.326 - INFO - CONFIG - skip-ncRNA-region=False
23:45:19.326 - INFO - CONFIG - skip-CRISPR=False
23:45:19.326 - INFO - CONFIG - skip-CDS=False
23:45:19.326 - INFO - CONFIG - skip-pseudo=False
23:45:19.326 - INFO - CONFIG - skip-sORF=False
23:45:19.326 - INFO - CONFIG - skip-gap=False
23:45:19.326 - INFO - CONFIG - skip-ori=False
23:45:19.326 - INFO - CONFIG - skip-filter=False
23:45:19.326 - INFO - CONFIG - skip-plot=True
23:45:19.326 - INFO - DB - detected: major=5, minor=1, type=full, date=2024-01-19
23:45:19.450 - INFO - UTILS - dependency: tool=tRNAscan-SE, version=v2.0.12, path=/opt/conda/bin/tRNAscan-SE
23:45:19.453 - INFO - UTILS - dependency: tool=Aragorn, version=v1.2.41, path=/opt/conda/bin/aragorn
23:45:19.466 - INFO - UTILS - dependency: tool=CMscan, version=v1.1.5, path=/opt/conda/bin/cmscan
23:45:19.471 - INFO - UTILS - dependency: tool=PilerCR, version=v1.6.0, path=/opt/conda/bin/pilercr
23:45:19.539 - INFO - UTILS - dependency: tool=Pyrodigal, version=v3.6.3, path=/opt/conda/bin/python3
23:45:19.545 - INFO - UTILS - dependency: tool=AMRFinderPlus, version=v4.0.3, path=/opt/conda/bin/amrfinder
23:45:19.605 - INFO - UTILS - dependency: tool=Pyhmmer, version=v0.10.15, path=/opt/conda/bin/python3
23:45:19.634 - INFO - UTILS - dependency: tool=Diamond, version=v2.1.10, path=/opt/conda/bin/diamond
23:45:20.272 - INFO - UTILS - dependency: tool=Blastn, version=v2.16.0, path=/opt/conda/bin/blastn
23:45:20.277 - INFO - FASTA - imported: id=CFHKPG_00001, length=564, description=Uncharacterized protein BB_0001, genomic=True, dna=True
23:45:20.277 - INFO - FASTA - imported: id=CFHKPG_00002, length=1029, description=Glycoside hydrolase family 3 N-terminal domain-containing protein, genomic=True, dna=True
23:45:20.277 - INFO - FASTA - imported: id=CFHKPG_00003, length=1467, description=group_1365, genomic=True, dna=True
23:45:20.277 - INFO - FASTA - imported: id=CFHKPG_00004, length=1794, description=group_2034, genomic=True, dna=True
23:45:20.277 - INFO - FASTA - imported: id=CFHKPG_00005, length=1056, description=trpS, genomic=True, dna=True
23:45:20.277 - INFO - FASTA - imported: id=CFHKPG_00006, length=1089, description=perM, genomic=True, dna=True
23:45:20.277 - INFO - FASTA - imported: id=CFHKPG_00007, length=858, description=Uncharacterized protein BB_0007, genomic=True, dna=True
23:45:20.277 - INFO - FASTA - imported: id=CFHKPG_00008, length=771, description=cdaA, genomic=True, dna=True
23:45:20.277 - INFO - FASTA - imported: id=CFHKPG_00009, length=1005, description=YbbR-like domain-containing protein BB-0009, genomic=True, dna=True
23:45:20.277 - INFO - FASTA - imported: id=CFHKPG_00010, length=375, description=acpS, genomic=True, dna=True
23:45:20.277 - INFO - FASTA - imported: id=CFHKPG_00011, length=840, description=Uncharacterized protein BB_0011, genomic=True, dna=True
23:45:20.278 - INFO - FASTA - imported: id=CFHKPG_00012, length=741, description=truA, genomic=True, dna=True
23:45:20.278 - INFO - FASTA - imported: id=CFHKPG_00013, length=600, description=Uncharacterized protein BB_0013, genomic=True, dna=True
23:45:20.278 - INFO - FASTA - imported: id=CFHKPG_00014, length=1983, description=priA, genomic=True, dna=True
23:45:20.278 - INFO - FASTA - imported: id=CFHKPG_00015, length=621, description=udk, genomic=True, dna=True
23:45:20.278 - INFO - FASTA - imported: id=CFHKPG_00016, length=378, description=pspE, genomic=True, dna=True
23:45:20.278 - INFO - FASTA - imported: id=CFHKPG_00017, length=810, description=yitT, genomic=True, dna=True
23:45:20.278 - INFO - FASTA - imported: id=CFHKPG_00018, length=981, description=rluD, genomic=True, dna=True
23:45:20.278 - INFO - FASTA - imported: id=CFHKPG_00019, length=513, description=Uncharacterized protein BB_0019, genomic=True, dna=True
23:45:20.278 - INFO - FASTA - imported: id=CFHKPG_00020, length=1668, description=pfp, genomic=True, dna=True
23:45:20.278 - INFO - FASTA - imported: id=CFHKPG_00021, length=432, description=queA, genomic=True, dna=True
23:45:20.278 - INFO - FASTA - imported: id=CFHKPG_00022, length=639, description=S-adenosylmethionine:tRNA ribosyltransferase-isomerase, genomic=True, dna=True
23:45:20.278 - INFO - FASTA - imported: id=CFHKPG_00023, length=1044, description=ruvB, genomic=True, dna=True
23:45:20.278 - INFO - FASTA - imported: id=CFHKPG_00024, length=594, description=ruvA, genomic=True, dna=True
23:45:20.278 - INFO - FASTA - imported: id=CFHKPG_00025, length=1140, description=yliI, genomic=True, dna=True
23:45:20.278 - INFO - FASTA - imported: id=CFHKPG_00026, length=732, description=tACO1, genomic=True, dna=True
23:45:20.278 - INFO - FASTA - imported: id=CFHKPG_00027, length=927, description=folD, genomic=True, dna=True
23:45:20.278 - INFO - FASTA - imported: id=CFHKPG_00028, length=639, description=Uncharacterized protein BB_0027, genomic=True, dna=True
23:45:20.278 - INFO - FASTA - imported: id=CFHKPG_00029, length=1050, description=bamB, genomic=True, dna=True
23:45:20.278 - INFO - FASTA - imported: id=CFHKPG_00030, length=432, description=yaiI, genomic=True, dna=True
23:45:20.278 - INFO - FASTA - imported: id=CFHKPG_00031, length=636, description=lepB, genomic=True, dna=True
23:45:20.278 - INFO - FASTA - imported: id=CFHKPG_00032, length=981, description=group_3659, genomic=True, dna=True
23:45:20.278 - INFO - FASTA - imported: id=CFHKPG_00033, length=1473, description=yfmG, genomic=True, dna=True
23:45:20.278 - INFO - FASTA - imported: id=CFHKPG_00034, length=453, description=smpB, genomic=True, dna=True
23:45:20.278 - INFO - FASTA - imported: id=CFHKPG_00035, length=540, description=P13 family porin, genomic=True, dna=True
23:45:20.278 - INFO - FASTA - imported: id=CFHKPG_00036, length=1881, description=parC, genomic=True, dna=True
23:45:20.278 - INFO - FASTA - imported: id=CFHKPG_00037, length=1800, description=parE, genomic=True, dna=True
23:45:20.278 - INFO - FASTA - imported: id=CFHKPG_00038, length=753, description=plsC, genomic=True, dna=True
23:45:20.278 - INFO - FASTA - imported: id=CFHKPG_00039, length=1518, description=Uncharacterized protein BB_0038, genomic=True, dna=True
23:45:20.279 - INFO - FASTA - imported: id=CFHKPG_00040, length=1503, description=Uncharacterized protein BB_0039, genomic=True, dna=True
