Sample	>= 50000 bp	25000-50000 bp	10000-25000 bp	5000-10000 bp	1000-5000 bp	0-1000 bp
B331PP	2.0	12.0	4.0	1.0	0.0	0.0
B418PP	2.0	11.0	4.0	1.0	0.0	0.0
B500PP	2.0	13.0	4.0	0.0	0.0	0.0
ESI26H	3.0	6.0	3.0	0.0	7.0	45.0
ESI36H	3.0	4.0	2.0	0.0	2.0	0.0
ESI403H	3.0	9.0	3.0	1.0	4.0	14.0
ESI425H	5.0	7.0	3.0	0.0	2.0	4.0
GCA_002151465.1_ASM215146v1_genomic	3.0	8.0	1.0	0.0	0.0	0.0
GCA_002151485.1_ASM215148v1_genomic	5.0	5.0	1.0	0.0	0.0	0.0
GCA_002151505.1_ASM215150v1_genomic	4.0	7.0	2.0	0.0	0.0	0.0
GCA_002442595.2_ASM244259v2_genomic	2.0	12.0	4.0	1.0	0.0	0.0
GCA_003367295.1_ASM336729v1_genomic	2.0	7.0	7.0	0.0	0.0	0.0
GCA_019134655.1_ASM1913465v1_genomic	2.0	8.0	1.0	0.0	0.0	0.0
GCA_019464575.1_ASM1946457v1_genomic	2.0	13.0	4.0	0.0	0.0	0.0
GCA_024662155.1_ASM2466215v1_genomic	2.0	12.0	4.0	0.0	0.0	0.0
GCA_024662175.1_ASM2466217v1_genomic	2.0	13.0	3.0	0.0	0.0	0.0
GCA_024662195.1_ASM2466219v1_genomic	3.0	14.0	3.0	1.0	0.0	0.0
GCA_030439605.1_ASM3043960v1_genomic	2.0	1.0	1.0	0.0	0.0	0.0
GCA_030439625.1_ASM3043962v1_genomic	2.0	1.0	1.0	0.0	0.0	0.0
GCA_030439665.1_ASM3043966v1_genomic	2.0	1.0	1.0	0.0	0.0	0.0
GCA_030440345.1_ASM3044034v1_genomic	2.0	1.0	1.0	0.0	0.0	0.0
GCA_030444985.1_ASM3044498v1_genomic	2.0	1.0	1.0	0.0	0.0	0.0
GCA_030445005.1_ASM3044500v1_genomic	2.0	1.0	1.0	0.0	0.0	0.0
GCA_030445025.1_ASM3044502v1_genomic	2.0	1.0	1.0	0.0	0.0	0.0
GCA_030445065.1_ASM3044506v1_genomic	2.0	1.0	1.0	0.0	0.0	0.0
GCA_032595375.1_ASM3259537v1_genomic	2.0	1.0	1.0	0.0	0.0	0.0
GCA_032595515.1_ASM3259551v1_genomic	1.0	2.0	1.0	0.0	0.0	0.0
GCA_032595535.1_ASM3259553v1_genomic	2.0	1.0	1.0	0.0	0.0	0.0
GCA_032595755.1_ASM3259575v1_genomic	2.0	1.0	1.0	0.0	0.0	0.0
GCA_038801875.1_ASM3880187v1_genomic	1.0	1.0	0.0	0.0	0.0	0.0
GCA_040790715.1_ASM4079071v1_genomic	2.0	9.0	3.0	0.0	0.0	0.0
GCA_040790735.1_ASM4079073v1_genomic	2.0	11.0	5.0	0.0	0.0	0.0
GCA_040790745.1_ASM4079074v1_genomic	2.0	10.0	5.0	1.0	0.0	0.0
GCA_040790755.1_ASM4079075v1_genomic	2.0	10.0	2.0	2.0	0.0	0.0
GCA_040790765.1_ASM4079076v1_genomic	2.0	13.0	2.0	1.0	1.0	0.0
GCA_040790775.1_ASM4079077v1_genomic	3.0	11.0	3.0	0.0	0.0	0.0
GCA_040790785.1_ASM4079078v1_genomic	2.0	12.0	3.0	1.0	0.0	0.0
GCA_040790795.1_ASM4079079v1_genomic	2.0	9.0	5.0	0.0	0.0	0.0
GCA_040790805.1_ASM4079080v1_genomic	2.0	7.0	3.0	0.0	0.0	0.0
GCA_040819585.1_PFhe_I_PB_Ill_cons_genomic	2.0	10.0	3.0	0.0	0.0	0.0
GCF_000008685.2_ASM868v2_genomic	3.0	14.0	3.0	2.0	0.0	0.0
GCF_000021405.1_ASM2140v1_genomic	2.0	10.0	3.0	0.0	0.0	0.0
GCF_000166635.1_ASM16663v1_genomic	2.0	10.0	4.0	1.0	0.0	0.0
GCF_000166655.1_ASM16665v1_genomic	3.0	13.0	5.0	0.0	0.0	0.0
GCF_000171735.2_ASM17173v2_genomic	8.0	13.0	4.0	1.0	0.0	1.0
GCF_000172295.2_ASM17229v2_genomic	7.0	17.0	15.0	6.0	6.0	2.0
GCF_000172315.2_ASM17231v2_genomic	9.0	11.0	1.0	0.0	5.0	0.0
GCF_000172335.2_ASM17233v2_genomic	7.0	14.0	3.0	0.0	0.0	0.0
GCF_000181555.2_ASM18155v2_genomic	2.0	12.0	7.0	0.0	7.0	4.0
GCF_000181575.2_ASM18157v2_genomic	5.0	9.0	5.0	0.0	1.0	0.0
GCF_000181715.2_ASM18171v2_genomic	6.0	10.0	3.0	1.0	2.0	3.0
GCF_000181855.2_ASM18185v2_genomic	6.0	19.0	13.0	6.0	8.0	2.0
GCF_002151465.1_ASM215146v1_genomic	3.0	8.0	1.0	0.0	0.0	0.0
GCF_002151485.1_ASM215148v1_genomic	5.0	5.0	1.0	0.0	0.0	0.0
GCF_002151505.1_ASM215150v1_genomic	4.0	7.0	2.0	0.0	0.0	0.0
GCF_002442595.2_ASM244259v2_genomic	2.0	12.0	4.0	1.0	0.0	0.0
GCF_003367295.1_ASM336729v1_genomic	2.0	7.0	7.0	0.0	0.0	0.0
GCF_019134655.1_ASM1913465v1_genomic	2.0	8.0	1.0	0.0	0.0	0.0
GCF_019464575.1_ASM1946457v1_genomic	2.0	13.0	4.0	0.0	0.0	0.0
GCF_024662155.1_ASM2466215v1_genomic	2.0	12.0	4.0	0.0	0.0	0.0
GCF_024662175.1_ASM2466217v1_genomic	2.0	13.0	3.0	0.0	0.0	0.0
GCF_024662195.1_ASM2466219v1_genomic	3.0	14.0	3.0	1.0	0.0	0.0
GCF_040790715.1_ASM4079071v1_genomic	2.0	9.0	3.0	0.0	0.0	0.0
GCF_040790735.1_ASM4079073v1_genomic	2.0	11.0	5.0	0.0	0.0	0.0
GCF_040790745.1_ASM4079074v1_genomic	2.0	10.0	5.0	1.0	0.0	0.0
GCF_040790755.1_ASM4079075v1_genomic	2.0	10.0	2.0	2.0	0.0	0.0
GCF_040790765.1_ASM4079076v1_genomic	2.0	13.0	2.0	1.0	1.0	0.0
GCF_040790775.1_ASM4079077v1_genomic	3.0	11.0	3.0	0.0	0.0	0.0
