Sample	CDS	rRNA	tRNA	tmRNA	ncRNA	ncRNA region	hypothetical	pseudogene	gap	oriC
B331PP	1379.0	5.0	32.0	1.0	2.0	0.0	67.0	4.0	0.0	1.0
B331PP-checkpoint	1379.0	5.0	32.0	1.0	2.0	0.0	67.0	4.0	0.0	1.0
B418PP	1336.0	5.0	33.0	1.0	2.0	0.0	77.0	9.0	0.0	1.0
B500PP	1402.0	5.0	32.0	1.0	2.0	0.0	70.0	8.0	0.0	1.0
ESI26H	1213.0	5.0	32.0	1.0	2.0	0.0	66.0	9.0	0.0	1.0
ESI36H	1118.0	5.0	32.0	1.0	2.0	0.0	30.0	4.0	0.0	1.0
ESI403H	1338.0	5.0	33.0	1.0	2.0	0.0	74.0	11.0	0.0	1.0
ESI425H	1199.0	3.0	32.0	1.0	2.0	0.0	46.0	1.0	0.0	1.0
GCA_002151465.1_ASM215146v1_genomic	1274.0	5.0	32.0	1.0	2.0	0.0	56.0	18.0	0.0	1.0
GCA_002151485.1_ASM215148v1_genomic	1305.0	5.0	32.0	1.0	2.0	0.0	57.0	22.0	0.0	1.0
GCA_002151505.1_ASM215150v1_genomic	1339.0	5.0	32.0	1.0	2.0	0.0	60.0	15.0	0.0	1.0
GCA_002442595.2_ASM244259v2_genomic	1379.0	5.0	32.0	1.0	2.0	0.0	67.0	4.0	0.0	1.0
GCA_003367295.1_ASM336729v1_genomic	1237.0	5.0	32.0	1.0	2.0	0.0	49.0	9.0	0.0	1.0
GCA_019134655.1_ASM1913465v1_genomic	1168.0	5.0	32.0	1.0	2.0	0.0	41.0	6.0	0.0	1.0
GCA_019464575.1_ASM1946457v1_genomic	1405.0	5.0	32.0	1.0	2.0	0.0	68.0	8.0	0.0	1.0
GCA_024662155.1_ASM2466215v1_genomic	1357.0	5.0	32.0	1.0	2.0	0.0	72.0	7.0	0.0	1.0
GCA_024662175.1_ASM2466217v1_genomic	1400.0	5.0	32.0	1.0	2.0	0.0	59.0	5.0	0.0	1.0
GCA_024662195.1_ASM2466219v1_genomic	1505.0	5.0	32.0	1.0	2.0	0.0	86.0	21.0	0.0	1.0
GCA_030439605.1_ASM3043960v1_genomic	919.0	5.0	32.0	1.0	2.0	0.0	19.0	4.0	0.0	1.0
GCA_030439625.1_ASM3043962v1_genomic	918.0	5.0	32.0	1.0	2.0	0.0	22.0	0.0	0.0	1.0
GCA_030439665.1_ASM3043966v1_genomic	915.0	5.0	32.0	1.0	2.0	0.0	21.0	1.0	0.0	1.0
GCA_030440345.1_ASM3044034v1_genomic	918.0	5.0	32.0	1.0	2.0	0.0	18.0	0.0	0.0	1.0
GCA_030444985.1_ASM3044498v1_genomic	917.0	5.0	32.0	1.0	2.0	0.0	19.0	2.0	0.0	1.0
GCA_030445005.1_ASM3044500v1_genomic	918.0	5.0	32.0	1.0	2.0	0.0	22.0	2.0	0.0	1.0
GCA_030445025.1_ASM3044502v1_genomic	919.0	5.0	32.0	1.0	2.0	0.0	21.0	1.0	0.0	1.0
GCA_030445065.1_ASM3044506v1_genomic	920.0	5.0	32.0	1.0	2.0	0.0	22.0	1.0	0.0	1.0
GCA_032595375.1_ASM3259537v1_genomic	922.0	5.0	32.0	1.0	2.0	0.0	26.0	4.0	0.0	1.0
GCA_032595515.1_ASM3259551v1_genomic	903.0	5.0	30.0	1.0	2.0	0.0	25.0	2.0	9.0	1.0
GCA_032595535.1_ASM3259553v1_genomic	907.0	5.0	32.0	1.0	2.0	0.0	24.0	2.0	12.0	1.0
GCA_032595755.1_ASM3259575v1_genomic	882.0	5.0	27.0	1.0	1.0	0.0	33.0	5.0	23.0	1.0
GCA_038801875.1_ASM3880187v1_genomic	846.0	5.0	32.0	1.0	2.0	0.0	16.0	2.0	0.0	1.0
GCA_040790715.1_ASM4079071v1_genomic	1216.0	3.0	32.0	1.0	2.0	0.0	51.0	2.0	0.0	1.0
GCA_040790735.1_ASM4079073v1_genomic	1359.0	3.0	33.0	1.0	2.0	0.0	59.0	5.0	1.0	1.0
GCA_040790745.1_ASM4079074v1_genomic	1331.0	5.0	33.0	1.0	2.0	0.0	78.0	11.0	3.0	1.0
GCA_040790755.1_ASM4079075v1_genomic	1300.0	5.0	33.0	1.0	2.0	0.0	69.0	14.0	0.0	1.0
GCA_040790765.1_ASM4079076v1_genomic	1369.0	5.0	32.0	1.0	2.0	0.0	54.0	12.0	0.0	1.0
GCA_040790775.1_ASM4079077v1_genomic	1383.0	3.0	32.0	1.0	2.0	1.0	76.0	16.0	0.0	1.0
GCA_040790785.1_ASM4079078v1_genomic	1347.0	5.0	32.0	1.0	2.0	0.0	55.0	5.0	1.0	1.0
GCA_040790795.1_ASM4079079v1_genomic	1251.0	3.0	32.0	1.0	2.0	0.0	64.0	5.0	0.0	1.0
GCA_040790805.1_ASM4079080v1_genomic	1169.0	3.0	36.0	1.0	2.0	0.0	58.0	11.0	0.0	1.0
GCA_040819585.1_PFhe_I_PB_Ill_cons_genomic	1317.0	5.0	32.0	1.0	2.0	0.0	89.0	20.0	0.0	1.0
GCF_000008685.2_ASM868v2_genomic	1508.0	5.0	32.0	1.0	2.0	0.0	85.0	22.0	2.0	1.0
GCF_000021405.1_ASM2140v1_genomic	1327.0	3.0	32.0	1.0	2.0	0.0	70.0	12.0	0.0	1.0
GCF_000166635.1_ASM16663v1_genomic	1311.0	5.0	32.0	1.0	2.0	0.0	72.0	7.0	0.0	1.0
GCF_000166655.1_ASM16665v1_genomic	1519.0	5.0	32.0	1.0	2.0	0.0	77.0	6.0	0.0	1.0
GCF_000171735.2_ASM17173v2_genomic	1441.0	3.0	30.0	1.0	2.0	0.0	61.0	2.0	0.0	1.0
GCF_000172295.2_ASM17229v2_genomic	1302.0	3.0	30.0	1.0	2.0	0.0	94.0	24.0	0.0	1.0
GCF_000172315.2_ASM17231v2_genomic	1252.0	7.0	31.0	1.0	2.0	0.0	53.0	13.0	0.0	1.0
GCF_000172335.2_ASM17233v2_genomic	1475.0	3.0	31.0	1.0	2.0	0.0	77.0	11.0	0.0	1.0
GCF_000181555.2_ASM18155v2_genomic	1418.0	4.0	32.0	1.0	2.0	0.0	61.0	4.0	0.0	1.0
GCF_000181575.2_ASM18157v2_genomic	1306.0	5.0	30.0	1.0	2.0	0.0	53.0	6.0	0.0	1.0
GCF_000181715.2_ASM18171v2_genomic	1255.0	3.0	29.0	1.0	2.0	0.0	46.0	6.0	0.0	1.0
GCF_000181855.2_ASM18185v2_genomic	1411.0	6.0	27.0	1.0	2.0	0.0	102.0	33.0	0.0	1.0
GCF_002151465.1_ASM215146v1_genomic	1274.0	5.0	32.0	1.0	2.0	0.0	56.0	18.0	0.0	1.0
GCF_002151485.1_ASM215148v1_genomic	1305.0	5.0	32.0	1.0	2.0	0.0	57.0	22.0	0.0	1.0
GCF_002151505.1_ASM215150v1_genomic	1339.0	5.0	32.0	1.0	2.0	0.0	60.0	15.0	0.0	1.0
GCF_002442595.2_ASM244259v2_genomic	1379.0	5.0	32.0	1.0	2.0	0.0	67.0	4.0	0.0	1.0
GCF_003367295.1_ASM336729v1_genomic	1237.0	5.0	32.0	1.0	2.0	0.0	49.0	9.0	0.0	1.0
GCF_019134655.1_ASM1913465v1_genomic	1168.0	5.0	32.0	1.0	2.0	0.0	41.0	6.0	0.0	1.0
GCF_019464575.1_ASM1946457v1_genomic	1405.0	5.0	32.0	1.0	2.0	0.0	68.0	8.0	0.0	1.0
GCF_024662155.1_ASM2466215v1_genomic	1357.0	5.0	32.0	1.0	2.0	0.0	72.0	7.0	0.0	1.0
GCF_024662175.1_ASM2466217v1_genomic	1400.0	5.0	32.0	1.0	2.0	0.0	59.0	5.0	0.0	1.0
GCF_024662195.1_ASM2466219v1_genomic	1505.0	5.0	32.0	1.0	2.0	0.0	86.0	21.0	0.0	1.0
GCF_040790715.1_ASM4079071v1_genomic	1216.0	3.0	32.0	1.0	2.0	0.0	51.0	2.0	0.0	1.0
GCF_040790735.1_ASM4079073v1_genomic	1359.0	3.0	33.0	1.0	2.0	0.0	59.0	5.0	1.0	1.0
GCF_040790745.1_ASM4079074v1_genomic	1331.0	5.0	33.0	1.0	2.0	0.0	78.0	11.0	3.0	1.0
GCF_040790755.1_ASM4079075v1_genomic	1300.0	5.0	33.0	1.0	2.0	0.0	69.0	14.0	0.0	1.0
GCF_040790765.1_ASM4079076v1_genomic	1369.0	5.0	32.0	1.0	2.0	0.0	54.0	12.0	0.0	1.0
