ID or #		Start	End	Type	Contig
==================================================
NC_001318.1:1..910724		1	910724	partial	contig_2:213822-7,contig_1:3-695972,contig_15:16226-16563,contig_1:696229-696339
gene-BB_RS00005		105	677	complete	contig_2:213760-213188
gene-BB_RS00010		768	1796	complete	contig_2:213097-212069
gene-BB_RS00015		1784	3249	complete	contig_2:212081-210616
gene-BB_RS00020		3395	5188	complete	contig_2:210470-208677
gene-BB_RS00025		5251	6306	complete	contig_2:208614-207559
gene-BB_RS00030		6309	7397	complete	contig_2:207556-206468
gene-BB_RS00035		7458	8315	complete	contig_2:206407-205550
gene-BB_RS00040		8427	9197	complete	contig_2:205438-204668
gene-BB_RS00045		9202	10206	complete	contig_2:204663-203659
gene-BB_RS00050		10203	10577	complete	contig_2:203662-203288
gene-BB_RS00055		10581	11420	complete	contig_2:203284-202445
gene-BB_RS00060		11421	12161	complete	contig_2:202444-201704
gene-BB_RS00065		12154	12753	complete	contig_2:201711-201112
gene-BB_RS00070		12746	14728	complete	contig_2:201119-199137
gene-BB_RS00075		14725	15345	complete	contig_2:199140-198520
gene-BB_RS00080		15345	15716	complete	contig_2:198520-198149
gene-BB_RS00085		15845	16804	complete	contig_2:198020-197061
gene-BB_RS00090		16807	17787	complete	contig_2:197058-196078
gene-BB_RS00095		17792	18304	complete	contig_2:196073-195561
gene-BB_RS00100		18312	19979	complete	contig_2:195553-193886
gene-BB_RS00105		20051	21083	complete	contig_2:193814-192782
gene-BB_RS00110		21058	22101	complete	contig_2:192807-191764
gene-BB_RS00115		22146	22739	complete	contig_2:191719-191126
gene-BB_RS00120		22819	23958	complete	contig_2:191046-189907
gene-BB_RS00125		23965	24696	complete	contig_2:189900-189169
gene-BB_RS00130		24697	25602	complete	contig_2:189168-188263
gene-BB_RS00135		25753	26391	complete	contig_2:188112-187474
gene-BB_RS00140		26399	27448	complete	contig_2:187466-186417
gene-BB_RS00145		27434	27865	complete	contig_2:186431-186000
gene-BB_RS00150		27855	28490	complete	contig_2:186010-185375
gene-BB_RS00155		28492	29472	complete	contig_2:185373-184393
gene-BB_RS00160		29543	31015	complete	contig_2:184322-182850
gene-BB_RS00165		31027	31479	complete	contig_2:182838-182386
gene-BB_RS00170		31550	32089	complete	contig_2:182315-181776
gene-BB_RS00175		32157	34037	complete	contig_2:181708-179828
gene-BB_RS00180		34037	35836	complete	contig_2:179828-178029
gene-BB_RS00185		35857	36609	complete	contig_2:178008-177256
gene-BB_RS00190		36606	38123	complete	contig_2:177259-175742
gene-BB_RS00195		38136	39638	complete	contig_2:175729-174227
gene-BB_RS00200		39826	40677	complete	contig_2:174039-173188
gene-BB_RS00205		40761	41432	complete	contig_2:173104-172433
gene-BB_RS00210		41443	42483	complete	contig_2:172422-171382
gene-BB_RS00215		42480	42881	complete	contig_2:171385-170984
gene-BB_RS00220		42907	45354	complete	contig_2:170958-168511
gene-BB_RS00225		45446	45991	complete	contig_2:168419-167874
gene-BB_RS00230		46011	46379	complete	contig_2:167854-167486
gene-BB_RS00235		46530	46601	complete	contig_2:167335-167264
rna-BB_RS00235		46530	46601	complete	contig_2:167335-167264
exon-BB_RS00235-1		46530	46601	complete	contig_2:167335-167264
gene-BB_RS00240		46688	47049	complete	contig_2:167177-166816
rna-BB_RS00240		46688	47049	complete	contig_2:167177-166816
exon-BB_RS00240-1		46688	47049	complete	contig_2:167177-166816
gene-BB_RS00245		47167	47841	complete	contig_2:166698-166024
gene-BB_RS00250		47917	48606	complete	contig_2:165948-165259
gene-BB_RS00255		48603	49259	complete	contig_2:165262-164606
gene-BB_RS00260		49341	50012	complete	contig_2:164524-163853
gene-BB_RS00265		50112	50474	complete	contig_2:163753-163391
gene-BB_RS00270		50490	51251	complete	contig_2:163375-162614
gene-BB_RS00275		51253	52434	complete	contig_2:162612-161431
gene-BB_RS00280		52454	53461	complete	contig_2:161411-160404
gene-BB_RS00285		53534	55504	complete	contig_2:160331-158361
gene-BB_RS00290		55501	56280	complete	contig_2:158364-157585
gene-BB_RS00295		56281	56748	complete	contig_2:157584-157117
gene-BB_RS00300		56832	57185	complete	contig_2:157033-156680
gene-BB_RS00305		57259	57975	complete	contig_2:156606-155890
gene-BB_RS00310		58029	59036	complete	contig_2:155836-154829
gene-BB_RS00315		59101	60039	complete	contig_2:154764-153826
gene-BB_RS00320		60036	60533	complete	contig_2:153829-153332
gene-BB_RS00325		60568	61257	complete	contig_2:153297-152608
gene-BB_RS00330		61254	63032	complete	contig_2:152611-150833
gene-BB_RS00335		63147	64028	complete	contig_2:150718-149837
gene-BB_RS00340		64038	65276	complete	contig_2:149827-148589
gene-BB_RS00345		65291	65752	complete	contig_2:148574-148113
gene-BB_RS00350		65768	67240	complete	contig_2:148097-146625
gene-BB_RS00355		67248	69569	complete	contig_2:146617-144296
gene-BB_RS00360		69566	70126	complete	contig_2:144299-143739
gene-BB_RS00365		70142	71219	complete	contig_2:143723-142646
gene-BB_RS00370		71201	72610	complete	contig_2:142664-141255
gene-BB_RS00375		72647	73492	complete	contig_2:141218-140373
gene-BB_RS00380		73489	74517	complete	contig_2:140376-139348
gene-BB_RS00385		74518	75772	complete	contig_2:139347-138093
gene-BB_RS00390		75774	76454	complete	contig_2:138091-137411
gene-BB_RS00395		76451	77701	complete	contig_2:137414-136164
gene-BB_RS00400		77711	79009	complete	contig_2:136154-134856
gene-BB_RS00405		79002	79322	complete	contig_2:134863-134543
gene-BB_RS00410		79505	80773	complete	contig_2:134360-133092
gene-BB_RS00415		80983	81408	complete	contig_2:132882-132457
gene-BB_RS00420		81405	82940	complete	contig_2:132460-130925
gene-BB_RS00425		82970	83920	complete	contig_2:130895-129945
gene-BB_RS00430		84041	85840	complete	contig_2:129824-128025
gene-BB_RS00435		85880	86854	complete	contig_2:127985-127011
gene-BB_RS00440		86926	87360	complete	contig_2:126939-126505
gene-BB_RS00445		87377	89203	complete	contig_2:126488-124662
gene-BB_RS00450		89200	89808	complete	contig_2:124665-124057
gene-BB_RS00455		89811	91115	complete	contig_2:124054-122750
gene-BB_RS00460		91137	92864	complete	contig_2:122728-121001
gene-BB_RS00465		92878	93423	complete	contig_2:120987-120442
gene-BB_RS00470		93433	94032	complete	contig_2:120432-119833
gene-BB_RS00475		94219	94605	complete	contig_2:119646-119260
gene-BB_RS00480		94611	96953	complete	contig_2:119254-116912
gene-BB_RS00485		96943	97866	complete	contig_2:116922-115999
gene-BB_RS00490		97863	98648	complete	contig_2:116002-115217
gene-BB_RS00495		98817	100205	complete	contig_2:115048-113660
gene-BB_RS00500		100228	100749	complete	contig_2:113637-113116
gene-BB_RS00505		100746	101339	complete	contig_2:113119-112526
gene-BB_RS00510		101525	102949	complete	contig_2:112340-110916
gene-BB_RS00515		103016	103771	complete	contig_2:110849-110094
gene-BB_RS00520		103764	105431	complete	contig_2:110101-108434
gene-BB_RS00525		105418	105846	complete	contig_2:108447-108019
gene-BB_RS00530		105884	106894	complete	contig_2:107981-106971
gene-BB_RS00535		106974	108170	complete	contig_2:106891-105695
gene-BB_RS00540		108307	109671	complete	contig_2:105558-104194
gene-BB_RS00545		109675	111042	complete	contig_2:104190-102823
gene-BB_RS00550		111046	111567	complete	contig_2:102819-102298
gene-BB_RS00555		111585	111875	complete	contig_2:102280-101990
gene-BB_RS00560		111889	112338	complete	contig_2:101976-101527
gene-BB_RS00565		112350	112769	complete	contig_2:101515-101096
gene-BB_RS00570		112909	114603	complete	contig_2:100956-99262
gene-BB_RS00575		114807	115508	complete	contig_2:99058-98357
gene-BB_RS00580		115505	116806	complete	contig_2:98360-97059
gene-BB_RS00585		116825	117676	complete	contig_2:97040-96189
gene-BB_RS00590		117678	118370	complete	contig_2:96187-95495
gene-BB_RS00595		118375	118929	complete	contig_2:95490-94936
gene-BB_RS00600		118964	119803	complete	contig_2:94901-94062
gene-BB_RS00605		119807	120589	complete	contig_2:94058-93276
gene-BB_RS00610		120804	121082	complete	contig_2:93061-92783
gene-BB_RS00615		121101	121823	complete	contig_2:92764-92042
gene-BB_RS00620		121880	122491	complete	contig_2:91985-91374
gene-BB_RS00625		122491	124146	complete	contig_2:91374-89719
gene-BB_RS00630		124149	124814	complete	contig_2:89716-89051
gene-BB_RS00635		124798	125547	complete	contig_2:89067-88318
gene-BB_RS00640		125534	126301	complete	contig_2:88331-87564
gene-BB_RS00645		126316	127413	complete	contig_2:87549-86452
gene-BB_RS00650		127427	130132	complete	contig_2:86438-83733
gene-BB_RS00655		130170	131114	complete	contig_2:83695-82751
gene-BB_RS00660		131298	132425	complete	contig_2:82567-81440
gene-BB_RS00665		132472	133842	complete	contig_2:81393-80023
gene-BB_RS00670		133975	135864	complete	contig_2:79890-78001
gene-BB_RS00675		135874	137766	complete	contig_2:77991-76099
gene-BB_RS00685		138434	138745	complete	contig_2:75431-75120
gene-BB_RS00690		138747	141960	complete	contig_2:75118-71905
gene-BB_RS00695		141979	142932	complete	contig_2:71886-70933
gene-BB_RS00700		142944	144230	complete	contig_2:70921-69635
gene-BB_RS00705		144307	144597	complete	contig_2:69558-69268
gene-BB_RS00710		144586	145458	complete	contig_2:69279-68407
gene-BB_RS00715		145471	146370	complete	contig_2:68394-67495
gene-BB_RS00720		146377	147495	complete	contig_2:67488-66370
gene-BB_RS00725		147649	148659	complete	contig_2:66216-65206
gene-BB_RS00730		148786	150783	complete	contig_2:65079-63082
gene-BB_RS00735		150974	152179	complete	contig_2:62891-61686
gene-BB_RS00740		152206	153012	complete	contig_2:61659-60853
gene-BB_RS00745		153075	153686	complete	contig_2:60790-60179
gene-BB_RS00750		153701	156400	complete	contig_2:60164-57465
gene-BB_RS00755		156462	157598	complete	contig_2:57403-56267
gene-BB_RS00760		157627	158061	complete	contig_2:56238-55804
gene-BB_RS00765		158058	158474	complete	contig_2:55807-55391
gene-BB_RS00770		158628	159344	complete	contig_2:55237-54521
gene-BB_RS00775		159368	160042	complete	contig_2:54497-53823
gene-BB_RS00780		160090	161208	complete	contig_2:53775-52657
gene-BB_RS00785		161200	162801	complete	contig_2:52665-51064
gene-BB_RS07735		162878	163045	complete	contig_2:50987-50820
gene-BB_RS00790		163072	164820	complete	contig_2:50793-49045
gene-BB_RS00795		164901	165887	complete	contig_2:48964-47978
gene-BB_RS00800		165915	167759	complete	contig_2:47950-46106
gene-BB_RS00805		167879	169399	complete	contig_2:45986-44466
gene-BB_RS00810		169539	170708	complete	contig_2:44326-43157
gene-BB_RS00815		170720	171097	complete	contig_2:43145-42768
gene-BB_RS00820		171263	171484	complete	contig_2:42602-42381
gene-BB_RS00825		171532	173535	complete	contig_2:42333-40330
gene-BB_RS00830		173529	174116	complete	contig_2:40336-39749
gene-BB_RS00835		174098	175084	complete	contig_2:39767-38781
gene-BB_RS00840		175081	176082	complete	contig_2:38784-37783
gene-BB_RS00845		176069	176974	complete	contig_2:37796-36891
gene-BB_RS00850		176978	177853	complete	contig_2:36887-36012
gene-BB_RS00855		177868	178860	complete	contig_2:35997-35005
gene-BB_RS00860		178917	179543	complete	contig_2:34948-34322
gene-BB_RS00865		179540	181405	complete	contig_2:34325-32460
gene-BB_RS00870		181408	182802	complete	contig_2:32457-31063
gene-BB_RS00875		182886	183380	complete	contig_2:30979-30485
gene-BB_RS00880		183392	185275	complete	contig_2:30473-28590
gene-BB_RS00885		185278	186552	complete	contig_2:28587-27313
gene-BB_RS00890		186554	186946	complete	contig_2:27311-26919
gene-BB_RS00895		186949	187194	complete	contig_2:26916-26671
gene-BB_RS00900		187178	187831	complete	contig_2:26687-26034
gene-BB_RS00905		187824	188237	complete	contig_2:26041-25628
gene-BB_RS00910		188234	188494	complete	contig_2:25631-25371
gene-BB_RS00915		188708	189055	complete	contig_2:25157-24810
gene-BB_RS00920		189076	189276	complete	contig_2:24789-24589
gene-BB_RS00925		189299	189859	complete	contig_2:24566-24006
gene-BB_RS00930		190064	190717	complete	contig_2:23801-23148
gene-BB_RS00935		190719	191459	complete	contig_2:23146-22406
gene-BB_RS00940		191518	192327	complete	contig_2:22347-21538
gene-BB_RS00945		192324	193463	complete	contig_2:21541-20402
gene-BB_RS00950		193800	194873	complete	contig_2:20065-18992
gene-BB_RS00955		194876	195736	complete	contig_2:18989-18129
gene-BB_RS00960		195693	197696	complete	contig_2:18172-16169
gene-BB_RS00965		197686	199950	complete	contig_2:16179-13915
gene-BB_RS00970		199965	201050	complete	contig_2:13900-12815
gene-BB_RS00975		201052	202578	complete	contig_2:12813-11287
gene-BB_RS00980		202693	202765	complete	contig_2:11172-11100
rna-BB_RS00980		202693	202765	complete	contig_2:11172-11100
exon-BB_RS00980-1		202693	202765	complete	contig_2:11172-11100
gene-BB_RS00985		202850	204088	complete	contig_2:11015-9777
gene-BB_RS00990		204137	205072	complete	contig_2:9728-8793
gene-BB_RS00995		205073	206044	complete	contig_2:8792-7821
gene-BB_RS01000		206333	206405	complete	contig_2:7532-7460
rna-BB_RS01000		206333	206405	complete	contig_2:7532-7460
exon-BB_RS01000-1		206333	206405	complete	contig_2:7532-7460
gene-BB_RS01005		206428	206500	complete	contig_2:7437-7365
rna-BB_RS01005		206428	206500	complete	contig_2:7437-7365
exon-BB_RS01005-1		206428	206500	complete	contig_2:7437-7365
gene-BB_RS01010		206529	208106	complete	contig_2:7336-5759
gene-BB_RS01015		208084	208653	complete	contig_2:5781-5212
gene-BB_RS01020		208706	209542	complete	contig_2:5159-4323
gene-BB_RS01025		209529	211274	complete	contig_2:4336-2591
gene-BB_RS01030		211301	212068	complete	contig_2:2564-1797
gene-BB_RS01035		212061	215420	partial	contig_2:1804-7,contig_1:3-1319
gene-BB_RS01040		215427	217259	complete	contig_1:1326-3158
gene-BB_RS01045		217278	218312	complete	contig_1:3177-4211
gene-BB_RS01050		218340	218413	complete	contig_1:4239-4312
rna-BB_RS01050		218340	218413	complete	contig_1:4239-4312
exon-BB_RS01050-1		218340	218413	complete	contig_1:4239-4312
gene-BB_RS01055		218425	219078	complete	contig_1:4324-4977
gene-BB_RS01060		219056	219634	complete	contig_1:4955-5533
gene-BB_RS01065		219800	220639	complete	contig_1:5699-6538
gene-BB_RS01070		220729	221637	complete	contig_1:6628-7536
gene-BB_RS01075		221742	223178	complete	contig_1:7641-9077
gene-BB_RS01080		223179	223961	complete	contig_1:9078-9860
gene-BB_RS01085		223964	224785	complete	contig_1:9863-10684
gene-BB_RS01090		224826	226610	complete	contig_1:10725-12509
gene-BB_RS01095		226610	227827	complete	contig_1:12509-13726
gene-BB_RS01100		227814	228521	complete	contig_1:13713-14420
gene-BB_RS01105		228542	228895	complete	contig_1:14441-14794
gene-BB_RS01110		228864	229148	complete	contig_1:14763-15047
gene-BB_RS01115		229217	230224	complete	contig_1:15116-16123
