00:49:04.302 - INFO - UTILS - version=1.10.0
00:49:04.302 - INFO - UTILS - developer: Oliver Schwengers, github.com/oschwengers
00:49:04.302 - INFO - UTILS - command: /opt/conda/bin/bakta --db /db --gram - --threads 359 --force --output /home/mf019/longread_pangenome/expanded_dataset_analysis/results/v7_filtered_sp/bakta_v7_filtered_sp --prefix roary_pangenome_v7_filtered_sp --genus Borrelia --species burgdorferi --strain sensu-stricto --keep-contig-headers -v --skip-plot /home/mf019/longread_pangenome/expanded_dataset_analysis/results/v7_filtered_sp/roary_v7_filtered_sp/pan_genome_reference.fa
00:49:04.302 - INFO - UTILS - local time: 2024-12-05 00:49:04
00:49:04.304 - INFO - UTILS - machine: type=, cores=360
00:49:04.305 - INFO - UTILS - system: type=Linux, release=6.1.0-28-cloud-amd64
00:49:04.305 - INFO - UTILS - python: version=3.11.10, implementation=CPython
00:49:04.305 - INFO - CONFIG - threads=359
00:49:04.305 - INFO - CONFIG - verbose=True
00:49:04.305 - INFO - CONFIG - debug=False
00:49:04.305 - INFO - CONFIG - database: type=parameter, path=/db
00:49:04.305 - INFO - CONFIG - tmp-path=/tmp/tmp_tw3nnux
00:49:04.305 - INFO - CONFIG - genome-path=/home/mf019/longread_pangenome/expanded_dataset_analysis/results/v7_filtered_sp/roary_v7_filtered_sp/pan_genome_reference.fa
00:49:04.305 - INFO - CONFIG - min_contig_length=1
00:49:04.305 - INFO - CONFIG - prefix=roary_pangenome_v7_filtered_sp
00:49:04.305 - INFO - CONFIG - output-path=/home/mf019/longread_pangenome/expanded_dataset_analysis/results/v7_filtered_sp/bakta_v7_filtered_sp
00:49:04.305 - INFO - CONFIG - force=True
00:49:04.305 - INFO - CONFIG - genus=Borrelia
00:49:04.305 - INFO - CONFIG - species=burgdorferi
00:49:04.305 - INFO - CONFIG - strain=sensu-stricto
00:49:04.305 - INFO - CONFIG - plasmid=None
00:49:04.305 - INFO - CONFIG - complete=False
00:49:04.305 - INFO - CONFIG - prodigal_tf=None
00:49:04.306 - INFO - CONFIG - translation_table=11
00:49:04.306 - INFO - CONFIG - gram=-
00:49:04.306 - INFO - CONFIG - compliant=False
00:49:04.306 - INFO - CONFIG - meta=False
00:49:04.306 - INFO - CONFIG - locus=None
00:49:04.306 - INFO - CONFIG - locus-tag=None
00:49:04.306 - INFO - CONFIG - locus-tag-increment=1
00:49:04.306 - INFO - CONFIG - keep_contig_headers=True
00:49:04.306 - INFO - CONFIG - replicon-table=None
00:49:04.306 - INFO - CONFIG - regions=None
00:49:04.306 - INFO - CONFIG - skip-tRNA=False
00:49:04.306 - INFO - CONFIG - skip-tmRNA=False
00:49:04.306 - INFO - CONFIG - skip-rRNA=False
00:49:04.306 - INFO - CONFIG - skip-ncRNA=False
00:49:04.306 - INFO - CONFIG - skip-ncRNA-region=False
00:49:04.306 - INFO - CONFIG - skip-CRISPR=False
00:49:04.306 - INFO - CONFIG - skip-CDS=False
00:49:04.306 - INFO - CONFIG - skip-pseudo=False
00:49:04.306 - INFO - CONFIG - skip-sORF=False
00:49:04.306 - INFO - CONFIG - skip-gap=False
00:49:04.306 - INFO - CONFIG - skip-ori=False
00:49:04.306 - INFO - CONFIG - skip-filter=False
00:49:04.306 - INFO - CONFIG - skip-plot=True
00:49:04.313 - INFO - DB - detected: major=5, minor=1, type=full, date=2024-01-19
00:49:04.461 - INFO - UTILS - dependency: tool=tRNAscan-SE, version=v2.0.12, path=/opt/conda/bin/tRNAscan-SE
00:49:04.467 - INFO - UTILS - dependency: tool=Aragorn, version=v1.2.41, path=/opt/conda/bin/aragorn
00:49:04.484 - INFO - UTILS - dependency: tool=CMscan, version=v1.1.5, path=/opt/conda/bin/cmscan
00:49:04.491 - INFO - UTILS - dependency: tool=PilerCR, version=v1.6.0, path=/opt/conda/bin/pilercr
00:49:04.552 - INFO - UTILS - dependency: tool=Pyrodigal, version=v3.6.3, path=/opt/conda/bin/python3
00:49:04.561 - INFO - UTILS - dependency: tool=AMRFinderPlus, version=v4.0.3, path=/opt/conda/bin/amrfinder
00:49:04.630 - INFO - UTILS - dependency: tool=Pyhmmer, version=v0.10.15, path=/opt/conda/bin/python3
00:49:04.666 - INFO - UTILS - dependency: tool=Diamond, version=v2.1.10, path=/opt/conda/bin/diamond
00:49:05.560 - INFO - UTILS - dependency: tool=Blastn, version=v2.16.0, path=/opt/conda/bin/blastn
00:49:05.566 - INFO - FASTA - imported: id=CFHKPG_00001, length=564, description=Uncharacterized protein BB_0001, genomic=True, dna=True
00:49:05.566 - INFO - FASTA - imported: id=CFHKPG_00002, length=1029, description=Glycoside hydrolase family 3 N-terminal domain-containing protein, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00003, length=1467, description=UTP--glucose-1-phosphate uridylyltransferase, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00004, length=1794, description=manB, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00005, length=1056, description=trpS, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00006, length=1089, description=perM, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00007, length=858, description=Uncharacterized protein BB_0007, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00008, length=771, description=cdaA, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00009, length=1005, description=YbbR-like domain-containing protein BB-0009, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00010, length=375, description=acpS, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00011, length=840, description=Uncharacterized protein BB_0011, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00012, length=741, description=truA, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00013, length=600, description=Uncharacterized protein BB_0013, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00014, length=1983, description=priA, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00015, length=621, description=udk, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00016, length=378, description=pspE, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00017, length=810, description=yitT, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00018, length=981, description=rluD, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00019, length=513, description=Uncharacterized protein BB_0019, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00020, length=1668, description=pfp, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00021, length=432, description=queA, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00023, length=1044, description=ruvB, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00024, length=594, description=ruvA, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00025, length=1140, description=yliI, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00026, length=732, description=tACO1, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00027, length=927, description=folD, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00028, length=639, description=Uncharacterized protein BB_0027, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00029, length=1050, description=bamB, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00030, length=432, description=yaiI, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00031, length=636, description=lepB, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00032, length=981, description=group_1712, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00033, length=1473, description=yfmG, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00034, length=453, description=smpB, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00035, length=540, description=group_1957, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00036, length=1881, description=parC, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00037, length=1800, description=parE, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00038, length=753, description=plsC, genomic=True, dna=True
00:49:05.567 - INFO - FASTA - imported: id=CFHKPG_00039, length=1518, description=Uncharacterized protein BB_0038, genomic=True, dna=True
00:49:05.568 - INFO - FASTA - imported: id=CFHKPG_00040, length=1503, description=Uncharacterized protein BB_0039, genomic=True, dna=True
00:49:05.568 - INFO - FASTA - imported: id=CFHKPG_00041, length=852, description=group_1720, genomic=True, dna=True
