ID or #		Start	End	Type	Contig
==================================================
NC_001318.1:1..910724		1	910724	partial	NZ_ABJX02000026.1:1-846,NZ_ABJX02000029.1:36506-1,NZ_ABJX02000014.1:35743-1,NZ_ABJX02000012.1:88929-1,NZ_ABJX02000030.1:1-2643,NZ_ABJX02000021.1:1-1809,NZ_ABJX02000034.1:1-1113,NZ_ABJX02000019.1:25206-1,NZ_ABJX02000022.1:1-24580,NZ_ABJX02000033.1:1-18031,NZ_ABJX02000016.1:1-14536,NZ_ABJX02000038.1:7114-1,NZ_ABJX02000010.1:1-68582,NZ_ABJX02000015.1:1-15328,NZ_ABJX02000020.1:1-900,NZ_ABJX02000003.1:48519-1,NZ_ABJX02000009.1:8773-4,NZ_ABJX02000008.1:1-3839,NZ_ABJX02000024.1:1-10397,NZ_ABJX02000006.1:16653-1,NZ_ABJX02000007.1:1622-1,NZ_ABJX02000028.1:1-65131,NZ_ABJX02000025.1:1-39652,NZ_ABJX02000023.1:6353-1,NZ_ABJX02000005.1:1-11599,NZ_ABJX02000027.1:2-38725,NZ_ABJX02000035.1:1-6309,NZ_ABJX02000017.1:1-21653,NZ_ABJX02000031.1:3-9751,NZ_ABJX02000001.1:51961-1,NZ_ABJX02000004.1:62450-1,NZ_ABJX02000037.1:17948-1,NZ_ABJX02000032.1:1331-1,NZ_ABJX02000002.1:11924-1,NZ_ABJX02000013.1:16149-1,NZ_ABJX02000011.1:15963-1,NZ_ABJX02000036.1:1-6318,NZ_ABJX02000018.1:1-73030
gene-BB_RS00005		105	677	complete	NZ_ABJX02000026.1:92-664
gene-BB_RS00010		768	1796	partial	NZ_ABJX02000029.1:36506-35778
gene-BB_RS00015		1784	3249	complete	NZ_ABJX02000029.1:35790-34325
gene-BB_RS00020		3395	5188	complete	NZ_ABJX02000029.1:34179-32386
gene-BB_RS00025		5251	6306	complete	NZ_ABJX02000029.1:32323-31268
gene-BB_RS00030		6309	7397	complete	NZ_ABJX02000029.1:31265-30177
gene-BB_RS00035		7458	8315	complete	NZ_ABJX02000029.1:30116-29259
gene-BB_RS00040		8427	9197	complete	NZ_ABJX02000029.1:29147-28377
gene-BB_RS00045		9202	10206	complete	NZ_ABJX02000029.1:28372-27368
gene-BB_RS00050		10203	10577	complete	NZ_ABJX02000029.1:27371-26997
gene-BB_RS00055		10581	11420	complete	NZ_ABJX02000029.1:26993-26154
gene-BB_RS00060		11421	12161	complete	NZ_ABJX02000029.1:26153-25413
gene-BB_RS00065		12154	12753	complete	NZ_ABJX02000029.1:25420-24821
gene-BB_RS00070		12746	14728	complete	NZ_ABJX02000029.1:24828-22846
gene-BB_RS00075		14725	15345	complete	NZ_ABJX02000029.1:22849-22229
gene-BB_RS00080		15345	15716	complete	NZ_ABJX02000029.1:22229-21858
gene-BB_RS00085		15845	16804	complete	NZ_ABJX02000029.1:21729-20770
gene-BB_RS00090		16807	17787	complete	NZ_ABJX02000029.1:20767-19787
gene-BB_RS00095		17792	18304	complete	NZ_ABJX02000029.1:19782-19270
gene-BB_RS00100		18312	19979	complete	NZ_ABJX02000029.1:19262-17595
gene-BB_RS00105		20051	21083	complete	NZ_ABJX02000029.1:17523-16491
gene-BB_RS00110		21058	22101	complete	NZ_ABJX02000029.1:16516-15473
gene-BB_RS00115		22146	22739	complete	NZ_ABJX02000029.1:15428-14835
gene-BB_RS00120		22819	23958	complete	NZ_ABJX02000029.1:14755-13616
gene-BB_RS00125		23965	24696	complete	NZ_ABJX02000029.1:13609-12878
gene-BB_RS00130		24697	25602	complete	NZ_ABJX02000029.1:12877-11972
gene-BB_RS00135		25753	26391	complete	NZ_ABJX02000029.1:11821-11183
gene-BB_RS00140		26399	27448	complete	NZ_ABJX02000029.1:11175-10126
gene-BB_RS00145		27434	27865	complete	NZ_ABJX02000029.1:10140-9709
gene-BB_RS00150		27855	28490	complete	NZ_ABJX02000029.1:9719-9084
gene-BB_RS00155		28492	29472	complete	NZ_ABJX02000029.1:9082-8102
gene-BB_RS00160		29543	31015	complete	NZ_ABJX02000029.1:8031-6559
gene-BB_RS00165		31027	31479	complete	NZ_ABJX02000029.1:6547-6095
gene-BB_RS00170		31550	32089	complete	NZ_ABJX02000029.1:6024-5485
gene-BB_RS00175		32157	34037	complete	NZ_ABJX02000029.1:5417-3537
gene-BB_RS00180		34037	35836	complete	NZ_ABJX02000029.1:3537-1738
gene-BB_RS00185		35857	36609	complete	NZ_ABJX02000029.1:1717-965
gene-BB_RS00190		36606	38123	partial	NZ_ABJX02000029.1:968-1,NZ_ABJX02000014.1:35743-35385
gene-BB_RS00195		38136	39638	complete	NZ_ABJX02000014.1:35372-33870
gene-BB_RS00200		39826	40677	complete	NZ_ABJX02000014.1:33682-32831
gene-BB_RS00205		40761	41432	complete	NZ_ABJX02000014.1:32747-32076
gene-BB_RS00210		41443	42483	complete	NZ_ABJX02000014.1:32065-31025
gene-BB_RS00215		42480	42881	complete	NZ_ABJX02000014.1:31028-30627
gene-BB_RS00220		42907	45354	complete	NZ_ABJX02000014.1:30601-28154
gene-BB_RS00225		45446	45991	complete	NZ_ABJX02000014.1:28062-27517
gene-BB_RS00230		46011	46379	complete	NZ_ABJX02000014.1:27497-27129
gene-BB_RS00235		46530	46601	complete	NZ_ABJX02000014.1:26978-26907
rna-BB_RS00235		46530	46601	complete	NZ_ABJX02000014.1:26978-26907
exon-BB_RS00235-1		46530	46601	complete	NZ_ABJX02000014.1:26978-26907
gene-BB_RS00240		46688	47049	complete	NZ_ABJX02000014.1:26820-26459
rna-BB_RS00240		46688	47049	complete	NZ_ABJX02000014.1:26820-26459
exon-BB_RS00240-1		46688	47049	complete	NZ_ABJX02000014.1:26820-26459
gene-BB_RS00245		47167	47841	complete	NZ_ABJX02000014.1:26341-25667
gene-BB_RS00250		47917	48606	complete	NZ_ABJX02000014.1:25591-24902
gene-BB_RS00255		48603	49259	complete	NZ_ABJX02000014.1:24905-24249
gene-BB_RS00260		49341	50012	complete	NZ_ABJX02000014.1:24167-23496
gene-BB_RS00265		50112	50474	complete	NZ_ABJX02000014.1:23396-23034
gene-BB_RS00270		50490	51251	complete	NZ_ABJX02000014.1:23018-22257
gene-BB_RS00275		51253	52434	complete	NZ_ABJX02000014.1:22255-21074
gene-BB_RS00280		52454	53461	complete	NZ_ABJX02000014.1:21054-20047
gene-BB_RS00285		53534	55504	complete	NZ_ABJX02000014.1:19974-18004
gene-BB_RS00290		55501	56280	complete	NZ_ABJX02000014.1:18007-17228
gene-BB_RS00295		56281	56748	complete	NZ_ABJX02000014.1:17227-16760
gene-BB_RS00300		56832	57185	complete	NZ_ABJX02000014.1:16676-16323
gene-BB_RS00305		57259	57975	complete	NZ_ABJX02000014.1:16249-15533
gene-BB_RS00310		58029	59036	complete	NZ_ABJX02000014.1:15479-14472
gene-BB_RS00315		59101	60039	complete	NZ_ABJX02000014.1:14407-13469
gene-BB_RS00320		60036	60533	complete	NZ_ABJX02000014.1:13472-12975
gene-BB_RS00325		60568	61257	complete	NZ_ABJX02000014.1:12940-12251
gene-BB_RS00330		61254	63032	complete	NZ_ABJX02000014.1:12254-10476
gene-BB_RS00335		63147	64028	complete	NZ_ABJX02000014.1:10361-9480
gene-BB_RS00340		64038	65276	complete	NZ_ABJX02000014.1:9470-8232
gene-BB_RS00345		65291	65752	complete	NZ_ABJX02000014.1:8217-7756
gene-BB_RS00350		65768	67240	complete	NZ_ABJX02000014.1:7740-6268
gene-BB_RS00355		67248	69569	complete	NZ_ABJX02000014.1:6260-3939
gene-BB_RS00360		69566	70126	complete	NZ_ABJX02000014.1:3942-3382
gene-BB_RS00365		70142	71219	complete	NZ_ABJX02000014.1:3366-2289
gene-BB_RS00370		71201	72610	complete	NZ_ABJX02000014.1:2307-898
gene-BB_RS00375		72647	73492	complete	NZ_ABJX02000014.1:861-16
gene-BB_RS00380		73489	74517	partial	NZ_ABJX02000012.1:88929-88015
gene-BB_RS00385		74518	75772	complete	NZ_ABJX02000012.1:88014-86760
gene-BB_RS00390		75774	76454	complete	NZ_ABJX02000012.1:86758-86078
gene-BB_RS00395		76451	77701	complete	NZ_ABJX02000012.1:86081-84831
gene-BB_RS00400		77711	79009	complete	NZ_ABJX02000012.1:84821-83523
gene-BB_RS00405		79002	79322	complete	NZ_ABJX02000012.1:83530-83210
gene-BB_RS00410		79505	80773	complete	NZ_ABJX02000012.1:83027-81759
gene-BB_RS00415		80983	81408	complete	NZ_ABJX02000012.1:81549-81124
gene-BB_RS00420		81405	82940	complete	NZ_ABJX02000012.1:81127-79592
gene-BB_RS00425		82970	83920	complete	NZ_ABJX02000012.1:79562-78612
