DMPBEC_00005	Uncharacterized protein BB_0001
DMPBEC_00010	Glycoside hydrolase family 3 N-terminal domain-containing protein
DMPBEC_00015	group_1482
DMPBEC_00020	group_3841
DMPBEC_00025	trpS
DMPBEC_00030	perM
DMPBEC_00035	Uncharacterized protein BB_0007
DMPBEC_00040	cdaA
DMPBEC_00045	YbbR-like domain-containing protein BB-0009
DMPBEC_00050	acpS
DMPBEC_00055	Uncharacterized protein BB_0011
DMPBEC_00060	truA
DMPBEC_00065	Uncharacterized protein BB_0013
DMPBEC_00070	priA
DMPBEC_00075	udk
DMPBEC_00080	pspE
DMPBEC_00085	yitT
DMPBEC_00090	rluD
DMPBEC_00095	Uncharacterized protein BB_0019
DMPBEC_00100	pfp
DMPBEC_00105	queA
DMPBEC_00110	ruvB
DMPBEC_00115	ruvA
DMPBEC_00120	yliI
DMPBEC_00125	tACO1
DMPBEC_00130	folD
DMPBEC_00135	Uncharacterized protein BB_0027
DMPBEC_00140	bamB
DMPBEC_00145	yaiI
DMPBEC_00150	lepB
DMPBEC_00155	group_3403
DMPBEC_00160	yfmG
DMPBEC_00165	smpB
DMPBEC_00170	P13 family porin
DMPBEC_00175	parC
DMPBEC_00180	parE
DMPBEC_00185	plsC
DMPBEC_00190	Uncharacterized protein BB_0038
DMPBEC_00195	Uncharacterized protein BB_0039
DMPBEC_00200	cheR
DMPBEC_00205	phoU
DMPBEC_00210	Uncharacterized protein BB_0043
DMPBEC_00215	Uncharacterized protein BB_0044
DMPBEC_00220	smc
DMPBEC_00225	rnhB
DMPBEC_00230	bpuR
DMPBEC_00245	group_3576
DMPBEC_00250	yhhQ
DMPBEC_00255	trmH
DMPBEC_00260	ung
DMPBEC_00265	secG
DMPBEC_00270	tpiA
DMPBEC_00275	pgk
DMPBEC_00280	gap
DMPBEC_00285	group_3492
DMPBEC_00290	group_2668
DMPBEC_00295	ybeY
DMPBEC_00300	trxA
DMPBEC_00305	rsmE1
DMPBEC_00310	pASTA
DMPBEC_00315	fmt
DMPBEC_00320	def
DMPBEC_00325	Uncharacterized protein BB_0066
DMPBEC_00330	pepP
DMPBEC_00335	cof
DMPBEC_00340	ampS
DMPBEC_00345	yuiD
DMPBEC_00350	group_3319
DMPBEC_00355	rnfC
DMPBEC_00360	Uncharacterized protein BB_0073
DMPBEC_00365	prfB
DMPBEC_00370	PEGA domain-containing protein
DMPBEC_00375	ftsY
DMPBEC_00380	Sugar-binding protein
DMPBEC_00385	Permease family protein
DMPBEC_00390	lolD
DMPBEC_00395	lolC
DMPBEC_00400	DUF4179 domain-containing protein
DMPBEC_00405	DUF1828 domain-containing protein
DMPBEC_00410	csd
DMPBEC_00415	iscU
DMPBEC_00420	yifB
DMPBEC_00425	ldh
DMPBEC_00430	lepA
DMPBEC_00435	Uncharacterized protein BB_0089
DMPBEC_00440	V-type ATP synthase subunit K
DMPBEC_00445	atpI
DMPBEC_00450	atpD
DMPBEC_00455	atpB
DMPBEC_00460	atpA
DMPBEC_00465	Uncharacterized protein BB_0095
DMPBEC_00470	atpE
DMPBEC_00475	Uncharacterized protein BB_0097
DMPBEC_00480	mutS2
DMPBEC_00485	rsgA
DMPBEC_00490	murI
DMPBEC_00495	asnS
DMPBEC_00500	SPOR domain-containing protein
DMPBEC_00505	hpt1
DMPBEC_00510	degQ
DMPBEC_00515	map
DMPBEC_00520	bepA
DMPBEC_00525	nusB
DMPBEC_00530	surA
DMPBEC_00535	paaJ
DMPBEC_00540	group_2596
DMPBEC_00545	dnaB
DMPBEC_00550	rplI
DMPBEC_00555	rpsR
DMPBEC_00560	ssb
DMPBEC_00565	rpsF
DMPBEC_00570	ptsG2
DMPBEC_00575	yqfA
DMPBEC_00580	rseP
DMPBEC_00585	Phosphatidate cytidylyltransferase
DMPBEC_00590	uppS
DMPBEC_00595	frr
DMPBEC_00600	tsf
DMPBEC_00605	rpsB
DMPBEC_00610	group_1380
DMPBEC_00615	group_1381
DMPBEC_00620	group_1382
DMPBEC_00625	rpsA
DMPBEC_00630	cmk
DMPBEC_00635	rsuA
DMPBEC_00640	Segregation and condensation protein A
DMPBEC_00645	recA
DMPBEC_00650	greA
DMPBEC_00655	group_2555
DMPBEC_00660	group_3806
DMPBEC_00665	hisS
DMPBEC_00670	ftsI
DMPBEC_00675	fAA1
DMPBEC_00680	Nitrogen regulatory protein P-II
DMPBEC_00685	Acriflavine resistance protein
DMPBEC_00690	acrA
DMPBEC_00695	tolC
DMPBEC_00700	group_1384
DMPBEC_00705	proX
DMPBEC_00710	proW
DMPBEC_00715	proV
DMPBEC_00720	flaB
DMPBEC_00725	fliD
DMPBEC_00730	nagA
DMPBEC_00735	nagB
DMPBEC_00740	sod
DMPBEC_00745	secA
DMPBEC_00750	group_2558
DMPBEC_00755	group_1198
DMPBEC_00760	Integral membrane protein
DMPBEC_00765	group_1199
DMPBEC_00770	S2/P23 family protein
DMPBEC_00775	alr
DMPBEC_00780	YD repeat protein
DMPBEC_00785	50S ribosomal protein L33
DMPBEC_00790	group_3559
DMPBEC_00795	K+-dependent Na+/Ca+ exchanger-like protein
DMPBEC_00800	putative glycosyl hydrolase, alpha amylase family
DMPBEC_00805	4-alpha-glucanotransferase
DMPBEC_00810	ompA
DMPBEC_00815	dksA
DMPBEC_00820	infA
DMPBEC_00825	SH3b domain-containing protein
DMPBEC_00830	group_3834
DMPBEC_00835	terY
DMPBEC_00840	chlD
DMPBEC_00845	batD
DMPBEC_00850	yeaD2
DMPBEC_00855	moxR
DMPBEC_00860	rsmG
DMPBEC_00865	mnmG
DMPBEC_00870	mnmE
DMPBEC_00875	flbF
DMPBEC_00880	flgK
DMPBEC_00885	flgL
DMPBEC_00890	fliW
DMPBEC_00895	csrA
DMPBEC_00900	tsaB
DMPBEC_00905	tsaE
DMPBEC_00910	group_1387
DMPBEC_00915	rplT
DMPBEC_00920	rpmI
DMPBEC_00925	infC
DMPBEC_00930	Yip1 domain-containing protein
DMPBEC_00935	group_3408
DMPBEC_00940	tatD
DMPBEC_00945	lapB
DMPBEC_00950	prfA
DMPBEC_00955	prmC
DMPBEC_00960	spoT
DMPBEC_00965	Putative membrane protein
DMPBEC_00970	ddl
DMPBEC_00975	murE
DMPBEC_00985	tlyC
DMPBEC_00990	hflK
DMPBEC_00995	hflC
DMPBEC_01010	hDGYP
DMPBEC_01015	rsmD
DMPBEC_01020	UTP--glucose-1-phosphate uridylyltransferase
DMPBEC_01025	BB_0208 family protein
DMPBEC_01030	group_2556
DMPBEC_01035	lmp1
DMPBEC_01040	mutL
DMPBEC_01045	Borrelia PFam57/62 partition protein
DMPBEC_01055	group_3654
DMPBEC_01060	efp
DMPBEC_01065	pstS
DMPBEC_01070	pstC
DMPBEC_01075	pstA
DMPBEC_01080	pstB
DMPBEC_01085	zupT
DMPBEC_01090	alaS
DMPBEC_01095	fliG
DMPBEC_01100	pgl
DMPBEC_01105	Putative lipoprotein
DMPBEC_01110	group_981
DMPBEC_01115	group_1390
DMPBEC_01120	serS
DMPBEC_01125	DUF3298 domain-containing protein
DMPBEC_01130	cym1
DMPBEC_01135	rpmE2
DMPBEC_01140	rho
DMPBEC_01145	group_3386
DMPBEC_01150	hbb
DMPBEC_01155	rpsT
DMPBEC_01160	Membrane associated protein
DMPBEC_01165	ychF
DMPBEC_01170	yncE
DMPBEC_01175	lnt
DMPBEC_01180	group_3536
DMPBEC_01185	dck
DMPBEC_01190	glpF
DMPBEC_01195	glpK
DMPBEC_01200	glpA
DMPBEC_01205	yaaR
DMPBEC_01210	group_3491
DMPBEC_01215	group_3172
DMPBEC_01220	rdgB
DMPBEC_01225	pepF
DMPBEC_01230	pcs
DMPBEC_01235	dedA
DMPBEC_01245	leuS
DMPBEC_01250	mMPL
DMPBEC_01255	lon
DMPBEC_01260	recJ
DMPBEC_01265	nlpD
DMPBEC_01270	rpsU
DMPBEC_01275	ftsK
DMPBEC_01280	uppP
DMPBEC_01285	mltE
