CFHKPG_00001	Uncharacterized protein BB_0001
CFHKPG_00002	Glycoside hydrolase family 3 N-terminal domain-containing protein
CFHKPG_00003	group_490
CFHKPG_00004	group_2077
CFHKPG_00005	trpS
CFHKPG_00006	perM
CFHKPG_00007	Uncharacterized protein BB_0007
CFHKPG_00008	cdaA
CFHKPG_00009	YbbR-like domain-containing protein BB-0009
CFHKPG_00010	acpS
CFHKPG_00011	Uncharacterized protein BB_0011
CFHKPG_00012	truA
CFHKPG_00013	Uncharacterized protein BB_0013
CFHKPG_00014	priA
CFHKPG_00015	udk
CFHKPG_00016	pspE
CFHKPG_00017	yitT
CFHKPG_00018	rluD
CFHKPG_00019	Uncharacterized protein BB_0019
CFHKPG_00020	pfp
CFHKPG_00021	queA
CFHKPG_00023	ruvB
CFHKPG_00024	ruvA
CFHKPG_00025	yliI
CFHKPG_00026	tACO1
CFHKPG_00027	folD
CFHKPG_00028	Uncharacterized protein BB_0027
CFHKPG_00029	bamB
CFHKPG_00030	yaiI
CFHKPG_00031	group_1979
CFHKPG_00032	group_1474
CFHKPG_00033	yfmG
CFHKPG_00034	smpB
CFHKPG_00035	group_1878
CFHKPG_00036	parC
CFHKPG_00037	parE
CFHKPG_00038	plsC
CFHKPG_00039	Uncharacterized protein BB_0038
CFHKPG_00040	Uncharacterized protein BB_0039
CFHKPG_00041	group_1570
CFHKPG_00042	phoU
CFHKPG_00043	Uncharacterized protein BB_0043
CFHKPG_00044	Uncharacterized protein BB_0044
CFHKPG_00045	smc
CFHKPG_00046	rnhB
CFHKPG_00047	bpuR
CFHKPG_00050	group_1906
CFHKPG_00051	yhhQ
CFHKPG_00052	trmH
CFHKPG_00053	ung
CFHKPG_00054	secG
CFHKPG_00055	tpiA
CFHKPG_00056	pgk
CFHKPG_00057	gap
CFHKPG_00058	bepA
CFHKPG_00059	group_341
CFHKPG_00060	ybeY
CFHKPG_00061	trxA
CFHKPG_00062	rsmE1
CFHKPG_00063	pASTA
CFHKPG_00064	fmt
CFHKPG_00065	def
CFHKPG_00066	Uncharacterized protein BB_0066
CFHKPG_00067	pepP
CFHKPG_00068	cof
CFHKPG_00069	ampS
CFHKPG_00070	yuiD
CFHKPG_00071	group_199
CFHKPG_00072	rnfC
CFHKPG_00073	Uncharacterized protein BB_0073
CFHKPG_00074	prfB
CFHKPG_00075	PEGA domain-containing protein
CFHKPG_00076	ftsY
CFHKPG_00077	Sugar-binding protein
CFHKPG_00078	Permease family protein
CFHKPG_00079	lolD
CFHKPG_00080	lolC
CFHKPG_00081	DUF4179 domain-containing protein
CFHKPG_00082	DUF1828 domain-containing protein
CFHKPG_00083	csd
CFHKPG_00084	iscU
CFHKPG_00085	yifB
CFHKPG_00086	ldh
CFHKPG_00087	lepA
CFHKPG_00088	Uncharacterized protein BB_0089
CFHKPG_00089	V-type ATP synthase subunit K
CFHKPG_00090	atpI
CFHKPG_00091	atpD
CFHKPG_00092	atpB
CFHKPG_00093	atpA
CFHKPG_00094	Uncharacterized protein BB_0095
CFHKPG_00095	atpE
CFHKPG_00096	Uncharacterized protein BB_0097
CFHKPG_00097	mutS2
CFHKPG_00098	rsgA
CFHKPG_00099	murI
CFHKPG_00100	asnS
CFHKPG_00101	SPOR domain-containing protein
CFHKPG_00102	hpt1
CFHKPG_00103	degQ
CFHKPG_00104	map
CFHKPG_00105	group_1692
CFHKPG_00106	nusB
CFHKPG_00107	surA
CFHKPG_00108	paaJ
CFHKPG_00109	group_128
CFHKPG_00110	dnaB
CFHKPG_00111	rplI
CFHKPG_00112	rpsR
CFHKPG_00113	ssb
CFHKPG_00114	rpsF
CFHKPG_00115	ptsG2
CFHKPG_00116	yqfA
CFHKPG_00117	rseP
CFHKPG_00118	Phosphatidate cytidylyltransferase
CFHKPG_00119	uppS
CFHKPG_00120	frr
CFHKPG_00121	tsf
CFHKPG_00122	rpsB
CFHKPG_00123	group_351
CFHKPG_00124	group_352
CFHKPG_00125	group_204
CFHKPG_00126	rpsA
CFHKPG_00127	cmk
CFHKPG_00128	rsuA
CFHKPG_00129	Segregation and condensation protein A
CFHKPG_00130	recA
CFHKPG_00131	greA
CFHKPG_00132	group_1415
CFHKPG_00133	group_2046
CFHKPG_00134	hisS
CFHKPG_00135	ftsI
CFHKPG_00136	group_1470
CFHKPG_00137	Nitrogen regulatory protein P-II
CFHKPG_00138	Acriflavine resistance protein
CFHKPG_00139	acrA
CFHKPG_00140	tolC
CFHKPG_00141	group_516
CFHKPG_00142	proX
CFHKPG_00143	proW
CFHKPG_00144	proV
CFHKPG_00145	flaB
CFHKPG_00146	fliD
CFHKPG_00147	nagA
CFHKPG_00148	nagB
CFHKPG_00149	sod
CFHKPG_00150	secA
CFHKPG_00151	group_358
CFHKPG_00152	group_205
CFHKPG_00153	Integral membrane protein
CFHKPG_00154	group_147
CFHKPG_00155	S2/P23 family protein
CFHKPG_00156	alr
CFHKPG_00157	YD repeat protein
CFHKPG_00158	50S ribosomal protein L33
CFHKPG_00159	group_1679
CFHKPG_00160	K+-dependent Na+/Ca+ exchanger-like protein
CFHKPG_00161	putative glycosyl hydrolase, alpha amylase family
CFHKPG_00162	4-alpha-glucanotransferase
CFHKPG_00163	ompA
CFHKPG_00164	dksA
CFHKPG_00165	infA
CFHKPG_00166	SH3b domain-containing protein
CFHKPG_00167	tPR
CFHKPG_00168	terY
CFHKPG_00169	chlD
CFHKPG_00170	batD
CFHKPG_00171	yeaD2
CFHKPG_00172	moxR
CFHKPG_00173	rsmG
