ID or #		Start	End	Type	Contig
==================================================
NC_001318.1:1..910724		1	910724	partial	contig_62:2410-1,contig_135:544-1,contig_136:1-544,contig_137:1-535,contig_138:1-535,contig_1:1-254720,contig_74:2-1782,contig_116:705-1,contig_117:7-710,contig_69:1-1931,contig_110:1-782,contig_27:8850-1,contig_32:6312-1,contig_25:9654-1,contig_90:1219-1,contig_97:1-963,contig_49:1-3591,contig_34:1-5997,contig_99:1-920,contig_6:1-38825,contig_45:4226-1,contig_59:2666-1,contig_85:1-1405,contig_3:12-161565,contig_63:1-2187,contig_102:896-1,contig_44:4284-1,contig_70:1922-1,contig_51:3238-1,contig_41:4726-1,contig_83:1-1435,contig_4:1-81806,contig_84:1-1419,contig_37:1-5609,contig_96:1004-1,contig_46:4202-1,contig_38:1-5559,contig_133:1-544,contig_78:1567-2,contig_2:15-250519,contig_86:1388-1,contig_95:1028-1,contig_124:613-1,contig_123:2-612,contig_36:1-5720,contig_57:1-2920,contig_119:680-1,contig_120:679-2,contig_101:906-2,contig_100:6-909,contig_71:1-1838,contig_92:1100-1,contig_93:2-1099,contig_54:1-3146,contig_21:18421-16496,contig_21:16495-15683
gene-BB_RS00005		105	677	complete	contig_62:2309-1737
gene-BB_RS00010		768	1796	complete	contig_62:1646-618
gene-BB_RS00015		1784	3249	partial	contig_62:630-1,contig_135:544-1,contig_136:1-544,contig_137:1-274,contig_138:1-274
gene-BB_RS00020		3395	5188	complete	contig_1:1-1794
gene-BB_RS00025		5251	6306	complete	contig_1:1857-2912
gene-BB_RS00030		6309	7397	complete	contig_1:2915-4003
gene-BB_RS00035		7458	8315	complete	contig_1:4064-4921
gene-BB_RS00040		8427	9197	complete	contig_1:5033-5803
gene-BB_RS00045		9202	10206	complete	contig_1:5808-6812
gene-BB_RS00050		10203	10577	complete	contig_1:6809-7183
gene-BB_RS00055		10581	11420	complete	contig_1:7187-8026
gene-BB_RS00060		11421	12161	complete	contig_1:8027-8767
gene-BB_RS00065		12154	12753	complete	contig_1:8760-9359
gene-BB_RS00070		12746	14728	complete	contig_1:9352-11334
gene-BB_RS00075		14725	15345	complete	contig_1:11331-11951
gene-BB_RS00080		15345	15716	complete	contig_1:11951-12322
gene-BB_RS00085		15845	16804	complete	contig_1:12451-13410
gene-BB_RS00090		16807	17787	complete	contig_1:13413-14393
gene-BB_RS00095		17792	18304	complete	contig_1:14398-14910
gene-BB_RS00100		18312	19979	complete	contig_1:14918-16585
gene-BB_RS00105		20051	21083	complete	contig_1:16657-17689
gene-BB_RS00110		21058	22101	complete	contig_1:17664-18707
gene-BB_RS00115		22146	22739	complete	contig_1:18752-19345
gene-BB_RS00120		22819	23958	complete	contig_1:19425-20564
gene-BB_RS00125		23965	24696	complete	contig_1:20571-21302
gene-BB_RS00130		24697	25602	complete	contig_1:21303-22208
gene-BB_RS00135		25753	26391	complete	contig_1:22359-22997
gene-BB_RS00140		26399	27448	complete	contig_1:23005-24054
gene-BB_RS00145		27434	27865	complete	contig_1:24040-24471
gene-BB_RS00150		27855	28490	complete	contig_1:24461-25096
gene-BB_RS00155		28492	29472	complete	contig_1:25098-26078
gene-BB_RS00160		29543	31015	complete	contig_1:26149-27621
gene-BB_RS00165		31027	31479	complete	contig_1:27633-28085
gene-BB_RS00170		31550	32089	complete	contig_1:28156-28695
gene-BB_RS00175		32157	34037	complete	contig_1:28763-30643
gene-BB_RS00180		34037	35836	complete	contig_1:30643-32442
gene-BB_RS00185		35857	36609	complete	contig_1:32463-33215
gene-BB_RS00190		36606	38123	complete	contig_1:33212-34729
gene-BB_RS00195		38136	39638	complete	contig_1:34742-36244
gene-BB_RS00200		39826	40677	complete	contig_1:36432-37283
gene-BB_RS00205		40761	41432	complete	contig_1:37367-38038
gene-BB_RS00210		41443	42483	complete	contig_1:38049-39089
gene-BB_RS00215		42480	42881	complete	contig_1:39086-39487
gene-BB_RS00220		42907	45354	complete	contig_1:39513-41960
gene-BB_RS00225		45446	45991	complete	contig_1:42052-42597
gene-BB_RS00230		46011	46379	complete	contig_1:42617-42985
gene-BB_RS00235		46530	46601	complete	contig_1:43136-43207
rna-BB_RS00235		46530	46601	complete	contig_1:43136-43207
exon-BB_RS00235-1		46530	46601	complete	contig_1:43136-43207
gene-BB_RS00240		46688	47049	complete	contig_1:43294-43655
rna-BB_RS00240		46688	47049	complete	contig_1:43294-43655
exon-BB_RS00240-1		46688	47049	complete	contig_1:43294-43655
gene-BB_RS00245		47167	47841	complete	contig_1:43773-44447
gene-BB_RS00250		47917	48606	complete	contig_1:44523-45212
gene-BB_RS00255		48603	49259	complete	contig_1:45209-45865
gene-BB_RS00260		49341	50012	complete	contig_1:45947-46618
gene-BB_RS00265		50112	50474	complete	contig_1:46718-47080
gene-BB_RS00270		50490	51251	complete	contig_1:47096-47857
gene-BB_RS00275		51253	52434	complete	contig_1:47859-49040
gene-BB_RS00280		52454	53461	complete	contig_1:49060-50067
gene-BB_RS00285		53534	55504	complete	contig_1:50140-52110
gene-BB_RS00290		55501	56280	complete	contig_1:52107-52886
gene-BB_RS00295		56281	56748	complete	contig_1:52887-53354
gene-BB_RS00300		56832	57185	complete	contig_1:53438-53791
gene-BB_RS00305		57259	57975	complete	contig_1:53865-54581
gene-BB_RS00310		58029	59036	complete	contig_1:54635-55642
gene-BB_RS00315		59101	60039	complete	contig_1:55707-56645
gene-BB_RS00320		60036	60533	complete	contig_1:56642-57139
gene-BB_RS00325		60568	61257	complete	contig_1:57174-57863
gene-BB_RS00330		61254	63032	complete	contig_1:57860-59638
gene-BB_RS00335		63147	64028	complete	contig_1:59753-60634
gene-BB_RS00340		64038	65276	complete	contig_1:60644-61882
gene-BB_RS00345		65291	65752	complete	contig_1:61897-62358
gene-BB_RS00350		65768	67240	complete	contig_1:62374-63846
gene-BB_RS00355		67248	69569	complete	contig_1:63854-66175
gene-BB_RS00360		69566	70126	complete	contig_1:66172-66732
gene-BB_RS00365		70142	71219	complete	contig_1:66748-67825
gene-BB_RS00370		71201	72610	complete	contig_1:67807-69216
