contig	pfam32_type	plasmid_length
contig_1	cp32-9	45296
contig_2	cp32-1	17879
contig_3		40797
contig_4	cp32-7	38703
contig_5	cp32-4	43097
contig_6	cp32-1	19706
contig_7	lp56	916785
contig_8	lp28-1-geneF24	43158
contig_9	lp36	77536
contig_10	lp25	56100
contig_11		18350
contig_12	cp26	42520
contig_13		10629
contig_14	lp38	61014
contig_15	lp28-3	48117
contig_16	cp32-1	28253
contig_17	cp32-6	39067
contig_18		27850
contig_19	cp32-3	70516
contig_20		55408
contig_21		26439
contig_22		10784
contig_23	lp54	92658
contig_24		17241
