ID	group	gene	percent_ident	alignment_length	E-score
CKDGNL_00005	group_1080	gene-BB_RS04300	99.71	345	2.05e-177
CKDGNL_00010	Type I restriction enzyme R N terminus family protein	gene-BB_RS04300	99.864	736	0.0
CKDGNL_00010	Type I restriction enzyme R N terminus family protein	gene-BB_RS07695	84.365	307	2.69e-91
CKDGNL_00015	group_1101	gene-BB_RS04280	99.361	939	0.0
CKDGNL_00020	yfcC	gene-BB_RS04275	99.789	1425	0.0
CKDGNL_00025	argF	gene-BB_RS04270	99.898	984	0.0
CKDGNL_00030	arcA	gene-BB_RS04265	99.919	1233	0.0
CKDGNL_00035	group_1346	gene-BB_RS04260	99.938	1617	0.0
CKDGNL_00040	Ribonuclease H1 N-terminal domain-containing protein	gene-BB_RS04255	100.0	600	0.0
CKDGNL_00045	group_1348	gene-BB_RS04250	99.636	549	0.0
CKDGNL_00050	lptD	gene-BB_RS04245	99.07	3441	0.0
CKDGNL_00050	lptD	gene-BB_RS04240	100.0	46	1.06e-15
CKDGNL_00055	uvrA	gene-BB_RS04240	99.474	2853	0.0
CKDGNL_00055	uvrA	gene-BB_RS04245	100.0	46	8.81e-16
CKDGNL_00060	uvrB	gene-BB_RS04235	99.153	2007	0.0
CKDGNL_00065	group_3313	gene-BB_RS04230	99.766	1710	0.0
CKDGNL_00070	group_4026	gene-BB_RS04225	99.73	2220	0.0
CKDGNL_00075	ileS	gene-BB_RS04220	99.648	3129	0.0
CKDGNL_00080	group_1627	gene-BB_RS04215	99.879	825	0.0
CKDGNL_00085	nagC	gene-BB_RS04210	99.359	936	0.0
CKDGNL_00090	sbcC	gene-BB_RS04205	99.93	2847	0.0
CKDGNL_00095	sbcD	gene-BB_RS04200	99.919	1242	0.0
CKDGNL_00100	topA	gene-BB_RS04195	99.921	2547	0.0
CKDGNL_00105	hrpA	gene-BB_RS04190	99.919	2472	0.0
CKDGNL_00110	group_2101	gene-BB_RS04185	99.612	516	0.0
CKDGNL_00115	group_2103	gene-BB_RS04180	99.488	781	0.0
CKDGNL_00120	Outer membrane protein	gene-BB_RS04175	99.634	546	0.0
CKDGNL_00125	group_3474	gene-BB_RS04170	100.0	372	0.0
CKDGNL_00130	miaA	gene-BB_RS04165	99.783	921	0.0
CKDGNL_00135	group_2104	gene-BB_RS04160	99.005	201	2.07e-98
CKDGNL_00140	cmk2	gene-BB_RS04155	99.816	543	0.0
CKDGNL_00145	yicC	gene-BB_RS04150	99.534	858	0.0
CKDGNL_00150	murC	gene-BB_RS04145	99.147	1407	0.0
CKDGNL_00155	ATP-binding protein	gene-BB_RS04140	100.0	948	0.0
CKDGNL_00160	RNA pseudouridine synthase family protein	gene-BB_RS04135	99.367	948	0.0
CKDGNL_00165	panF	gene-BB_RS04130	99.551	1335	0.0
CKDGNL_00170	coaBC	gene-BB_RS04120	99.829	1173	0.0
CKDGNL_00175	hEAT	gene-BB_RS04115	99.574	1410	0.0
CKDGNL_00180	murJ	gene-BB_RS04110	99.737	1521	0.0
CKDGNL_00185	Queuine tRNA-ribosyltransferase	gene-BB_RS04105	99.734	1128	0.0
CKDGNL_00190	group_3556	gene-BB_RS04100	100.0	1068	0.0
CKDGNL_00195	lptF	gene-BB_RS04095	99.767	1290	0.0
CKDGNL_00200	group_3819	gene-BB_RS04090	99.606	1521	0.0
CKDGNL_00205	pnp	gene-BB_RS04085	99.862	2169	0.0
CKDGNL_00210	rpsO	gene-BB_RS04080	100.0	267	8.069999999999999e-137
CKDGNL_00215	truB	gene-BB_RS04075	100.0	849	0.0
CKDGNL_00220	rbfA	gene-BB_RS04070	100.0	363	0.0
CKDGNL_00225	infB	gene-BB_RS04065	98.377	2649	0.0
CKDGNL_00230	nusA	gene-BB_RS04060	100.0	1449	0.0
CKDGNL_00235	rimP	gene-BB_RS04055	99.772	438	0.0
CKDGNL_00240	comFC	gene-BB_RS04050	100.0	618	0.0
CKDGNL_00245	mutS	gene-BB_RS04045	99.884	2589	0.0
CKDGNL_00250	hlpA	gene-BB_RS04040	99.813	534	0.0
CKDGNL_00255	bamA	gene-BB_RS04035	99.716	2466	0.0
CKDGNL_00260	Cytosolic protein	gene-BB_RS04030	99.448	4170	0.0
CKDGNL_00265	tmk	gene-BB_RS04025	99.672	609	0.0
CKDGNL_00270	group_4077	gene-BB_RS04020	99.84	624	0.0
CKDGNL_00275	tdk	gene-BB_RS04015	99.909	1104	0.0
CKDGNL_00280	group_3884	gene-BB_RS04010	99.865	1482	0.0
CKDGNL_00285	ftsH	gene-BB_RS04005	99.896	1920	0.0
CKDGNL_00290	tilS	gene-BB_RS04000	100.0	1323	0.0
CKDGNL_00295	pth	gene-BB_RS03995	99.824	567	0.0
CKDGNL_00300	50S ribosomal protein L25/general stress protein Ctc	gene-BB_RS03990	99.636	549	0.0
CKDGNL_00310	spoVG	gene-BB_RS03980	100.0	294	1.97e-151
CKDGNL_00315	rsfS	gene-BB_RS03975	100.0	351	0.0
CKDGNL_00320	LytR/CpsA/Psr regulator C-terminal domain-containing protein	gene-BB_RS03970	99.578	1185	0.0
CKDGNL_00325	nadD	gene-BB_RS03965	99.485	582	0.0
CKDGNL_00330	obgE	gene-BB_RS03960	100.0	987	0.0
CKDGNL_00335	rpmA	gene-BB_RS03955	100.0	246	1.86e-125
CKDGNL_00340	ysxB	gene-BB_RS03950	100.0	321	4.78e-166
CKDGNL_00345	rplU	gene-BB_RS03945	100.0	312	3.56e-161
CKDGNL_00350	apt	gene-BB_RS03940	99.812	531	0.0
CKDGNL_00355	DUF2147 domain-containing protein	gene-BB_RS03935	99.822	561	0.0
CKDGNL_00360	flgF	gene-BB_RS03930	99.411	849	0.0
CKDGNL_00365	flgG	gene-BB_RS03925	100.0	798	0.0
CKDGNL_00370	group_3315	gene-BB_RS03920	99.77	435	0.0
CKDGNL_00375	flgI	gene-BB_RS03915	99.901	1008	0.0
CKDGNL_00380	flgJ1	gene-BB_RS03910	97.273	330	1.61e-159
CKDGNL_00385	rpoS	gene-BB_RS03905	99.75	801	0.0
CKDGNL_00390	yibQ	gene-BB_RS03900	100.0	882	0.0
CKDGNL_00395	tsaD	gene-BB_RS03895	99.616	1041	0.0
CKDGNL_00400	pdxK	gene-BB_RS03890	100.0	795	0.0
CKDGNL_00405	murG	gene-BB_RS03885	99.725	1092	0.0
CKDGNL_00410	cvpA	gene-BB_RS03880	99.796	489	0.0
CKDGNL_00415	DNA polymerase III subunit gamma/tau	gene-BB_RS03875	99.904	1047	0.0
CKDGNL_00420	ntrY	gene-BB_RS03870	99.565	1149	0.0
CKDGNL_00425	ntrC	gene-BB_RS03865	99.115	1356	0.0
CKDGNL_00430	group_4022	gene-BB_RS03860	99.887	888	0.0
CKDGNL_00435	mazG	gene-BB_RS03855	99.697	330	2.72e-169
CKDGNL_00440	DUF368 domain-containing protein	gene-BB_RS03850	100.0	858	0.0
CKDGNL_00450	group_3984	gene-BB_RS03840	99.848	660	0.0
CKDGNL_00450	group_3984	gene-BB_RS03835	100.0	62	4.78e-25
CKDGNL_00455	clpP2	gene-BB_RS03835	100.0	597	0.0
CKDGNL_00460	dadA	gene-BB_RS03830	99.719	1068	0.0
