Sample	quast-N50	quast-Total_length	bakta-Count	bakta-Length	bakta-CDSs	kraken-pct_top_one	kraken-pct_top_n	kraken-pct_unclassified
B331PP	903.654	1.4090779999999998	19	1409078	1379			
B331PP-checkpoint			19	1409078	1379			
B418PP	902.773	1.3768529999999999	18	1376853	1336			
B500PP	903.66	1.429303	19	1429303	1402			
ESI26H	910.3960000000001	1.266427	64	1276481	1213			
ESI36H	909.934	1.182078	11	1182078	1118			
ESI403H	910.442	1.362461	34	1364813	1338			
ESI425H	342.81600000000003	1.2593109999999998	21	1260215	1199			
GCA_002151465.1_ASM215146v1_genomic	909.921	1.288112	12	1288112	1274			
GCA_002151485.1_ASM215148v1_genomic	910.7280000000001	1.3015539999999999	11	1301554	1305			
GCA_002151505.1_ASM215150v1_genomic	909.921	1.3411819999999999	13	1341182	1339			
GCA_002442595.2_ASM244259v2_genomic	903.654	1.409089	19	1409089	1379			
GCA_003367295.1_ASM336729v1_genomic	908.5120000000001	1.28024	16	1280240	1237			
GCA_019134655.1_ASM1913465v1_genomic	909.995	1.217256	11	1217256	1168			
GCA_019464575.1_ASM1946457v1_genomic	903.66	1.429304	19	1429304	1405			
GCA_024662155.1_ASM2466215v1_genomic	903.249	1.3920599999999999	18	1392060	1357			
GCA_024662175.1_ASM2466217v1_genomic	920.773	1.417706	18	1417706	1400			
GCA_024662195.1_ASM2466219v1_genomic	909.655	1.513701	21	1513701	1505			
GCA_030439605.1_ASM3043960v1_genomic	910.655	1.007753	4	1007753	919			
GCA_030439625.1_ASM3043962v1_genomic	910.422	1.007827	4	1007827	918			
GCA_030439665.1_ASM3043966v1_genomic	902.811	1.000122	4	1000122	915			
GCA_030440345.1_ASM3044034v1_genomic	907.764	1.006065	4	1006065	918			
GCA_030444985.1_ASM3044498v1_genomic	910.563	1.0076319999999999	4	1007632	917			
GCA_030445005.1_ASM3044500v1_genomic	910.422	1.007828	4	1007828	918			
GCA_030445025.1_ASM3044502v1_genomic	910.663	1.008124	4	1008124	919			
GCA_030445065.1_ASM3044506v1_genomic	910.229	1.006503	4	1006503	920			
GCA_032595375.1_ASM3259537v1_genomic	909.591	1.007086	4	1007086	922			
GCA_032595515.1_ASM3259551v1_genomic	911.399	1.004596	4	1004596	903			
GCA_032595535.1_ASM3259553v1_genomic	909.722	1.0057589999999998	4	1005759	907			
GCA_032595755.1_ASM3259575v1_genomic	910.071	1.0065629999999999	4	1006563	882			
GCA_038801875.1_ASM3880187v1_genomic	919.99	0.946504	2	946504	846			
GCA_040790715.1_ASM4079071v1_genomic	908.738	1.289159	14	1289159	1216			
GCA_040790735.1_ASM4079073v1_genomic	909.471	1.391486	18	1391486	1359			
GCA_040790745.1_ASM4079074v1_genomic	902.797	1.371468	18	1371468	1331			
GCA_040790755.1_ASM4079075v1_genomic	902.698	1.321156	16	1321156	1300			
GCA_040790765.1_ASM4079076v1_genomic	910.0790000000001	1.397896	19	1397896	1369			
GCA_040790775.1_ASM4079077v1_genomic	907.6320000000001	1.417953	17	1417953	1383			
GCA_040790785.1_ASM4079078v1_genomic	910.048	1.383845	18	1383845	1347			
GCA_040790795.1_ASM4079079v1_genomic	916.773	1.325608	16	1325608	1251			
GCA_040790805.1_ASM4079080v1_genomic	907.88	1.2166329999999999	12	1216633	1169			
GCA_040819585.1_PFhe_I_PB_Ill_cons_genomic	910.259	1.341511	15	1341511	1317			
GCF_000008685.2_ASM868v2_genomic	910.724	1.521208	22	1521208	1508			
GCF_000021405.1_ASM2140v1_genomic	906.707	1.345494	15	1345494	1327			
GCF_000166635.1_ASM16663v1_genomic	902.191	1.339539	17	1339539	1311			
GCF_000166655.1_ASM16665v1_genomic	922.801	1.531091	21	1531091	1519			
GCF_000171735.2_ASM17173v2_genomic	85.309	1.4530129999999999	27	1453013	1441			
GCF_000172295.2_ASM17229v2_genomic	35.743	1.344204	53	1344204	1302			
GCF_000172315.2_ASM17231v2_genomic	83.077	1.294354	26	1294354	1252			
GCF_000172335.2_ASM17233v2_genomic	169.17600000000002	1.485884	24	1485884	1475			
