All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     GCF_000172335.2_ASM17233v2_genomic
# misassemblies              12                                
  # contig misassemblies     12                                
    # c. relocations         3                                 
    # c. translocations      9                                 
    # c. inversions          0                                 
  # scaffold misassemblies   0                                 
    # s. relocations         0                                 
    # s. translocations      0                                 
    # s. inversions          0                                 
# misassembled contigs       9                                 
Misassembled contigs length  665506                            
# local misassemblies        6                                 
# scaffold gap ext. mis.     0                                 
# scaffold gap loc. mis.     0                                 
# unaligned mis. contigs     1                                 
# mismatches                 6213                              
# indels                     482                               
    # indels (<= 5 bp)       436                               
    # indels (> 5 bp)        46                                
Indels length                2421                              
