gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure
>MC149_chr_123	122526	124181	-1	551	RelB antitoxin	9.5e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxAxxxxxx
>MC149_chr_265	287800	288063	-1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
>MC149_chr_312	329176	329535	1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	xA
>MC149_chr_315	333533	334429	-1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	xxT
>MC149_chr_32	29576	31057	1	493	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00014	T	TASMANIA.T4	T.2200	Hmmer_genes	Tx
>MC149_chr_414	451058	451840	-1	260	ParB-like nuclease domain	7.7e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A
>MC149_chr_452	490558	491841	1	427	PIN domain	5.7e-06	T	TASMANIA.T10	T.58847	Hmmer_genes	xxxxxxxxT
>MC149_chr_454	494063	494455	-1	130	PIN domain	5.9e-08	T	TASMANIA.T89	T.19597	Hmmer_genes	T
>MC149_chr_701	770916	771317	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx
>MC149_cp26_23	21104	22318	1	404	PIN domain	2.9e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	xT
>MC149_lp17_15	14184	14453	1	89	RelB antitoxin	6.8e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	xA
>MC149_lp54_5	4670	5143	-1	157	"Antidote-toxin recognition MazE, bacterial antitoxin"	5.6e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A
>MC149_lp54_59	48528	49319	-1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	1.2e-05	T	TASMANIA.T9	T.17579	Hmmer_genes	T
