ID	group	gene	percent_ident	alignment_length	E-score
DMPBEC_00005	Uncharacterized protein BB_0001	gene-BB_RS00005	100.0	564	0.0
DMPBEC_00010	Glycoside hydrolase family 3 N-terminal domain-containing protein	gene-BB_RS00010	100.0	1029	0.0
DMPBEC_00015	group_1482	gene-BB_RS00015	99.523	1467	0.0
DMPBEC_00020	group_3841	gene-BB_RS00020	99.331	1794	0.0
DMPBEC_00025	trpS	gene-BB_RS00025	99.716	1056	0.0
DMPBEC_00030	perM	gene-BB_RS00030	100.0	1089	0.0
DMPBEC_00035	Uncharacterized protein BB_0007	gene-BB_RS00035	99.883	858	0.0
DMPBEC_00040	cdaA	gene-BB_RS00040	99.87	771	0.0
DMPBEC_00045	YbbR-like domain-containing protein BB-0009	gene-BB_RS00045	99.701	1005	0.0
DMPBEC_00050	acpS	gene-BB_RS00050	99.733	375	0.0
DMPBEC_00055	Uncharacterized protein BB_0011	gene-BB_RS00055	99.762	840	0.0
DMPBEC_00060	truA	gene-BB_RS00060	99.325	741	0.0
DMPBEC_00065	Uncharacterized protein BB_0013	gene-BB_RS00065	99.667	600	0.0
DMPBEC_00070	priA	gene-BB_RS00070	99.899	1983	0.0
DMPBEC_00075	udk	gene-BB_RS00075	100.0	621	0.0
DMPBEC_00080	pspE	gene-BB_RS00080	100.0	372	0.0
DMPBEC_00085	yitT	gene-BB_RS00085	100.0	810	0.0
DMPBEC_00090	rluD	gene-BB_RS00090	99.898	981	0.0
DMPBEC_00095	Uncharacterized protein BB_0019	gene-BB_RS00095	100.0	513	0.0
DMPBEC_00100	pfp	gene-BB_RS00100	99.76	1668	0.0
DMPBEC_00105	queA	gene-BB_RS00105	98.742	1033	0.0
DMPBEC_00110	ruvB	gene-BB_RS00110	99.617	1044	0.0
DMPBEC_00115	ruvA	gene-BB_RS00115	100.0	594	0.0
DMPBEC_00120	yliI	gene-BB_RS00120	99.912	1140	0.0
DMPBEC_00125	tACO1	gene-BB_RS00125	100.0	732	0.0
DMPBEC_00130	folD	gene-BB_RS00130	99.558	906	0.0
DMPBEC_00135	Uncharacterized protein BB_0027	gene-BB_RS00135	100.0	639	0.0
DMPBEC_00140	bamB	gene-BB_RS00140	99.905	1050	0.0
DMPBEC_00145	yaiI	gene-BB_RS00145	99.769	432	0.0
DMPBEC_00150	lepB	gene-BB_RS00150	100.0	636	0.0
DMPBEC_00155	group_3403	gene-BB_RS00155	99.694	981	0.0
DMPBEC_00160	yfmG	gene-BB_RS00160	99.864	1473	0.0
DMPBEC_00165	smpB	gene-BB_RS00165	100.0	453	0.0
DMPBEC_00170	P13 family porin	gene-BB_RS00170	100.0	540	0.0
DMPBEC_00175	parC	gene-BB_RS00175	99.841	1881	0.0
DMPBEC_00180	parE	gene-BB_RS00180	99.722	1800	0.0
DMPBEC_00180	parE	gene-BB_RS02180	79.167	96	8.21e-14
DMPBEC_00185	plsC	gene-BB_RS00185	99.602	753	0.0
DMPBEC_00190	Uncharacterized protein BB_0038	gene-BB_RS00190	99.736	1518	0.0
DMPBEC_00195	Uncharacterized protein BB_0039	gene-BB_RS00195	100.0	1503	0.0
DMPBEC_00200	cheR	gene-BB_RS00200	99.883	852	0.0
DMPBEC_00205	phoU	gene-BB_RS00205	99.851	672	0.0
DMPBEC_00210	Uncharacterized protein BB_0043	gene-BB_RS00210	99.135	1041	0.0
DMPBEC_00215	Uncharacterized protein BB_0044	gene-BB_RS00215	100.0	402	0.0
DMPBEC_00220	smc	gene-BB_RS00220	99.469	2448	0.0
DMPBEC_00225	rnhB	gene-BB_RS00225	99.267	546	0.0
DMPBEC_00230	bpuR	gene-BB_RS00230	99.729	369	0.0
DMPBEC_00245	group_3576	gene-BB_RS00245	99.556	675	0.0
DMPBEC_00250	yhhQ	gene-BB_RS00250	99.565	690	0.0
DMPBEC_00255	trmH	gene-BB_RS00255	99.696	657	0.0
DMPBEC_00260	ung	gene-BB_RS00260	99.554	672	0.0
DMPBEC_00265	secG	gene-BB_RS00265	99.449	363	0.0
DMPBEC_00270	tpiA	gene-BB_RS00270	99.606	762	0.0
DMPBEC_00275	pgk	gene-BB_RS00275	99.408	1182	0.0
DMPBEC_00280	gap	gene-BB_RS00280	99.702	1008	0.0
DMPBEC_00285	group_3492	gene-BB_RS00285	99.949	1971	0.0
DMPBEC_00290	group_2668	gene-BB_RS00290	99.872	780	0.0
DMPBEC_00295	ybeY	gene-BB_RS00295	100.0	468	0.0
DMPBEC_00300	trxA	gene-BB_RS00300	98.588	354	7.37e-177
DMPBEC_00305	rsmE1	gene-BB_RS00305	98.884	717	0.0
DMPBEC_00310	pASTA	gene-BB_RS00310	99.206	1008	0.0
DMPBEC_00315	fmt	gene-BB_RS00315	99.894	939	0.0
DMPBEC_00320	def	gene-BB_RS00320	99.398	498	0.0
DMPBEC_00325	Uncharacterized protein BB_0066	gene-BB_RS00325	99.13	690	0.0
DMPBEC_00330	pepP	gene-BB_RS00330	99.438	1779	0.0
DMPBEC_00335	cof	gene-BB_RS00335	99.773	882	0.0
DMPBEC_00340	ampS	gene-BB_RS00340	99.839	1239	0.0
DMPBEC_00345	yuiD	gene-BB_RS00345	100.0	462	0.0
DMPBEC_00350	group_3319	gene-BB_RS00350	100.0	1473	0.0
DMPBEC_00355	rnfC	gene-BB_RS00355	99.914	2322	0.0
DMPBEC_00360	Uncharacterized protein BB_0073	gene-BB_RS00360	99.465	561	0.0
DMPBEC_00365	prfB	gene-BB_RS00365	99.293	849	0.0
DMPBEC_00365	prfB	gene-BB_RS00950	77.596	183	8.970000000000001e-35
DMPBEC_00370	PEGA domain-containing protein	gene-BB_RS00370	99.504	1410	0.0
DMPBEC_00375	ftsY	gene-BB_RS00375	99.764	846	0.0
DMPBEC_00380	Sugar-binding protein	gene-BB_RS00380	98.834	1029	0.0
DMPBEC_00385	Permease family protein	gene-BB_RS00385	99.602	1255	0.0
DMPBEC_00390	lolD	gene-BB_RS00390	99.853	681	0.0
DMPBEC_00395	lolC	gene-BB_RS00395	99.76	1251	0.0
DMPBEC_00400	DUF4179 domain-containing protein	gene-BB_RS00400	99.846	1299	0.0
DMPBEC_00405	DUF1828 domain-containing protein	gene-BB_RS00405	99.377	321	2.7200000000000003e-163
DMPBEC_00410	csd	gene-BB_RS00410	99.764	1269	0.0
DMPBEC_00415	iscU	gene-BB_RS00415	99.765	426	0.0
DMPBEC_00420	yifB	gene-BB_RS00420	99.805	1536	0.0
DMPBEC_00425	ldh	gene-BB_RS00425	99.79	951	0.0
DMPBEC_00430	lepA	gene-BB_RS00430	99.762	1680	0.0
DMPBEC_00435	Uncharacterized protein BB_0089	gene-BB_RS00435	100.0	975	0.0
DMPBEC_00440	V-type ATP synthase subunit K	gene-BB_RS00440	100.0	435	0.0
DMPBEC_00445	atpI	gene-BB_RS00445	99.617	1827	0.0
DMPBEC_00450	atpD	gene-BB_RS00450	99.836	609	0.0
DMPBEC_00455	atpB	gene-BB_RS00455	100.0	1305	0.0
DMPBEC_00460	atpA	gene-BB_RS00460	99.942	1728	0.0
DMPBEC_00465	Uncharacterized protein BB_0095	gene-BB_RS00465	99.817	546	0.0
DMPBEC_00470	atpE	gene-BB_RS00470	99.833	600	0.0
DMPBEC_00475	Uncharacterized protein BB_0097	gene-BB_RS00475	100.0	387	0.0
DMPBEC_00480	mutS2	gene-BB_RS00480	99.915	2343	0.0
DMPBEC_00485	rsgA	gene-BB_RS00485	100.0	924	0.0
DMPBEC_00490	murI	gene-BB_RS00490	99.873	786	0.0
DMPBEC_00495	asnS	gene-BB_RS00495	99.928	1389	0.0
DMPBEC_00500	SPOR domain-containing protein	gene-BB_RS00500	97.893	522	0.0
DMPBEC_00505	hpt1	gene-BB_RS00505	99.663	594	0.0
DMPBEC_00510	degQ	gene-BB_RS00510	99.86	1425	0.0
DMPBEC_00515	map	gene-BB_RS00515	99.868	756	0.0
DMPBEC_00520	bepA	gene-BB_RS00520	99.94	1668	0.0
DMPBEC_00525	nusB	gene-BB_RS00525	99.068	429	0.0
DMPBEC_00530	surA	gene-BB_RS00530	99.901	1011	0.0
DMPBEC_00535	paaJ	gene-BB_RS00535	99.582	1197	0.0
DMPBEC_00540	group_2596	gene-BB_RS00540	99.853	1365	0.0
DMPBEC_00545	dnaB	gene-BB_RS00545	99.854	1368	0.0
DMPBEC_00550	rplI	gene-BB_RS00550	99.234	522	0.0
DMPBEC_00555	rpsR	gene-BB_RS00555	100.0	291	8.3e-150
DMPBEC_00560	ssb	gene-BB_RS00560	99.778	450	0.0
DMPBEC_00565	rpsF	gene-BB_RS00565	99.762	420	0.0
DMPBEC_00570	ptsG2	gene-BB_RS00570	99.587	1695	0.0
DMPBEC_00570	ptsG2	gene-BB_RS03270	69.474	285	1.3099999999999999e-23
DMPBEC_00575	yqfA	gene-BB_RS00575	99.145	702	0.0
DMPBEC_00580	rseP	gene-BB_RS00580	99.155	1302	0.0
DMPBEC_00585	Phosphatidate cytidylyltransferase	gene-BB_RS00585	99.883	852	0.0
DMPBEC_00590	uppS	gene-BB_RS00590	100.0	693	0.0
DMPBEC_00595	frr	gene-BB_RS00595	99.82	555	0.0
DMPBEC_00600	tsf	gene-BB_RS00600	99.881	840	0.0
DMPBEC_00605	rpsB	gene-BB_RS00605	100.0	783	0.0
DMPBEC_00610	group_1380	gene-BB_RS00610	100.0	279	2.59e-143
DMPBEC_00615	group_1381	gene-BB_RS00615	99.308	723	0.0
DMPBEC_00620	group_1382	gene-BB_RS00620	100.0	612	0.0
DMPBEC_00625	rpsA	gene-BB_RS00625	99.879	1656	0.0
DMPBEC_00630	cmk	gene-BB_RS00630	98.498	666	0.0
DMPBEC_00635	rsuA	gene-BB_RS00635	99.467	750	0.0
DMPBEC_00640	Segregation and condensation protein A	gene-BB_RS00640	99.74	768	0.0
DMPBEC_00645	recA	gene-BB_RS00645	99.727	1098	0.0
DMPBEC_00650	greA	gene-BB_RS00650	99.926	2706	0.0
DMPBEC_00655	group_2555	gene-BB_RS00655	100.0	945	0.0
DMPBEC_00660	group_3806	gene-BB_RS00660	100.0	1128	0.0
DMPBEC_00665	hisS	gene-BB_RS00665	100.0	1371	0.0
DMPBEC_00670	ftsI	gene-BB_RS00670	99.63	1890	0.0
DMPBEC_00675	fAA1	gene-BB_RS00675	99.947	1893	0.0
DMPBEC_00675	fAA1	gene-BB_RS02980	77.358	106	2.48e-14
DMPBEC_00680	Nitrogen regulatory protein P-II	gene-BB_RS00685	99.679	312	1.5099999999999999e-159
DMPBEC_00685	Acriflavine resistance protein	gene-BB_RS00690	99.596	3216	0.0
DMPBEC_00690	acrA	gene-BB_RS00695	99.79	954	0.0
DMPBEC_00695	tolC	gene-BB_RS00700	99.534	1287	0.0
DMPBEC_00700	group_1384	gene-BB_RS00705	96.825	189	1.6900000000000002e-86
DMPBEC_00705	proX	gene-BB_RS00710	99.885	873	0.0
DMPBEC_00710	proW	gene-BB_RS00715	100.0	900	0.0
DMPBEC_00715	proV	gene-BB_RS00720	100.0	1119	0.0
DMPBEC_00720	flaB	gene-BB_RS00725	99.703	1011	0.0
DMPBEC_00725	fliD	gene-BB_RS00730	99.499	1998	0.0
DMPBEC_00730	nagA	gene-BB_RS00735	99.337	1206	0.0
DMPBEC_00735	nagB	gene-BB_RS00740	100.0	807	0.0
DMPBEC_00740	sod	gene-BB_RS00745	100.0	612	0.0
DMPBEC_00745	secA	gene-BB_RS00750	99.741	2700	0.0
DMPBEC_00750	group_2558	gene-BB_RS00755	99.824	1137	0.0
DMPBEC_00755	group_1198	gene-BB_RS00760	99.74	384	0.0
DMPBEC_00760	Integral membrane protein	gene-BB_RS00765	100.0	417	0.0
DMPBEC_00765	group_1199	gene-BB_RS00770	99.721	717	0.0
DMPBEC_00770	S2/P23 family protein	gene-BB_RS00775	99.852	675	0.0
DMPBEC_00775	alr	gene-BB_RS00780	99.911	1119	0.0
DMPBEC_00780	YD repeat protein	gene-BB_RS00785	99.813	1602	0.0
DMPBEC_00785	50S ribosomal protein L33	gene-BB_RS07735	100.0	168	2.67e-83
DMPBEC_00790	group_3559	gene-BB_RS00790	99.943	1749	0.0
DMPBEC_00795	K+-dependent Na+/Ca+ exchanger-like protein	gene-BB_RS00795	100.0	987	0.0
DMPBEC_00800	putative glycosyl hydrolase, alpha amylase family	gene-BB_RS00800	100.0	1845	0.0
DMPBEC_00805	4-alpha-glucanotransferase	gene-BB_RS00805	99.474	1521	0.0
DMPBEC_00810	ompA	gene-BB_RS00810	99.402	1170	0.0
DMPBEC_00815	dksA	gene-BB_RS00815	99.735	378	0.0
DMPBEC_00820	infA	gene-BB_RS00820	99.099	222	9.76e-110
DMPBEC_00825	SH3b domain-containing protein	gene-BB_RS00825	99.351	2004	0.0
DMPBEC_00825	SH3b domain-containing protein	gene-BB_RS00830	100.0	52	3.49e-19
DMPBEC_00830	group_3834	gene-BB_RS00830	98.299	588	0.0
DMPBEC_00835	terY	gene-BB_RS00835	99.088	987	0.0
DMPBEC_00840	chlD	gene-BB_RS00840	99.701	1002	0.0
DMPBEC_00845	batD	gene-BB_RS00845	99.89	906	0.0
DMPBEC_00850	yeaD2	gene-BB_RS00850	99.772	876	0.0
DMPBEC_00855	moxR	gene-BB_RS00855	100.0	993	0.0
DMPBEC_00860	rsmG	gene-BB_RS00860	99.522	627	0.0
DMPBEC_00865	mnmG	gene-BB_RS00865	99.893	1866	0.0
DMPBEC_00870	mnmE	gene-BB_RS00870	99.642	1395	0.0
DMPBEC_00875	flbF	gene-BB_RS00875	99.798	495	0.0
DMPBEC_00880	flgK	gene-BB_RS00880	99.788	1884	0.0
DMPBEC_00885	flgL	gene-BB_RS00885	100.0	1275	0.0
DMPBEC_00890	fliW	gene-BB_RS00890	100.0	393	0.0
DMPBEC_00895	csrA	gene-BB_RS00895	100.0	246	1.86e-125
DMPBEC_00900	tsaB	gene-BB_RS00900	99.847	654	0.0
DMPBEC_00905	tsaE	gene-BB_RS00905	99.758	414	0.0
DMPBEC_00910	group_1387	gene-BB_RS00910	99.234	261	7.37e-131
DMPBEC_00915	rplT	gene-BB_RS00915	99.425	348	1.7e-178
DMPBEC_00920	rpmI	gene-BB_RS00920	100.0	201	3.99e-101
DMPBEC_00925	infC	gene-BB_RS00925	99.643	561	0.0
DMPBEC_00930	Yip1 domain-containing protein	gene-BB_RS00930	99.694	654	0.0
DMPBEC_00935	group_3408	gene-BB_RS00935	99.459	739	0.0
DMPBEC_00940	tatD	gene-BB_RS00940	99.753	810	0.0
DMPBEC_00945	lapB	gene-BB_RS00945	99.912	1140	0.0
DMPBEC_00950	prfA	gene-BB_RS00950	99.721	1074	0.0
DMPBEC_00950	prfA	gene-BB_RS00365	76.382	199	3.2700000000000004e-35
DMPBEC_00955	prmC	gene-BB_RS00955	99.419	861	0.0
DMPBEC_00955	prmC	gene-BB_RS00960	100.0	44	3.18e-15
DMPBEC_00960	spoT	gene-BB_RS00960	99.85	2004	0.0
DMPBEC_00960	spoT	gene-BB_RS00955	100.0	44	7.52e-15
DMPBEC_00965	Putative membrane protein	gene-BB_RS00965	99.823	2265	0.0
DMPBEC_00970	ddl	gene-BB_RS00970	99.724	1086	0.0
DMPBEC_00975	murE	gene-BB_RS00975	100.0	1527	0.0
DMPBEC_00985	tlyC	gene-BB_RS00985	99.839	1239	0.0
DMPBEC_00990	hflK	gene-BB_RS00990	99.466	936	0.0
DMPBEC_00995	hflC	gene-BB_RS00995	99.691	972	0.0
DMPBEC_01010	hDGYP	gene-BB_RS01010	99.419	1548	0.0
DMPBEC_01015	rsmD	gene-BB_RS01015	100.0	537	0.0
DMPBEC_01020	UTP--glucose-1-phosphate uridylyltransferase	gene-BB_RS01020	100.0	837	0.0
DMPBEC_01025	BB_0208 family protein	gene-BB_RS01025	99.828	1746	0.0
DMPBEC_01030	group_2556	gene-BB_RS01030	100.0	768	0.0
DMPBEC_01035	lmp1	gene-BB_RS01035	99.167	3360	0.0
DMPBEC_01040	mutL	gene-BB_RS01040	99.564	1833	0.0
DMPBEC_01045	Borrelia PFam57/62 partition protein	gene-BB_RS01045	99.903	1032	0.0
DMPBEC_01055	group_3654	gene-BB_RS01055	99.847	654	0.0
DMPBEC_01060	efp	gene-BB_RS01060	100.0	579	0.0
DMPBEC_01065	pstS	gene-BB_RS01065	99.643	840	0.0
DMPBEC_01070	pstC	gene-BB_RS01070	100.0	909	0.0
DMPBEC_01075	pstA	gene-BB_RS01075	99.722	1437	0.0
DMPBEC_01080	pstB	gene-BB_RS01080	96.552	783	0.0
DMPBEC_01085	zupT	gene-BB_RS01085	100.0	822	0.0
DMPBEC_01090	alaS	gene-BB_RS01090	99.944	1785	0.0
DMPBEC_01095	fliG	gene-BB_RS01095	100.0	1218	0.0
DMPBEC_01100	pgl	gene-BB_RS01100	99.859	708	0.0
DMPBEC_01105	Putative lipoprotein	gene-BB_RS01105	100.0	354	0.0
DMPBEC_01105	Putative lipoprotein	gene-BB_RS04865	74.212	349	4.68e-59
DMPBEC_01110	group_981	gene-BB_RS01110	100.0	285	1.4699999999999998e-146
DMPBEC_01110	group_981	gene-BB_RS04865	68.261	230	8.16e-17
DMPBEC_01115	group_1390	gene-BB_RS01115	100.0	1008	0.0
