contig	pfam32_type	plasmid_length
contig_1		19608
contig_2	lp28-4	44595
contig_3	cp32-6	21477
contig_4	lp54	84084
contig_5	lp28-2	26087
contig_6	cp32-8	34938
contig_7	lp28-11	41807
contig_8	lp36	83043
contig_9		55226
contig_10	lp38	73926
contig_11		32164
contig_12	cp32-3	85366
contig_13	cp32-4	46386
contig_14	lp25	30963
contig_15	cp32-6	29154
contig_16	cp32-3	31173
contig_17	cp32-7	44629
contig_18		19520
contig_19	cp26	44870
contig_20	cp32-9	46363
contig_21	lp56	923400
contig_22	cp32-8	37310
contig_23	lp28-3	48837
