gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure	pop_structure
>MC104_chr_123	122327	123982	-1	551	0	antitoxin	5.4e-07	0	TASMANIA.A11	A.36188	xxx5.4e-07xxxxxx	xxx5.4e-07xxxxxx
>MC104_chr_265	287580	287843	-1	87	0	family	0.00044	0	TASMANIA.T11	T.23429	xxxxxxxxxx0.00044xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	xxxxxxxxxx0.00044xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
>MC104_chr_312	328935	329294	1	119	0	antitoxin	1.3e-07	0	TASMANIA.A116	A.58654	x1.3e-07	x1.3e-07
>MC104_chr_315	333301	334197	-1	298	0	RelE-like	toxic	0	of	a	xxtoxic	xxtoxic
>MC104_chr_32	29379	30860	1	493	0	toxin	of	0	II	toxin-antitoxin	ofx	ofx
>MC104_chr_330	350726	351001	-1	91	0	DNA	binding	0	3.6e-06	A	xxxxxbindingxxx	xxxxxbindingxxx
>MC104_chr_417	450824	451606	-1	260	0	nuclease	domain	0	A	TASMANIA.A1	domain	domain
>MC104_chr_457	493831	494223	-1	130	0	domain	5.9e-08	0	TASMANIA.T89	T.19597	5.9e-08	5.9e-08
>MC104_chr_704	770753	771154	-1	133	0	nuclease	domain	0	A	TASMANIA.A67	xxxdomainx	xxxdomainx
>MC104_lp17_15	15041	15310	1	89	0	antitoxin	6.7e-06	0	TASMANIA.A11	A.21775	x6.7e-06	x6.7e-06
>MC104_lp17_3	1424	1672	1	82	0	toxin	of	0	type	II	of	of
>MC104_lp36_20	18203	18436	-1	77	0	Phd_YefM,	type	0	toxin-antitoxin	system"	typex	typex
>MC104_lp54_6	4461	5252	1	263	0	toxin	of	0	II	toxin-antitoxin	of	of
>MC104_lp54_60	48703	49176	1	157	0	recognition	MazE,	0	antitoxin"	3.1e-07	MazE,	MazE,
