gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure
>NODE_11_length_27320_cov_13.8351_17	18134	18397	-1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxTxxxxxxxxxxxx?
>NODE_126_length_942_cov_6.3865_1	3	758	1	251	"ParE toxin of type II toxin-antitoxin system, parDE"	0.00013	T	TASMANIA.T9	T.17579	Hmmer_genes	?T?
>NODE_1_length_97902_cov_13.6474_69	72990	73265	1	91	Arc-like DNA binding domain	3.6e-06	A	TASMANIA.A31	A.55510	Hmmer_genes	xxxAxxxxx
>NODE_1_length_97902_cov_13.6474_84	89794	90690	1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	Txx
>NODE_1_length_97902_cov_13.6474_87	94697	95056	-1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	Ax
>NODE_26_length_14115_cov_14.697_12	13205	13987	1	260	ParB-like nuclease domain	1.8e-55	A	TASMANIA.A1	A.58457	Hmmer_genes	A?
>NODE_29_length_12647_cov_18.2335_11	10957	11205	-1	82	YoeB-like toxin of bacterial type II toxin-antitoxin system	2.7e-06	T	TASMANIA.T92	T.21922	Hmmer_genes	T
>NODE_2_length_74532_cov_12.6745_33	36964	37365	1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xAxxx
>NODE_39_length_7555_cov_13.0133_9	7209	7442	-1	77	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	4.6e-06	A	TASMANIA.A45	A.59949	Hmmer_genes	Ax?
>NODE_3_length_69950_cov_13.4206_43	41601	43256	-1	551	RelB antitoxin	5.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxAxxxxxx
>NODE_47_length_6144_cov_19.4715_2	2074	3288	-1	404	PIN domain	6.1e-07	T	TASMANIA.T109	T.34729	Hmmer_genes	Tx
>NODE_4_length_66103_cov_11.9231_37	35280	36761	-1	493	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00052	T	TASMANIA.T4	T.2200	Hmmer_genes	xT
>NODE_52_length_5163_cov_13.4232_5	4662	5162	-1	166	"Antidote-toxin recognition MazE, bacterial antitoxin"	3.5e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A?
>NODE_53_length_5143_cov_16.3393_2	2326	2595	1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	?xA
>NODE_5_length_65220_cov_14.2382_2	1849	2241	-1	130	PIN domain	5.9e-08	T	TASMANIA.T89	T.19597	Hmmer_genes	T
