contig	pfam32_type	plasmid_length
contig_1	cp32-6	17742
contig_2	cp32-1	33200
contig_3	lp56	951260
contig_4	cp26	52793
contig_5	cp32-6	36924
contig_6	lp38	79843
contig_7	cp32-7	44369
contig_8	cp32-9	48179
contig_9	cp32-6	17892
contig_10		18525
contig_11		32032
contig_12	lp28-3	48872
contig_13	cp32-6	38940
contig_14	lp28-11	68814
contig_15		19657
contig_16	lp25	56391
contig_17		18753
contig_18		21104
contig_19	lp54	90010
contig_20	lp36	81455
contig_21	cp32-9	30125
contig_22	cp32-4	40449
contig_23	cp32-8	44473
contig_24	cp32-6	21280
