contig	pfam32_type	plasmid_length
contig_1		7124
contig_2		33725
contig_3		30295
contig_4	lp28-2	14207
contig_5	lp54	17854
contig_6		16953
contig_7	cp32-1	36399
contig_8		3634
contig_9		21083
contig_10	lp28-6	917309
contig_11		15249
contig_12		15556
contig_13		38849
contig_14		3784
contig_15		7313
contig_16	cp32-3	16870
contig_17	lp54	83097
contig_18		2640
contig_19		4587
contig_20	lp28-2	28033
contig_21		10738
contig_22		3607
contig_23		12730
contig_24		5811
contig_25		5239
contig_26		23473
contig_27		2838
contig_28		8859
contig_29		29277
contig_30	cp32-3	44846
contig_31		3989
contig_32		8122
contig_33		8205
contig_34		7885
contig_35		3159
contig_36		7230
contig_37	lp28-2	4474
contig_38		17602
contig_39		2458
contig_40	cp26	37619
contig_41		3617
contig_42		25943
contig_43	cp32-3	16026
