gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure
>B483_chr_110	132026	132427	1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xAxxx
>B483_chr_357	408897	409289	1	130	PIN domain	5.9e-08	T	TASMANIA.T89	T.19597	Hmmer_genes	T
>B483_chr_397	451513	452295	1	260	ParB-like nuclease domain	7.7e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A
>B483_chr_499	568922	569818	1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	Txx
>B483_chr_502	573816	574175	-1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	Ax
>B483_chr_549	615251	615514	1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxTxxxxxxxxxx
>B483_chr_691	778646	780301	1	551	RelB antitoxin	5.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxxxxAxxx
>B483_chr_783	871781	873253	-1	490	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00025	T	TASMANIA.T4	T.2200	Hmmer_genes	xT
>B483_cp26_17	15449	16663	-1	404	PIN domain	2.9e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	Tx
>B483_cp9_6	5091	5651	-1	186	"ParE toxin of type II toxin-antitoxin system, parDE"	4.8e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	Txxx
>B483_lp17_12	13269	13538	1	89	RelB antitoxin	7.8e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	xA
>B483_lp28-5_13	15771	18308	1	845	Antitoxin ParD	6.1e-06	A	TASMANIA.A85	A.35919	Hmmer_genes	Ax
>B483_lp28-5_18	22015	23013	-1	332	"Ribbon-helix-helix protein, copG family"	1.6e-06	A	TASMANIA.A130	A.9540	Hmmer_genes	A
>B483_lp36_24	25382	25615	-1	77	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	4.6e-06	A	TASMANIA.A45	A.59949	Hmmer_genes	A
>B483_lp54_7	5416	6207	1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	5.7e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	T
