gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure
>contig000001_124	122423	124078	-1	551	RelB antitoxin	5.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxAxxxxxx
>contig000001_266	287538	287801	-1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
>contig000001_313	328893	329252	1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	xA
>contig000001_316	333259	334155	-1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	xxT
>contig000001_33	29478	30950	1	490	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00049	T	TASMANIA.T4	T.2200	Hmmer_genes	Tx
>contig000001_331	350696	350971	-1	91	Arc-like DNA binding domain	1.5e-06	A	TASMANIA.A31	A.55510	Hmmer_genes	xxxxxAxxx
>contig000001_418	450801	451583	-1	260	ParB-like nuclease domain	5.6e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A
>contig000001_458	493807	494199	-1	130	PIN domain	5.9e-08	T	TASMANIA.T89	T.19597	Hmmer_genes	T
>contig000001_705	770737	771138	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx
>contig000003_6	4401	5192	1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	7.3e-05	T	TASMANIA.T9	T.17579	Hmmer_genes	T
>contig000003_60	48552	49025	1	157	"Antidote-toxin recognition MazE, bacterial antitoxin"	3.1e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A
>contig000004_44	47586	47819	-1	77	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	4.6e-06	A	TASMANIA.A45	A.59949	Hmmer_genes	A
>contig000007_2	339	575	-1	78	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	6e-06	A	TASMANIA.A90	A.42391	Hmmer_genes	?xAxxxxxxxxxxxxxxx
>contig000009_18	17157	18371	-1	404	PIN domain	5.3e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	Tx
>contig000011_2	2502	2771	-1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	Ax
>contig000014_8	6368	6928	-1	186	"ParE toxin of type II toxin-antitoxin system, parDE"	4.8e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	Txx?
