Sample	N50 (Kbp)	L50 (K)	Largest contig (Kbp)	Length (Mbp)	Misassemblies	Mismatches/100kbp	Indels/100kbp	Genome Fraction
B331PP	903.654	0.001	903.654	1.4090779999999998	24.0	932.37	60.88	78.783
B418PP	902.773	0.001	902.773	1.3768529999999999	16.0	851.29	51.15	80.193
B500PP	903.66	0.001	903.66	1.429303	36.0	988.31	69.57	82.511
ESI26H	910.3960000000001	0.001	910.3960000000001	1.266427	14.0	488.39	31.81	72.915
ESI36H	909.934	0.001	909.934	1.182078	14.0	738.26	33.18	72.107
ESI403H	910.442	0.001	910.442	1.362461	10.0	541.99	35.63	83.085
ESI425H	342.81600000000003	0.002	434.789	1.2593109999999998	12.0	813.35	39.89	73.825
GCA_002151465.1_ASM215146v1_genomic	909.921	0.001	909.921	1.288112	1.0	44.27	10.74	82.706
GCA_002151485.1_ASM215148v1_genomic	910.7280000000001	0.001	910.7280000000001	1.3015539999999999	4.0	110.48	14.05	83.072
GCA_002151505.1_ASM215150v1_genomic	909.921	0.001	909.921	1.3411819999999999	2.0	93.47	15.29	85.499
GCA_002442595.2_ASM244259v2_genomic	903.654	0.001	903.654	1.409089	24.0	932.37	60.88	78.783
GCA_003367295.1_ASM336729v1_genomic	908.5120000000001	0.001	908.5120000000001	1.28024	16.0	758.69	44.05	75.032
GCA_019134655.1_ASM1913465v1_genomic	909.995	0.001	909.995	1.217256	13.0	837.36	39.56	73.334
GCA_019464575.1_ASM1946457v1_genomic	903.66	0.001	903.66	1.429304	30.0	948.06	69.76	81.123
GCA_024662155.1_ASM2466215v1_genomic	903.249	0.001	903.249	1.3920599999999999	23.0	892.56	59.71	79.527
GCA_024662175.1_ASM2466217v1_genomic	920.773	0.001	920.773	1.417706	18.0	844.86	51.95	78.659
GCA_024662195.1_ASM2466219v1_genomic	909.655	0.001	909.655	1.513701	0.0	1.98	4.36	99.439
GCA_030439605.1_ASM3043960v1_genomic	910.655	0.001	910.655	1.007753	0.0	3.28	3.37	66.238
GCA_030439625.1_ASM3043962v1_genomic	910.422	0.001	910.422	1.007827	1.0	331.98	17.27	66.236
GCA_030439665.1_ASM3043966v1_genomic	902.811	0.001	902.811	1.000122	1.0	551.26	21.27	65.614
GCA_030440345.1_ASM3044034v1_genomic	907.764	0.001	907.764	1.006065	1.0	529.06	19.61	65.394
GCA_030444985.1_ASM3044498v1_genomic	910.563	0.001	910.563	1.0076319999999999	0.0	8.73	4.07	66.243
GCA_030445005.1_ASM3044500v1_genomic	910.422	0.001	910.422	1.007828	1.0	331.98	17.17	66.236
GCA_030445025.1_ASM3044502v1_genomic	910.663	0.001	910.663	1.008124	1.0	337.59	16.97	66.231
GCA_030445065.1_ASM3044506v1_genomic	910.229	0.001	910.229	1.006503	1.0	286.2	12.82	66.14
GCA_032595375.1_ASM3259537v1_genomic	909.591	0.001	909.591	1.007086	1.0	347.73	17.68	66.173
GCA_032595515.1_ASM3259551v1_genomic	911.399	0.001	911.399	1.004596	2.0	338.46	17.2	65.163
GCA_032595535.1_ASM3259553v1_genomic	909.722	0.001	909.722	1.0057589999999998	2.0	569.01	19.27	64.803
GCA_032595755.1_ASM3259575v1_genomic	910.071	0.001	910.071	1.0065629999999999	0.0	586.83	24.44	62.696
GCA_038801875.1_ASM3880187v1_genomic	919.99	0.001	919.99	0.946504	1.0	522.63	18.34	62.046
GCA_040790715.1_ASM4079071v1_genomic	908.738	0.001	908.738	1.289159	20.0	730.03	47.72	77.188
GCA_040790735.1_ASM4079073v1_genomic	909.471	0.001	909.471	1.391486	20.0	833.46	45.12	78.701
GCA_040790745.1_ASM4079074v1_genomic	902.797	0.001	902.797	1.371468	18.0	860.85	53.89	80.962
GCA_040790755.1_ASM4079075v1_genomic	902.698	0.001	902.698	1.321156	21.0	838.73	53.63	80.789
GCA_040790765.1_ASM4079076v1_genomic	910.0790000000001	0.001	910.0790000000001	1.397896	16.0	832.72	44.26	77.689
GCA_040790775.1_ASM4079077v1_genomic	907.6320000000001	0.001	907.6320000000001	1.417953	4.0	1.06	3.96	92.908
GCA_040790785.1_ASM4079078v1_genomic	910.048	0.001	910.048	1.383845	14.0	813.36	47.49	78.758
