gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure
>contig000001_123	122475	124130	-1	551	RelB antitoxin	9.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxAxxxxxx
>contig000001_265	287899	288162	-1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
>contig000001_312	329251	329610	1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	xA
>contig000001_315	333608	334504	-1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	xxT
>contig000001_32	29533	31005	1	490	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00011	T	TASMANIA.T4	T.2200	Hmmer_genes	Tx
>contig000001_416	451111	451893	-1	260	ParB-like nuclease domain	7.7e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A
>contig000001_456	494122	494511	-1	129	PIN domain	1.9e-07	T	TASMANIA.T89	T.19597	Hmmer_genes	T
>contig000001_703	770995	771396	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx
>contig000006_9	4606	5187	-1	193	ParB-like nuclease domain	5.1e-06	A	TASMANIA.A1	A.58467	Hmmer_genes	?xxxxxxxxAxxxxxxxxxxxxxxxxx
>contig000009_24	21868	23082	1	404	PIN domain	2.9e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	xT
>contig000010_23	19255	19524	1	89	RelB antitoxin	7.8e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	xA?
