Sample	Length	Count	N50	tRNAs	tmRNAs	rRNAs	ncRNAs	ncRNA_regions	CRISPR_arrays	CDSs	pseudogenes	hypotheticals	sORFs	gaps	oriCs	oriVs	oriTs
B331PP	1409078	19	903654	32	1	5	2	0	0	1379	4	67	0	0	1	0	0
B331PP-checkpoint	1409078	19	903654	32	1	5	2	0	0	1379	4	67	0	0	1	0	0
B418PP	1376853	18	902773	33	1	5	2	0	0	1336	9	77	0	0	1	0	0
B500PP	1429303	19	903660	32	1	5	2	0	0	1402	8	70	0	0	1	0	0
ESI26H	1276481	64	910396	32	1	5	2	0	0	1213	9	66	0	0	1	0	0
ESI36H	1182078	11	909934	32	1	5	2	0	0	1118	4	30	0	0	1	0	0
ESI403H	1364813	34	910442	33	1	5	2	0	0	1338	11	74	0	0	1	0	0
ESI425H	1260215	21	342816	32	1	3	2	0	0	1199	1	46	0	0	1	0	0
GCA_002151465.1_ASM215146v1_genomic	1288112	12	909921	32	1	5	2	0	0	1274	18	56	0	0	1	0	0
GCA_002151485.1_ASM215148v1_genomic	1301554	11	910728	32	1	5	2	0	0	1305	22	57	0	0	1	0	0
GCA_002151505.1_ASM215150v1_genomic	1341182	13	909921	32	1	5	2	0	0	1339	15	60	0	0	1	0	0
GCA_002442595.2_ASM244259v2_genomic	1409089	19	903654	32	1	5	2	0	0	1379	4	67	0	0	1	0	0
GCA_003367295.1_ASM336729v1_genomic	1280240	16	908512	32	1	5	2	0	0	1237	9	49	0	0	1	0	0
GCA_019134655.1_ASM1913465v1_genomic	1217256	11	909995	32	1	5	2	0	0	1168	6	41	0	0	1	0	0
GCA_019464575.1_ASM1946457v1_genomic	1429304	19	903660	32	1	5	2	0	0	1405	8	68	0	0	1	0	0
GCA_024662155.1_ASM2466215v1_genomic	1392060	18	903249	32	1	5	2	0	0	1357	7	72	0	0	1	0	0
GCA_024662175.1_ASM2466217v1_genomic	1417706	18	920773	32	1	5	2	0	0	1400	5	59	0	0	1	0	0
GCA_024662195.1_ASM2466219v1_genomic	1513701	21	909655	32	1	5	2	0	0	1505	21	86	0	0	1	0	0
GCA_030439605.1_ASM3043960v1_genomic	1007753	4	910655	32	1	5	2	0	0	919	4	19	0	0	1	0	0
GCA_030439625.1_ASM3043962v1_genomic	1007827	4	910422	32	1	5	2	0	0	918	0	22	0	0	1	0	0
GCA_030439665.1_ASM3043966v1_genomic	1000122	4	902811	32	1	5	2	0	0	915	1	21	0	0	1	0	0
GCA_030440345.1_ASM3044034v1_genomic	1006065	4	907764	32	1	5	2	0	0	918	0	18	0	0	1	0	0
