CFHKPG_00001	Uncharacterized protein BB_0001
CFHKPG_00002	Glycoside hydrolase family 3 N-terminal domain-containing protein
CFHKPG_00003	group_2101
CFHKPG_00004	manB
CFHKPG_00005	trpS
CFHKPG_00006	perM
CFHKPG_00007	Uncharacterized protein BB_0007
CFHKPG_00008	cdaA
CFHKPG_00009	YbbR-like domain-containing protein BB-0009
CFHKPG_00010	acpS
CFHKPG_00011	Uncharacterized protein BB_0011
CFHKPG_00012	truA
CFHKPG_00013	Uncharacterized protein BB_0013
CFHKPG_00014	priA
CFHKPG_00015	udk
CFHKPG_00016	pspE
CFHKPG_00017	yitT
CFHKPG_00018	rluD
CFHKPG_00019	Uncharacterized protein BB_0019
CFHKPG_00020	pfp
CFHKPG_00021	group_1125
CFHKPG_00022	queA
CFHKPG_00023	ruvB
CFHKPG_00024	ruvA
CFHKPG_00025	yliI
CFHKPG_00026	tACO1
CFHKPG_00027	folD
CFHKPG_00028	Uncharacterized protein BB_0027
CFHKPG_00029	bamB
CFHKPG_00030	yaiI
CFHKPG_00031	lepB
CFHKPG_00032	group_3605
CFHKPG_00033	yfmG
CFHKPG_00034	smpB
CFHKPG_00035	P13 family porin
CFHKPG_00036	parC
CFHKPG_00037	parE
CFHKPG_00038	plsC
CFHKPG_00039	Uncharacterized protein BB_0038
CFHKPG_00040	Uncharacterized protein BB_0039
CFHKPG_00041	cheR
CFHKPG_00042	phoU
CFHKPG_00043	Uncharacterized protein BB_0043
CFHKPG_00044	Uncharacterized protein BB_0044
CFHKPG_00045	smc
CFHKPG_00046	rnhB
CFHKPG_00047	bpuR
CFHKPG_00050	yhhQ
CFHKPG_00051	group_1912
CFHKPG_00052	trmH
CFHKPG_00053	ung
CFHKPG_00054	secG
CFHKPG_00055	tpiA
CFHKPG_00056	pgk
CFHKPG_00057	gap
CFHKPG_00058	group_3368
CFHKPG_00059	tlyC
CFHKPG_00060	ybeY
CFHKPG_00061	trxA
CFHKPG_00062	rsmE1
CFHKPG_00063	pASTA
CFHKPG_00064	fmt
CFHKPG_00065	def
CFHKPG_00066	Uncharacterized protein BB_0066
CFHKPG_00067	pepP
CFHKPG_00068	cof
CFHKPG_00069	ampS
CFHKPG_00070	yuiD
CFHKPG_00071	group_1674
CFHKPG_00072	rnfC
CFHKPG_00073	Uncharacterized protein BB_0073
CFHKPG_00074	prfB
CFHKPG_00075	PEGA domain-containing protein
CFHKPG_00076	ftsY
CFHKPG_00077	Sugar-binding protein
CFHKPG_00078	Permease family protein
CFHKPG_00079	lolD
CFHKPG_00080	lolC
CFHKPG_00081	DUF4179 domain-containing protein
CFHKPG_00082	DUF1828 domain-containing protein
CFHKPG_00083	csd
CFHKPG_00084	iscU
CFHKPG_00085	yifB
CFHKPG_00086	ldh
CFHKPG_00087	lepA
