gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure	pop_structure
>NODE_10_length_20223_cov_20.3679_1	129	911	-1	260	ParB-like nuclease domain	5.6e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	?A	?A
>NODE_116_length_3772_cov_29.2757_1	2	508	1	168	"Antidote-toxin recognition MazE, bacterial antitoxin"	6.4e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	?A	?A
>NODE_123_length_3612_cov_42.4623_2	791	1060	1	89	RelB antitoxin	4.4e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	?xA	?xA
>NODE_127_length_3043_cov_27.8073_4	2121	2681	1	186	"ParE toxin of type II toxin-antitoxin system, parDE"	4.5e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	?xxxT?	?xxxT?
>NODE_128_length_3267_cov_38.5707_2	390	905	1	171	ParB family	5e-07	A	TASMANIA.A21	A.65653	Hmmer_genes	A	A
>NODE_13_length_18751_cov_14.5529_1	378	1274	1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	?Txx	?Txx
>NODE_13_length_18751_cov_14.5529_4	5272	5631	-1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	Ax	Ax
>NODE_18_length_16651_cov_114.027_14	7633	7869	1	78	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	6e-06	A	TASMANIA.A90	A.42391	Hmmer_genes	?xxxxxxxxxxxxxAxxxxxxxxxxxx	?xxxxxxxxxxxxxAxxxxxxxxxxxx
>NODE_1_length_41438_cov_21.4368_45	39220	39612	1	130	PIN domain	5.9e-08	T	TASMANIA.T89	T.19597	Hmmer_genes	T	T
>NODE_202_length_1602_cov_51.5919_1	1	462	1	153	"ParE toxin of type II toxin-antitoxin system, parDE"	5e-07	T	TASMANIA.T86	T.17765	Hmmer_genes	?T	?T
>NODE_22_length_15401_cov_20.5155_8	8987	9388	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx	xxxAx
>NODE_23_length_13883_cov_11.0731_12	13079	13354	1	91	Arc-like DNA binding domain	1.5e-06	A	TASMANIA.A31	A.55510	Hmmer_genes	xxxAx?	xxxAx?
>NODE_262_length_1011_cov_12.8518_1	161	952	-1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	9.9e-05	T	TASMANIA.T9	T.17579	Hmmer_genes	?T?	?T?
>NODE_26_length_13171_cov_17.0328_10	11722	13170	1	482	RelB antitoxin	3.5e-06	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxxxxA?	xxxxxxA?
>NODE_2_length_32076_cov_15.2025_20	16585	18057	1	490	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00049	T	TASMANIA.T4	T.2200	Hmmer_genes	Tx	Tx
>NODE_37_length_11338_cov_26.6571_9	8088	9302	1	404	PIN domain	3.4e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	xT	xT
>NODE_3_length_29905_cov_23.2291_13	11720	11983	-1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxx?	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxx?
>NODE_449_length_403_cov_0.800725_1	3	401	-1	132	PIN domain	3.6e-06	T	TASMANIA.T26	T.3596	Hmmer_genes	?T?	?T?
>NODE_490_length_327_cov_33.075_1	11	325	-1	104	"ParE toxin of type II toxin-antitoxin system, parDE"	4.5e-06	T	TASMANIA.T86	T.17765	Hmmer_genes	?T?	?T?
>NODE_66_length_6947_cov_58.4152_7	5183	5875	1	230	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	3e-05	T	TASMANIA.T4	T.51595	Hmmer_genes	xTxxx?	xTxxx?
