gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure
>NODE_10_length_20650_cov_387.884314_1	1	2535	1	844	PIN domain	1.7e-11	T	TASMANIA.T109	T.34729	Hmmer_genes	?Txxxx
>NODE_10_length_20650_cov_387.884314_19	18444	18713	-1	89	YoeB-like toxin of bacterial type II toxin-antitoxin system	4e-06	T	TASMANIA.T92	T.21922	Hmmer_genes	Tx
>NODE_1_length_461948_cov_296.789363_11	9672	10454	-1	260	ParB-like nuclease domain	2.1e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A
>NODE_1_length_461948_cov_296.789363_298	329536	329937	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx
>NODE_1_length_461948_cov_296.789363_51	52685	53077	-1	130	PIN domain	5.9e-08	T	TASMANIA.T89	T.19597	Hmmer_genes	T
>NODE_2_length_435044_cov_292.884994_124	122391	124046	-1	551	RelB antitoxin	5.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxAxxxxxx
>NODE_2_length_435044_cov_292.884994_267	287338	287601	-1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
>NODE_2_length_435044_cov_292.884994_314	328693	329052	1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	xA
>NODE_2_length_435044_cov_292.884994_317	333059	333955	-1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	xxT
>NODE_2_length_435044_cov_292.884994_33	29453	30925	1	490	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00037	T	TASMANIA.T4	T.2200	Hmmer_genes	Tx
>NODE_31_length_2830_cov_2258.945992_3	2021	2581	1	186	"ParE toxin of type II toxin-antitoxin system, parDE"	4.8e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	?xxT?
>NODE_3_length_53850_cov_319.234300_6	4461	5252	1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	7.3e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	T
>NODE_3_length_53850_cov_319.234300_60	48671	49144	1	157	"Antidote-toxin recognition MazE, bacterial antitoxin"	3.7e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A
>NODE_99_length_308_cov_0.666667_1	1	306	-1	101	ParB-like nuclease domain	5.7e-07	A	TASMANIA.A1	A.66214	Hmmer_genes	?A?
>NODE_9_length_25104_cov_470.141847_4	3685	4899	1	404	PIN domain	2.9e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	xT
