gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure
>NODE_10_length_26464_cov_177.205500_25	23570	24784	-1	404	PIN domain	2.9e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	Tx?
>NODE_1_length_469018_cov_124.787364_113	139037	139438	1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xAxxx
>NODE_1_length_469018_cov_124.787364_360	415919	416311	1	130	PIN domain	1.9e-07	T	TASMANIA.T89	T.19597	Hmmer_genes	T
>NODE_1_length_469018_cov_124.787364_400	458540	459322	1	260	ParB-like nuclease domain	7.7e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A
>NODE_2_length_221524_cov_124.839702_140	147441	147704	1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxTxxxxxxxxxx
>NODE_2_length_221524_cov_124.839702_90	101099	101995	1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	Txx
>NODE_2_length_221524_cov_124.839702_93	105993	106352	-1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	Ax
>NODE_3_length_213354_cov_122.153427_171	182301	183773	-1	490	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00011	T	TASMANIA.T4	T.2200	Hmmer_genes	xT
>NODE_3_length_213354_cov_122.153427_80	89176	90831	1	551	RelB antitoxin	9.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxxxxAxxx
>NODE_4_length_53849_cov_134.818940_7	5512	6303	1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	9.4e-05	T	TASMANIA.T9	T.17579	Hmmer_genes	T
>NODE_6_length_32476_cov_251.121784_2	864	1133	1	89	RelB antitoxin	7.8e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	?xA
>NODE_7_length_27851_cov_77.530016_35	24822	25403	1	193	ParB-like nuclease domain	5.1e-06	A	TASMANIA.A1	A.58467	Hmmer_genes	xxxxxxxxxxxxxxxxxAxxxx?
>NODE_9_length_26723_cov_81.843562_18	15801	16094	-1	97	ParB-like nuclease domain	3.9e-06	A	TASMANIA.A106	A.52938	Hmmer_genes	Axx
