Sample	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	# unaligned contigs_partial	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genomic features	# genomic features_partial	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
B331PP	19.0	19.0	19.0	18.0	14.0	2.0	1409078.0	1409078.0	1409078.0	1400364.0	1318606.0	957412.0	19.0	903654.0	1409078.0	1521208.0	28.3	28.18	903654.0	903654.0	27641.0	18340.0	590638.9	547102.2	1.0	1.0	13.0	17.0	24.0	12.0	374752.0	10.0	0.0	0.0	3.0	0.0	13.0	113060.0	78.783	1.08	0.0	932.37	60.88	1250.0	39.0	903464.0	1294341.0	903464.0	903464.0	2247.0	-	585147.2	542015.4	1.0	1.0	30.0	-
B418PP	18.0	18.0	18.0	17.0	13.0	2.0	1376853.0	1376853.0	1376853.0	1368131.0	1289988.0	956578.0	18.0	902773.0	1376853.0	1521208.0	28.32	28.18	902773.0	902773.0	27767.0	8722.0	602623.9	545437.9	1.0	1.0	12.0	18.0	16.0	8.0	251361.0	7.0	0.0	0.0	4.0	1.0	14.0	137251.0	80.193	1.013	0.0	851.29	51.15	1270.0	48.0	902593.0	1235661.0	902593.0	902593.0	-	-	597197.3	540526.2	1.0	1.0	-	-
B500PP	19.0	19.0	19.0	19.0	15.0	2.0	1429303.0	1429303.0	1429303.0	1429303.0	1346823.0	957418.0	19.0	903660.0	1429303.0	1521208.0	28.21	28.18	903660.0	903660.0	27715.0	24387.0	582816.5	547605.2	1.0	1.0	13.0	16.0	36.0	15.0	445637.0	17.0	0.0	0.0	1.0	0.0	13.0	91974.0	82.511	1.059	0.0	988.31	69.57	1304.0	49.0	903470.0	1329549.0	903470.0	903470.0	4162.0	-	577097.1	542231.3	1.0	1.0	28.0	-
ESI26H	64.0	19.0	12.0	12.0	9.0	3.0	1276481.0	1261812.0	1250609.0	1250609.0	1195814.0	1022869.0	26.0	910396.0	1266427.0	1521208.0	28.49	28.18	910396.0	910396.0	26979.0	-	664340.0	553072.4	1.0	1.0	7.0	-	14.0	6.0	157202.0	4.0	0.0	0.0	0.0	3.0	5.0	140199.0	72.915	1.015	0.0	488.39	31.81	1159.0	41.0	910396.0	1125333.0	910396.0	910396.0	-	-	657497.0	547375.5	1.0	1.0	-	-
ESI36H	11.0	11.0	9.0	9.0	7.0	3.0	1182078.0	1182078.0	1174817.0	1174817.0	1131930.0	1019108.0	11.0	909934.0	1182078.0	1521208.0	28.21	28.18	909934.0	909934.0	28638.0	-	709008.6	550946.0	1.0	1.0	5.0	-	14.0	4.0	142865.0	6.0	0.0	0.0	1.0	0.0	7.0	67218.0	72.107	1.011	0.0	738.26	33.18	1139.0	32.0	904537.0	1109088.0	904537.0	904537.0	7401.0	-	696317.0	541083.8	1.0	1.0	9.0	-
ESI403H	34.0	20.0	16.0	15.0	12.0	3.0	1364813.0	1360620.0	1350272.0	1341177.0	1281323.0	1014244.0	23.0	910442.0	1362461.0	1521208.0	28.26	28.18	910442.0	910442.0	29808.0	-	619229.7	554609.4	1.0	1.0	10.0	-	10.0	5.0	140010.0	4.0	0.0	0.0	1.0	1.0	9.0	72536.0	83.085	1.019	0.0	541.99	35.63	1339.0	43.0	909795.0	1288209.0	909795.0	909795.0	15315.0	-	614837.8	550675.8	1.0	1.0	14.0	-
ESI425H	21.0	17.0	15.0	15.0	12.0	5.0	1260215.0	1258483.0	1251728.0	1251728.0	1194982.0	995150.0	18.0	434789.0	1259311.0	1521208.0	28.24	28.18	342816.0	342816.0	27761.0	-	262972.6	217698.3	2.0	2.0	10.0	-	12.0	4.0	145460.0	13.0	0.0	0.0	2.0	1.0	10.0	120708.0	73.825	1.013	0.0	813.35	39.89	1159.0	40.0	434789.0	1138005.0	342816.0	342816.0	1204.0	-	257501.5	213169.1	2.0	2.0	25.0	-
GCA_002151465.1_ASM215146v1_genomic	12.0	12.0	12.0	12.0	11.0	3.0	1288112.0	1288112.0	1288112.0	1288112.0	1271292.0	1016542.0	12.0	909921.0	1288112.0	1521208.0	28.35	28.18	909921.0	909921.0	30580.0	-	653782.8	553603.1	1.0	1.0	8.0	-	1.0	1.0	30674.0	1.0	0.0	0.0	0.0	0.0	2.0	2718.0	82.706	1.022	0.0	44.27	10.74	1376.0	4.0	909921.0	1285192.0	909921.0	909921.0	30223.0	-	653391.7	553271.9	1.0	1.0	8.0	-
GCA_002151485.1_ASM215148v1_genomic	11.0	11.0	11.0	11.0	10.0	5.0	1301554.0	1301554.0	1301554.0	1301554.0	1284754.0	1136219.0	11.0	910728.0	1301554.0	1521208.0	28.51	28.18	910728.0	910728.0	36846.0	-	650734.9	556772.4	1.0	1.0	6.0	-	4.0	3.0	150115.0	2.0	0.0	0.0	0.0	0.0	2.0	13510.0	83.072	1.019	0.0	110.48	14.05	1400.0	9.0	910728.0	1288038.0	910728.0	910728.0	28157.0	-	648292.6	554682.8	1.0	1.0	8.0	-
GCA_002151505.1_ASM215150v1_genomic	13.0	13.0	13.0	13.0	11.0	4.0	1341182.0	1341182.0	1341182.0	1341182.0	1302470.0	1077940.0	13.0	909921.0	1341182.0	1521208.0	28.45	28.18	909921.0	909921.0	30651.0	-	630401.3	555797.0	1.0	1.0	8.0	-	2.0	2.0	92663.0	1.0	0.0	0.0	0.0	0.0	2.0	13510.0	85.499	1.021	0.0	93.47	15.29	1430.0	10.0	909921.0	1327665.0	909921.0	909921.0	30222.0	-	628487.5	554109.7	1.0	1.0	9.0	-
GCA_002442595.2_ASM244259v2_genomic	19.0	19.0	19.0	18.0	14.0	2.0	1409089.0	1409089.0	1409089.0	1400375.0	1318614.0	957413.0	19.0	903654.0	1409089.0	1521208.0	28.3	28.18	903654.0	903654.0	27643.0	18340.0	590634.8	547102.7	1.0	1.0	13.0	17.0	24.0	12.0	374760.0	10.0	0.0	0.0	3.0	0.0	13.0	113068.0	78.783	1.08	0.0	932.37	60.88	1250.0	39.0	903464.0	1294341.0	903464.0	903464.0	2247.0	-	585142.7	542015.4	1.0	1.0	30.0	-
GCA_003367295.1_ASM336729v1_genomic	16.0	16.0	16.0	16.0	9.0	2.0	1280240.0	1280240.0	1280240.0	1280240.0	1161007.0	962310.0	16.0	908512.0	1280240.0	1521208.0	28.24	28.18	908512.0	908512.0	26507.0	-	653097.9	549643.5	1.0	1.0	9.0	-	16.0	6.0	133618.0	7.0	0.0	0.0	3.0	0.0	12.0	123725.0	75.032	1.009	0.0	758.69	44.05	1183.0	49.0	904648.0	1151059.0	904648.0	904648.0	-	-	643463.5	541535.2	1.0	1.0	-	-
