Source	Target	Weight
cds-BB_RS07870	cds-WP_010890591.1	139
cds-BB_RS07870	cds-WP_010883851.1	120
cds-BB_RS07870	cds-WP_010257444.1	119
cds-BB_RS07870	cds-WP_010257444.1-2	119
cds-BB_RS07870	cds-WP_010883789.1	119
cds-BB_RS07870	cds-WP_010257444.1-3	119
cds-BB_RS07870	cds-WP_010257444.1-4	119
cds-BB_RS07870	cds-WP_010883889.1	119
cds-BB_RS07870	cds-WP_002658391.1	80
cds-BB_RS07870	cds-WP_010890300.1	69
cds-BB_RS07870	cds-WP_010890608.1	22
cds-WP_010890591.1	cds-WP_010883851.1	259
cds-WP_010890591.1	cds-WP_010257444.1	258
cds-WP_010890591.1	cds-WP_010257444.1-2	258
cds-WP_010890591.1	cds-WP_010883789.1	258
cds-WP_010890591.1	cds-WP_010257444.1-3	258
cds-WP_010890591.1	cds-WP_010257444.1-4	258
cds-WP_010890591.1	cds-WP_010883889.1	258
cds-WP_010890591.1	cds-WP_002658391.1	219
cds-WP_010890591.1	cds-WP_010890300.1	208
cds-WP_010890591.1	cds-WP_010890608.1	161
cds-WP_010890591.1	cds-WP_010890342.1	136
cds-WP_010890591.1	cds-WP_044283674.1	81
cds-WP_010890591.1	cds-WP_002657161.1	71
cds-WP_010890591.1	cds-WP_010883948.1	60
cds-WP_010890591.1	cds-BB_RS07410	58
cds-WP_010890591.1	cds-WP_010890597.1	16
cds-WP_010890591.1	cds-WP_164928169.1	1
cds-WP_010883851.1	cds-WP_010257444.1	1222
cds-WP_010883851.1	cds-WP_010257444.1-2	1222
cds-WP_010883851.1	cds-WP_010883789.1	1222
cds-WP_010883851.1	cds-WP_010257444.1-3	1222
cds-WP_010883851.1	cds-WP_010257444.1-4	1222
cds-WP_010883851.1	cds-WP_010883889.1	1222
cds-WP_010883851.1	cds-WP_002658391.1	572
cds-WP_010883851.1	cds-WP_010890300.1	893
cds-WP_010883851.1	cds-WP_010890608.1	1109
cds-WP_010883851.1	cds-WP_010890342.1	893
cds-WP_010883851.1	cds-WP_044283674.1	365
cds-WP_010883851.1	cds-WP_002657161.1	365
cds-WP_010883851.1	cds-WP_010883948.1	374
cds-WP_010883851.1	cds-BB_RS07410	282
cds-WP_010883851.1	cds-WP_010890597.1	443
cds-WP_010883851.1	cds-WP_164928169.1	965
cds-WP_010883851.1	cds-WP_010890249.1	473
cds-WP_010883851.1	cds-WP_010890309.1	467
cds-WP_010883851.1	cds-WP_010890266.1	821
cds-WP_010883851.1	cds-BB_RS04670	729
cds-WP_010883851.1	cds-WP_010258574.1	485
cds-WP_010883851.1	cds-WP_010890321.1	368
cds-WP_010883851.1	cds-WP_010883945.1	353
cds-WP_010883851.1	cds-WP_010883898.1	368
cds-WP_010883851.1	cds-WP_002658389.1	520
cds-WP_010883851.1	cds-WP_010256138.1	451
cds-WP_010883851.1	cds-WP_010883904.1	432
cds-WP_010883851.1	cds-WP_012614969.1	149
cds-WP_010883851.1	cds-WP_012614969.1-2	149
cds-WP_010883851.1	cds-WP_010890305.1	243
cds-WP_010883851.1	cds-WP_010890283.1	241
cds-WP_010883851.1	cds-WP_010883949.1	80
cds-WP_010883851.1	cds-BB_RS04840	78
cds-WP_010883851.1	cds-WP_010890602.1	6
cds-WP_010257444.1	cds-WP_010257444.1-2	1223
cds-WP_010257444.1	cds-WP_010883789.1	1223
cds-WP_010257444.1	cds-WP_010257444.1-3	1223
cds-WP_010257444.1	cds-WP_010257444.1-4	1223
cds-WP_010257444.1	cds-WP_010883889.1	1223
cds-WP_010257444.1	cds-WP_002658391.1	572
cds-WP_010257444.1	cds-WP_010890300.1	893
cds-WP_010257444.1	cds-WP_010890608.1	1109
cds-WP_010257444.1	cds-WP_010890342.1	893
cds-WP_010257444.1	cds-WP_044283674.1	365
cds-WP_010257444.1	cds-WP_002657161.1	365
cds-WP_010257444.1	cds-WP_010883948.1	374
cds-WP_010257444.1	cds-BB_RS07410	282
cds-WP_010257444.1	cds-WP_010890597.1	443
cds-WP_010257444.1	cds-WP_164928169.1	966
cds-WP_010257444.1	cds-WP_010890249.1	473
cds-WP_010257444.1	cds-WP_010890309.1	467
cds-WP_010257444.1	cds-WP_010890266.1	822
cds-WP_010257444.1	cds-BB_RS04670	729
cds-WP_010257444.1	cds-WP_010258574.1	485
cds-WP_010257444.1	cds-WP_010890321.1	368
cds-WP_010257444.1	cds-WP_010883945.1	353
cds-WP_010257444.1	cds-WP_010883898.1	368
cds-WP_010257444.1	cds-WP_002658389.1	521
cds-WP_010257444.1	cds-WP_010256138.1	452
cds-WP_010257444.1	cds-WP_010883904.1	433
cds-WP_010257444.1	cds-WP_012614969.1	149
cds-WP_010257444.1	cds-WP_012614969.1-2	149
cds-WP_010257444.1	cds-WP_010890305.1	244
cds-WP_010257444.1	cds-WP_010890283.1	242
cds-WP_010257444.1	cds-WP_010883949.1	81
cds-WP_010257444.1	cds-BB_RS04840	79
cds-WP_010257444.1	cds-WP_010890602.1	7
cds-WP_010257444.1-2	cds-WP_010883789.1	1223
cds-WP_010257444.1-2	cds-WP_010257444.1-3	1223
cds-WP_010257444.1-2	cds-WP_010257444.1-4	1223
cds-WP_010257444.1-2	cds-WP_010883889.1	1223
cds-WP_010257444.1-2	cds-WP_002658391.1	572
cds-WP_010257444.1-2	cds-WP_010890300.1	893
cds-WP_010257444.1-2	cds-WP_010890608.1	1109
cds-WP_010257444.1-2	cds-WP_010890342.1	893
cds-WP_010257444.1-2	cds-WP_044283674.1	365
cds-WP_010257444.1-2	cds-WP_002657161.1	365
cds-WP_010257444.1-2	cds-WP_010883948.1	374
cds-WP_010257444.1-2	cds-BB_RS07410	282
cds-WP_010257444.1-2	cds-WP_010890597.1	443
cds-WP_010257444.1-2	cds-WP_164928169.1	966
cds-WP_010257444.1-2	cds-WP_010890249.1	473
cds-WP_010257444.1-2	cds-WP_010890309.1	467
cds-WP_010257444.1-2	cds-WP_010890266.1	822
cds-WP_010257444.1-2	cds-BB_RS04670	729
cds-WP_010257444.1-2	cds-WP_010258574.1	485
cds-WP_010257444.1-2	cds-WP_010890321.1	368
cds-WP_010257444.1-2	cds-WP_010883945.1	353
cds-WP_010257444.1-2	cds-WP_010883898.1	368
cds-WP_010257444.1-2	cds-WP_002658389.1	521
cds-WP_010257444.1-2	cds-WP_010256138.1	452
cds-WP_010257444.1-2	cds-WP_010883904.1	433
cds-WP_010257444.1-2	cds-WP_012614969.1	149
cds-WP_010257444.1-2	cds-WP_012614969.1-2	149
cds-WP_010257444.1-2	cds-WP_010890305.1	244
cds-WP_010257444.1-2	cds-WP_010890283.1	242
