ID or #		Start	End	Type	Contig
==================================================
NC_001318.1:1..910724		1	910724	partial	contig_1:552693-115254,contig_1:115253-1,contig_11:29353-1,contig_71:947-7,contig_72:4-944,contig_3:47653-1,contig_67:994-1,contig_68:1-994,contig_2:274303-4965,contig_2:4964-1
gene-BB_RS00005		105	677	complete	contig_1:552589-552017
gene-BB_RS00010		768	1796	complete	contig_1:551926-550898
gene-BB_RS00015		1784	3249	complete	contig_1:550910-549445
gene-BB_RS00020		3395	5188	complete	contig_1:549299-547506
gene-BB_RS00025		5251	6306	complete	contig_1:547443-546388
gene-BB_RS00030		6309	7397	complete	contig_1:546385-545297
gene-BB_RS00035		7458	8315	complete	contig_1:545236-544379
gene-BB_RS00040		8427	9197	complete	contig_1:544267-543497
gene-BB_RS00045		9202	10206	complete	contig_1:543492-542488
gene-BB_RS00050		10203	10577	complete	contig_1:542491-542117
gene-BB_RS00055		10581	11420	complete	contig_1:542113-541274
gene-BB_RS00060		11421	12161	complete	contig_1:541273-540533
gene-BB_RS00065		12154	12753	complete	contig_1:540540-539941
gene-BB_RS00070		12746	14728	complete	contig_1:539948-537966
gene-BB_RS00075		14725	15345	complete	contig_1:537969-537349
gene-BB_RS00080		15345	15716	complete	contig_1:537349-536978
gene-BB_RS00085		15845	16804	complete	contig_1:536849-535890
gene-BB_RS00090		16807	17787	complete	contig_1:535887-534907
gene-BB_RS00095		17792	18304	complete	contig_1:534902-534390
gene-BB_RS00100		18312	19979	complete	contig_1:534382-532715
gene-BB_RS00105		20051	21083	complete	contig_1:532643-531611
gene-BB_RS00110		21058	22101	complete	contig_1:531636-530593
gene-BB_RS00115		22146	22739	complete	contig_1:530548-529955
gene-BB_RS00120		22819	23958	complete	contig_1:529875-528736
gene-BB_RS00125		23965	24696	complete	contig_1:528729-527998
gene-BB_RS00130		24697	25602	complete	contig_1:527997-527092
gene-BB_RS00135		25753	26391	complete	contig_1:526941-526303
gene-BB_RS00140		26399	27448	complete	contig_1:526295-525246
gene-BB_RS00145		27434	27865	complete	contig_1:525260-524829
gene-BB_RS00150		27855	28490	complete	contig_1:524839-524204
gene-BB_RS00155		28492	29472	complete	contig_1:524202-523222
gene-BB_RS00160		29543	31015	complete	contig_1:523151-521679
gene-BB_RS00165		31027	31479	complete	contig_1:521667-521215
gene-BB_RS00170		31550	32089	complete	contig_1:521144-520605
gene-BB_RS00175		32157	34037	complete	contig_1:520537-518657
gene-BB_RS00180		34037	35836	complete	contig_1:518657-516858
gene-BB_RS00185		35857	36609	complete	contig_1:516837-516085
gene-BB_RS00190		36606	38123	complete	contig_1:516088-514571
gene-BB_RS00195		38136	39638	complete	contig_1:514558-513056
gene-BB_RS00200		39826	40677	complete	contig_1:512868-512017
gene-BB_RS00205		40761	41432	complete	contig_1:511933-511262
