gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure	pop_structure
>NODE_161_length_367_cov_82.200000_1	3	365	-1	120	ParB family	1.3e-06	A	TASMANIA.A21	A.65653	Hmmer_genes	?A?	?A?
>NODE_18_length_7304_cov_152.430607_2	821	1090	1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	?xA	?xA
>NODE_18_length_7304_cov_152.430607_5	6215	6484	-1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	Ax?	Ax?
>NODE_1_length_459498_cov_50.804278_11	9674	10456	-1	260	ParB-like nuclease domain	7.7e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A	A
>NODE_1_length_459498_cov_50.804278_298	329569	329970	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx	xxxAx
>NODE_1_length_459498_cov_50.804278_363	400256	400873	1	205	"Toxin with endonuclease activity, of toxin-antitoxin system"	5e-06	T	TASMANIA.T24	T.8748	Hmmer_genes	xT	xT
>NODE_1_length_459498_cov_50.804278_51	52682	53074	-1	130	PIN domain	5.9e-08	T	TASMANIA.T89	T.19597	Hmmer_genes	T	T
>NODE_2_length_221038_cov_51.592335_141	147102	147365	1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxTxxxxxxxxxx	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxTxxxxxxxxxx
>NODE_2_length_221038_cov_51.592335_91	100760	101656	1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	Txx	Txx
>NODE_2_length_221038_cov_51.592335_94	105654	106013	-1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	Ax	Ax
>NODE_3_length_213363_cov_49.090273_171	182303	183775	-1	490	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	8.9e-05	T	TASMANIA.T4	T.2200	Hmmer_genes	xT	xT
>NODE_3_length_213363_cov_49.090273_80	89179	90834	1	551	RelB antitoxin	1.6e-06	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxxxxAxxx	xxxxxxAxxx
>NODE_4_length_53582_cov_60.743557_58	47530	48321	-1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	7.3e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	T	T
>NODE_5_length_25110_cov_78.938242_4	3740	4954	1	404	PIN domain	3e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	xT	xT
