18:23:35.215 - INFO - UTILS - version=1.10.0
18:23:35.215 - INFO - UTILS - developer: Oliver Schwengers, github.com/oschwengers
18:23:35.215 - INFO - UTILS - command: /opt/conda/bin/bakta --db /db --gram - --threads 64 --force --output /home/mf019/longread_pangenome/expanded_dataset_analysis/results/v6_filtered_sp/bakta_v6_filtered_sp --prefix roary_pangenome_v6_filtered_sp --genus Borrelia --species burgdorferi --strain sensu-stricto --keep-contig-headers -v --skip-plot /home/mf019/longread_pangenome/expanded_dataset_analysis/results/v6_filtered_sp/roary_v6_filtered_sp/pan_genome_reference.fa
18:23:35.215 - INFO - UTILS - local time: 2024-11-22 18:23:35
18:23:35.217 - INFO - UTILS - machine: type=, cores=64
18:23:35.218 - INFO - UTILS - system: type=Linux, release=6.1.0-27-cloud-amd64
18:23:35.218 - INFO - UTILS - python: version=3.11.10, implementation=CPython
18:23:35.218 - INFO - CONFIG - threads=64
18:23:35.218 - INFO - CONFIG - verbose=True
18:23:35.218 - INFO - CONFIG - debug=False
18:23:35.218 - INFO - CONFIG - database: type=parameter, path=/db
18:23:35.218 - INFO - CONFIG - tmp-path=/tmp/tmp_o81b8cc
18:23:35.218 - INFO - CONFIG - genome-path=/home/mf019/longread_pangenome/expanded_dataset_analysis/results/v6_filtered_sp/roary_v6_filtered_sp/pan_genome_reference.fa
18:23:35.218 - INFO - CONFIG - min_contig_length=1
18:23:35.218 - INFO - CONFIG - prefix=roary_pangenome_v6_filtered_sp
18:23:35.218 - INFO - CONFIG - output-path=/home/mf019/longread_pangenome/expanded_dataset_analysis/results/v6_filtered_sp/bakta_v6_filtered_sp
18:23:35.218 - INFO - CONFIG - force=True
18:23:35.218 - INFO - CONFIG - genus=Borrelia
18:23:35.218 - INFO - CONFIG - species=burgdorferi
18:23:35.218 - INFO - CONFIG - strain=sensu-stricto
18:23:35.218 - INFO - CONFIG - plasmid=None
18:23:35.218 - INFO - CONFIG - complete=False
18:23:35.218 - INFO - CONFIG - prodigal_tf=None
18:23:35.218 - INFO - CONFIG - translation_table=11
18:23:35.219 - INFO - CONFIG - gram=-
18:23:35.219 - INFO - CONFIG - compliant=False
18:23:35.219 - INFO - CONFIG - meta=False
18:23:35.219 - INFO - CONFIG - locus=None
18:23:35.219 - INFO - CONFIG - locus-tag=None
18:23:35.219 - INFO - CONFIG - locus-tag-increment=1
18:23:35.219 - INFO - CONFIG - keep_contig_headers=True
18:23:35.219 - INFO - CONFIG - replicon-table=None
18:23:35.219 - INFO - CONFIG - regions=None
18:23:35.219 - INFO - CONFIG - skip-tRNA=False
18:23:35.219 - INFO - CONFIG - skip-tmRNA=False
18:23:35.219 - INFO - CONFIG - skip-rRNA=False
18:23:35.219 - INFO - CONFIG - skip-ncRNA=False
18:23:35.219 - INFO - CONFIG - skip-ncRNA-region=False
18:23:35.219 - INFO - CONFIG - skip-CRISPR=False
18:23:35.219 - INFO - CONFIG - skip-CDS=False
18:23:35.219 - INFO - CONFIG - skip-pseudo=False
18:23:35.219 - INFO - CONFIG - skip-sORF=False
18:23:35.219 - INFO - CONFIG - skip-gap=False
18:23:35.219 - INFO - CONFIG - skip-ori=False
18:23:35.219 - INFO - CONFIG - skip-filter=False
18:23:35.219 - INFO - CONFIG - skip-plot=True
18:23:35.219 - INFO - DB - detected: major=5, minor=1, type=full, date=2024-01-19
18:23:35.344 - INFO - UTILS - dependency: tool=tRNAscan-SE, version=v2.0.12, path=/opt/conda/bin/tRNAscan-SE
18:23:35.347 - INFO - UTILS - dependency: tool=Aragorn, version=v1.2.41, path=/opt/conda/bin/aragorn
18:23:35.361 - INFO - UTILS - dependency: tool=CMscan, version=v1.1.5, path=/opt/conda/bin/cmscan
18:23:35.367 - INFO - UTILS - dependency: tool=PilerCR, version=v1.6.0, path=/opt/conda/bin/pilercr
18:23:35.437 - INFO - UTILS - dependency: tool=Pyrodigal, version=v3.6.3, path=/opt/conda/bin/python3
18:23:35.444 - INFO - UTILS - dependency: tool=AMRFinderPlus, version=v4.0.3, path=/opt/conda/bin/amrfinder
18:23:35.508 - INFO - UTILS - dependency: tool=Pyhmmer, version=v0.10.15, path=/opt/conda/bin/python3
18:23:35.539 - INFO - UTILS - dependency: tool=Diamond, version=v2.1.10, path=/opt/conda/bin/diamond
18:23:36.177 - INFO - UTILS - dependency: tool=Blastn, version=v2.16.0, path=/opt/conda/bin/blastn
18:23:36.183 - INFO - FASTA - imported: id=CFHKPG_00001, length=564, description=Uncharacterized protein BB_0001, genomic=True, dna=True
18:23:36.183 - INFO - FASTA - imported: id=CFHKPG_00002, length=1029, description=Glycoside hydrolase family 3 N-terminal domain-containing protein, genomic=True, dna=True
18:23:36.183 - INFO - FASTA - imported: id=CFHKPG_00003, length=1467, description=group_1887, genomic=True, dna=True
18:23:36.183 - INFO - FASTA - imported: id=CFHKPG_00004, length=1794, description=group_4606, genomic=True, dna=True
18:23:36.183 - INFO - FASTA - imported: id=CFHKPG_00005, length=1056, description=trpS, genomic=True, dna=True
18:23:36.183 - INFO - FASTA - imported: id=CFHKPG_00006, length=1089, description=perM, genomic=True, dna=True
18:23:36.183 - INFO - FASTA - imported: id=CFHKPG_00007, length=858, description=Uncharacterized protein BB_0007, genomic=True, dna=True
18:23:36.183 - INFO - FASTA - imported: id=CFHKPG_00008, length=771, description=cdaA, genomic=True, dna=True
18:23:36.183 - INFO - FASTA - imported: id=CFHKPG_00009, length=1005, description=YbbR-like domain-containing protein BB-0009, genomic=True, dna=True
18:23:36.183 - INFO - FASTA - imported: id=CFHKPG_00010, length=375, description=acpS, genomic=True, dna=True
18:23:36.183 - INFO - FASTA - imported: id=CFHKPG_00011, length=840, description=Uncharacterized protein BB_0011, genomic=True, dna=True
18:23:36.183 - INFO - FASTA - imported: id=CFHKPG_00012, length=741, description=truA, genomic=True, dna=True
18:23:36.183 - INFO - FASTA - imported: id=CFHKPG_00013, length=600, description=Uncharacterized protein BB_0013, genomic=True, dna=True
18:23:36.184 - INFO - FASTA - imported: id=CFHKPG_00014, length=1983, description=priA, genomic=True, dna=True
18:23:36.184 - INFO - FASTA - imported: id=CFHKPG_00015, length=621, description=udk, genomic=True, dna=True
18:23:36.184 - INFO - FASTA - imported: id=CFHKPG_00016, length=378, description=pspE, genomic=True, dna=True
18:23:36.184 - INFO - FASTA - imported: id=CFHKPG_00017, length=810, description=yitT, genomic=True, dna=True
18:23:36.184 - INFO - FASTA - imported: id=CFHKPG_00018, length=981, description=rluD, genomic=True, dna=True
18:23:36.184 - INFO - FASTA - imported: id=CFHKPG_00019, length=513, description=Uncharacterized protein BB_0019, genomic=True, dna=True
18:23:36.184 - INFO - FASTA - imported: id=CFHKPG_00020, length=1668, description=pfp, genomic=True, dna=True
18:23:36.184 - INFO - FASTA - imported: id=CFHKPG_00021, length=432, description=queA, genomic=True, dna=True
18:23:36.184 - INFO - FASTA - imported: id=CFHKPG_00022, length=639, description=S-adenosylmethionine:tRNA ribosyltransferase-isomerase, genomic=True, dna=True
18:23:36.184 - INFO - FASTA - imported: id=CFHKPG_00023, length=1044, description=ruvB, genomic=True, dna=True
18:23:36.184 - INFO - FASTA - imported: id=CFHKPG_00024, length=594, description=ruvA, genomic=True, dna=True
18:23:36.184 - INFO - FASTA - imported: id=CFHKPG_00025, length=1140, description=yliI, genomic=True, dna=True
18:23:36.184 - INFO - FASTA - imported: id=CFHKPG_00026, length=732, description=tACO1, genomic=True, dna=True
18:23:36.184 - INFO - FASTA - imported: id=CFHKPG_00027, length=927, description=folD, genomic=True, dna=True
18:23:36.184 - INFO - FASTA - imported: id=CFHKPG_00028, length=639, description=Uncharacterized protein BB_0027, genomic=True, dna=True
18:23:36.184 - INFO - FASTA - imported: id=CFHKPG_00029, length=1050, description=bamB, genomic=True, dna=True
18:23:36.184 - INFO - FASTA - imported: id=CFHKPG_00030, length=432, description=yaiI, genomic=True, dna=True
18:23:36.184 - INFO - FASTA - imported: id=CFHKPG_00031, length=636, description=group_4145, genomic=True, dna=True
18:23:36.184 - INFO - FASTA - imported: id=CFHKPG_00032, length=981, description=lepB, genomic=True, dna=True
18:23:36.184 - INFO - FASTA - imported: id=CFHKPG_00033, length=1473, description=yfmG, genomic=True, dna=True
18:23:36.184 - INFO - FASTA - imported: id=CFHKPG_00034, length=453, description=smpB, genomic=True, dna=True
18:23:36.184 - INFO - FASTA - imported: id=CFHKPG_00035, length=540, description=P13 family porin, genomic=True, dna=True
18:23:36.184 - INFO - FASTA - imported: id=CFHKPG_00036, length=1881, description=parC, genomic=True, dna=True
18:23:36.184 - INFO - FASTA - imported: id=CFHKPG_00037, length=1800, description=parE, genomic=True, dna=True
18:23:36.184 - INFO - FASTA - imported: id=CFHKPG_00038, length=753, description=plsC, genomic=True, dna=True
18:23:36.184 - INFO - FASTA - imported: id=CFHKPG_00039, length=1518, description=Uncharacterized protein BB_0038, genomic=True, dna=True
18:23:36.184 - INFO - FASTA - imported: id=CFHKPG_00040, length=1503, description=Uncharacterized protein BB_0039, genomic=True, dna=True
18:23:36.184 - INFO - FASTA - imported: id=CFHKPG_00041, length=852, description=group_3497, genomic=True, dna=True
18:23:36.185 - INFO - FASTA - imported: id=CFHKPG_00042, length=672, description=phoU, genomic=True, dna=True
18:23:36.185 - INFO - FASTA - imported: id=CFHKPG_00043, length=1041, description=Uncharacterized protein BB_0043, genomic=True, dna=True
18:23:36.185 - INFO - FASTA - imported: id=CFHKPG_00044, length=402, description=Uncharacterized protein BB_0044, genomic=True, dna=True
18:23:36.185 - INFO - FASTA - imported: id=CFHKPG_00045, length=2448, description=smc, genomic=True, dna=True
18:23:36.185 - INFO - FASTA - imported: id=CFHKPG_00046, length=546, description=rnhB, genomic=True, dna=True
18:23:36.185 - INFO - FASTA - imported: id=CFHKPG_00047, length=369, description=bpuR, genomic=True, dna=True
18:23:36.185 - INFO - FASTA - imported: id=CFHKPG_00050, length=675, description=yhhQ, genomic=True, dna=True
18:23:36.185 - INFO - FASTA - imported: id=CFHKPG_00051, length=702, description=group_2014, genomic=True, dna=True
18:23:36.185 - INFO - FASTA - imported: id=CFHKPG_00052, length=657, description=trmH, genomic=True, dna=True
18:23:36.185 - INFO - FASTA - imported: id=CFHKPG_00053, length=672, description=ung, genomic=True, dna=True
18:23:36.185 - INFO - FASTA - imported: id=CFHKPG_00054, length=363, description=secG, genomic=True, dna=True
18:23:36.185 - INFO - FASTA - imported: id=CFHKPG_00055, length=762, description=tpiA, genomic=True, dna=True
18:23:36.185 - INFO - FASTA - imported: id=CFHKPG_00056, length=1182, description=pgk, genomic=True, dna=True
18:23:36.185 - INFO - FASTA - imported: id=CFHKPG_00057, length=1008, description=gap, genomic=True, dna=True
18:23:36.185 - INFO - FASTA - imported: id=CFHKPG_00058, length=1971, description=group_3961, genomic=True, dna=True
18:23:36.185 - INFO - FASTA - imported: id=CFHKPG_00059, length=780, description=tlyC, genomic=True, dna=True
18:23:36.185 - INFO - FASTA - imported: id=CFHKPG_00060, length=468, description=ybeY, genomic=True, dna=True
18:23:36.185 - INFO - FASTA - imported: id=CFHKPG_00061, length=354, description=trxA, genomic=True, dna=True
18:23:36.185 - INFO - FASTA - imported: id=CFHKPG_00062, length=717, description=rsmE1, genomic=True, dna=True
18:23:36.185 - INFO - FASTA - imported: id=CFHKPG_00063, length=1008, description=pASTA, genomic=True, dna=True
18:23:36.185 - INFO - FASTA - imported: id=CFHKPG_00064, length=939, description=fmt, genomic=True, dna=True
18:23:36.185 - INFO - FASTA - imported: id=CFHKPG_00065, length=498, description=def, genomic=True, dna=True
18:23:36.185 - INFO - FASTA - imported: id=CFHKPG_00066, length=690, description=Uncharacterized protein BB_0066, genomic=True, dna=True
18:23:36.185 - INFO - FASTA - imported: id=CFHKPG_00067, length=1779, description=pepP, genomic=True, dna=True
18:23:36.185 - INFO - FASTA - imported: id=CFHKPG_00068, length=882, description=cof, genomic=True, dna=True
18:23:36.185 - INFO - FASTA - imported: id=CFHKPG_00069, length=1239, description=ampS, genomic=True, dna=True
18:23:36.185 - INFO - FASTA - imported: id=CFHKPG_00070, length=462, description=yuiD, genomic=True, dna=True
18:23:36.185 - INFO - FASTA - imported: id=CFHKPG_00071, length=1473, description=group_1754, genomic=True, dna=True
18:23:36.186 - INFO - FASTA - imported: id=CFHKPG_00072, length=2322, description=rnfC, genomic=True, dna=True
18:23:36.186 - INFO - FASTA - imported: id=CFHKPG_00073, length=561, description=Uncharacterized protein BB_0073, genomic=True, dna=True
18:23:36.186 - INFO - FASTA - imported: id=CFHKPG_00074, length=1047, description=prfB, genomic=True, dna=True
18:23:36.186 - INFO - FASTA - imported: id=CFHKPG_00075, length=1410, description=PEGA domain-containing protein, genomic=True, dna=True
18:23:36.186 - INFO - FASTA - imported: id=CFHKPG_00076, length=846, description=ftsY, genomic=True, dna=True
18:23:36.186 - INFO - FASTA - imported: id=CFHKPG_00077, length=1029, description=Sugar-binding protein, genomic=True, dna=True
18:23:36.186 - INFO - FASTA - imported: id=CFHKPG_00078, length=1254, description=Permease family protein, genomic=True, dna=True
18:23:36.186 - INFO - FASTA - imported: id=CFHKPG_00079, length=681, description=lolD, genomic=True, dna=True
18:23:36.186 - INFO - FASTA - imported: id=CFHKPG_00080, length=1251, description=lolC, genomic=True, dna=True
18:23:36.186 - INFO - FASTA - imported: id=CFHKPG_00081, length=1299, description=DUF4179 domain-containing protein, genomic=True, dna=True
18:23:36.186 - INFO - FASTA - imported: id=CFHKPG_00082, length=351, description=DUF1828 domain-containing protein, genomic=True, dna=True
18:23:36.186 - INFO - FASTA - imported: id=CFHKPG_00083, length=1269, description=csd, genomic=True, dna=True
18:23:36.186 - INFO - FASTA - imported: id=CFHKPG_00084, length=426, description=iscU, genomic=True, dna=True
18:23:36.186 - INFO - FASTA - imported: id=CFHKPG_00085, length=1536, description=yifB, genomic=True, dna=True
18:23:36.186 - INFO - FASTA - imported: id=CFHKPG_00086, length=951, description=ldh, genomic=True, dna=True
18:23:36.186 - INFO - FASTA - imported: id=CFHKPG_00087, length=1680, description=lepA, genomic=True, dna=True
18:23:36.186 - INFO - FASTA - imported: id=CFHKPG_00088, length=975, description=Uncharacterized protein BB_0089, genomic=True, dna=True
18:23:36.186 - INFO - FASTA - imported: id=CFHKPG_00089, length=435, description=V-type ATP synthase subunit K, genomic=True, dna=True
18:23:36.186 - INFO - FASTA - imported: id=CFHKPG_00090, length=1827, description=atpI, genomic=True, dna=True
18:23:36.186 - INFO - FASTA - imported: id=CFHKPG_00091, length=609, description=atpD, genomic=True, dna=True
18:23:36.186 - INFO - FASTA - imported: id=CFHKPG_00092, length=1305, description=atpB, genomic=True, dna=True
18:23:36.186 - INFO - FASTA - imported: id=CFHKPG_00093, length=1728, description=atpA, genomic=True, dna=True
18:23:36.186 - INFO - FASTA - imported: id=CFHKPG_00094, length=546, description=Uncharacterized protein BB_0095, genomic=True, dna=True
18:23:36.186 - INFO - FASTA - imported: id=CFHKPG_00095, length=600, description=atpE, genomic=True, dna=True
18:23:36.186 - INFO - FASTA - imported: id=CFHKPG_00096, length=387, description=Uncharacterized protein BB_0097, genomic=True, dna=True
18:23:36.186 - INFO - FASTA - imported: id=CFHKPG_00097, length=2343, description=mutS2, genomic=True, dna=True
18:23:36.186 - INFO - FASTA - imported: id=CFHKPG_00098, length=924, description=rsgA, genomic=True, dna=True
18:23:36.186 - INFO - FASTA - imported: id=CFHKPG_00099, length=786, description=murI, genomic=True, dna=True
18:23:36.187 - INFO - FASTA - imported: id=CFHKPG_00100, length=1389, description=asnS, genomic=True, dna=True
18:23:36.187 - INFO - FASTA - imported: id=CFHKPG_00101, length=522, description=group_1759, genomic=True, dna=True
18:23:36.187 - INFO - FASTA - imported: id=CFHKPG_00102, length=594, description=hpt1, genomic=True, dna=True
18:23:36.187 - INFO - FASTA - imported: id=CFHKPG_00103, length=1425, description=degQ, genomic=True, dna=True
18:23:36.187 - INFO - FASTA - imported: id=CFHKPG_00104, length=756, description=map, genomic=True, dna=True
18:23:36.187 - INFO - FASTA - imported: id=CFHKPG_00105, length=1668, description=bepA, genomic=True, dna=True
18:23:36.187 - INFO - FASTA - imported: id=CFHKPG_00106, length=429, description=nusB, genomic=True, dna=True
18:23:36.187 - INFO - FASTA - imported: id=CFHKPG_00107, length=1011, description=surA, genomic=True, dna=True
18:23:36.187 - INFO - FASTA - imported: id=CFHKPG_00108, length=1197, description=paaJ, genomic=True, dna=True
18:23:36.187 - INFO - FASTA - imported: id=CFHKPG_00109, length=1365, description=group_1572, genomic=True, dna=True
18:23:36.187 - INFO - FASTA - imported: id=CFHKPG_00110, length=1368, description=dnaB, genomic=True, dna=True
18:23:36.187 - INFO - FASTA - imported: id=CFHKPG_00111, length=522, description=rplI, genomic=True, dna=True
18:23:36.187 - INFO - FASTA - imported: id=CFHKPG_00112, length=291, description=rpsR, genomic=True, dna=True
18:23:36.187 - INFO - FASTA - imported: id=CFHKPG_00113, length=450, description=ssb, genomic=True, dna=True
18:23:36.187 - INFO - FASTA - imported: id=CFHKPG_00114, length=420, description=rpsF, genomic=True, dna=True
18:23:36.187 - INFO - FASTA - imported: id=CFHKPG_00115, length=1695, description=ptsG2, genomic=True, dna=True
18:23:36.187 - INFO - FASTA - imported: id=CFHKPG_00116, length=702, description=yqfA, genomic=True, dna=True
18:23:36.187 - INFO - FASTA - imported: id=CFHKPG_00117, length=1302, description=rseP, genomic=True, dna=True
18:23:36.187 - INFO - FASTA - imported: id=CFHKPG_00118, length=852, description=Phosphatidate cytidylyltransferase, genomic=True, dna=True
18:23:36.187 - INFO - FASTA - imported: id=CFHKPG_00119, length=693, description=uppS, genomic=True, dna=True
18:23:36.187 - INFO - FASTA - imported: id=CFHKPG_00120, length=555, description=frr, genomic=True, dna=True
18:23:36.187 - INFO - FASTA - imported: id=CFHKPG_00121, length=840, description=tsf, genomic=True, dna=True
18:23:36.187 - INFO - FASTA - imported: id=CFHKPG_00122, length=783, description=rpsB, genomic=True, dna=True
18:23:36.187 - INFO - FASTA - imported: id=CFHKPG_00123, length=279, description=group_2025, genomic=True, dna=True
18:23:36.187 - INFO - FASTA - imported: id=CFHKPG_00124, length=723, description=group_2026, genomic=True, dna=True
18:23:36.187 - INFO - FASTA - imported: id=CFHKPG_00125, length=612, description=group_1761, genomic=True, dna=True
18:23:36.187 - INFO - FASTA - imported: id=CFHKPG_00126, length=1656, description=rpsA, genomic=True, dna=True
18:23:36.187 - INFO - FASTA - imported: id=CFHKPG_00127, length=666, description=cmk, genomic=True, dna=True
18:23:36.187 - INFO - FASTA - imported: id=CFHKPG_00128, length=750, description=rsuA, genomic=True, dna=True
18:23:36.188 - INFO - FASTA - imported: id=CFHKPG_00129, length=768, description=Segregation and condensation protein A, genomic=True, dna=True
18:23:36.188 - INFO - FASTA - imported: id=CFHKPG_00130, length=1098, description=recA, genomic=True, dna=True
18:23:36.188 - INFO - FASTA - imported: id=CFHKPG_00131, length=2706, description=greA, genomic=True, dna=True
18:23:36.188 - INFO - FASTA - imported: id=CFHKPG_00132, length=945, description=group_3282, genomic=True, dna=True
18:23:36.188 - INFO - FASTA - imported: id=CFHKPG_00133, length=1128, description=group_4510, genomic=True, dna=True
18:23:36.188 - INFO - FASTA - imported: id=CFHKPG_00134, length=1371, description=hisS, genomic=True, dna=True
18:23:36.188 - INFO - FASTA - imported: id=CFHKPG_00135, length=1890, description=ftsI, genomic=True, dna=True
18:23:36.188 - INFO - FASTA - imported: id=CFHKPG_00136, length=1893, description=group_3567, genomic=True, dna=True
18:23:36.188 - INFO - FASTA - imported: id=CFHKPG_00137, length=312, description=Nitrogen regulatory protein P-II, genomic=True, dna=True
18:23:36.188 - INFO - FASTA - imported: id=CFHKPG_00138, length=3216, description=Acriflavine resistance protein, genomic=True, dna=True
18:23:36.188 - INFO - FASTA - imported: id=CFHKPG_00139, length=954, description=acrA, genomic=True, dna=True
18:23:36.188 - INFO - FASTA - imported: id=CFHKPG_00140, length=1323, description=tolC, genomic=True, dna=True
18:23:36.188 - INFO - FASTA - imported: id=CFHKPG_00141, length=189, description=group_2237, genomic=True, dna=True
18:23:36.188 - INFO - FASTA - imported: id=CFHKPG_00142, length=873, description=proX, genomic=True, dna=True
18:23:36.188 - INFO - FASTA - imported: id=CFHKPG_00143, length=900, description=proW, genomic=True, dna=True
18:23:36.188 - INFO - FASTA - imported: id=CFHKPG_00144, length=1119, description=proV, genomic=True, dna=True
18:23:36.188 - INFO - FASTA - imported: id=CFHKPG_00145, length=1011, description=flaB, genomic=True, dna=True
18:23:36.188 - INFO - FASTA - imported: id=CFHKPG_00146, length=1998, description=fliD, genomic=True, dna=True
18:23:36.188 - INFO - FASTA - imported: id=CFHKPG_00147, length=1206, description=nagA, genomic=True, dna=True
18:23:36.188 - INFO - FASTA - imported: id=CFHKPG_00148, length=807, description=nagB, genomic=True, dna=True
18:23:36.188 - INFO - FASTA - imported: id=CFHKPG_00149, length=612, description=sod, genomic=True, dna=True
18:23:36.188 - INFO - FASTA - imported: id=CFHKPG_00150, length=2700, description=secA, genomic=True, dna=True
18:23:36.188 - INFO - FASTA - imported: id=CFHKPG_00151, length=1137, description=group_2032, genomic=True, dna=True
18:23:36.188 - INFO - FASTA - imported: id=CFHKPG_00152, length=435, description=group_1762, genomic=True, dna=True
18:23:36.188 - INFO - FASTA - imported: id=CFHKPG_00153, length=417, description=Integral membrane protein, genomic=True, dna=True
18:23:36.188 - INFO - FASTA - imported: id=CFHKPG_00154, length=717, description=group_1637, genomic=True, dna=True
