All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     GCA_002151485.1_ASM215148v1_genomic
# misassemblies              4                                  
  # contig misassemblies     4                                  
    # c. relocations         1                                  
    # c. translocations      3                                  
    # c. inversions          0                                  
  # scaffold misassemblies   0                                  
    # s. relocations         0                                  
    # s. translocations      0                                  
    # s. inversions          0                                  
# misassembled contigs       3                                  
Misassembled contigs length  150115                             
# local misassemblies        2                                  
# scaffold gap ext. mis.     0                                  
# scaffold gap loc. mis.     0                                  
# unaligned mis. contigs     0                                  
# mismatches                 1423                               
# indels                     181                                
    # indels (<= 5 bp)       167                                
    # indels (> 5 bp)        14                                 
Indels length                520                                
