#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
MBDBPK_00755	1	435	+	GOIOJP_00735	16.9	10.1		RefSeq:WP_002656923.1, SO:0001217, UniParc:UPI00016B2D9E, UniRef:UniRef100_UPI00016B2D9E, UniRef:UniRef50_O51178, UniRef:UniRef90_O51178
MBDBPK_01290	1	1014	+	GOIOJP_01220	39.1	4.3		RefSeq:WP_002657018.1, SO:0001217, UniParc:UPI00016B3360, UniRef:UniRef100_UPI00016B3360, UniRef:UniRef50_B7XST3, UniRef:UniRef90_O51275
MBDBPK_02190	97	360	+	GOIOJP_02040	10.2	10.4		
MBDBPK_02610	1	423	+	GOIOJP_02420	16.5	10.2		RefSeq:WP_002657113.1, SO:0001217, UniParc:UPI00016B3076, UniRef:UniRef100_UPI00016B3076, UniRef:UniRef50_W5SET4, UniRef:UniRef90_O51475
MBDBPK_02755	1	1494	+	GOIOJP_02550	59.3	5.7		RefSeq:WP_002656753.1, SO:0001217, UniParc:UPI00016B2D98, UniRef:UniRef100_UPI00016B2D98, UniRef:UniRef50_D6RY37, UniRef:UniRef90_G0ALZ4
MBDBPK_03100	1	369	+	GOIOJP_02860	14.6	5.3		RefSeq:WP_002557204.1, SO:0001217, UniParc:UPI000005754F, UniRef:UniRef100_O51562, UniRef:UniRef50_O51562, UniRef:UniRef90_O51562
MBDBPK_03275	1	297	+	GOIOJP_03015	11.4	5.4		RefSeq:WP_002656076.1, SO:0001217, UniParc:UPI00016B30F1, UniRef:UniRef100_O51594, UniRef:UniRef50_O51594, UniRef:UniRef90_O51594
MBDBPK_03525	1	540	+	GOIOJP_03255	21.1	9.9		RefSeq:WP_002656268.1, SO:0001217, UniParc:UPI00000575A2, UniRef:UniRef100_O51644, UniRef:UniRef50_D6RW52, UniRef:UniRef90_O51644
MBDBPK_03780	1	1275	+	GOIOJP_03475	48.6	4.5		RefSeq:WP_002656749.1, SO:0001217, UniParc:UPI00016B2C50, UniRef:UniRef100_UPI00016B2C50, UniRef:UniRef50_O51690, UniRef:UniRef90_O51690
MBDBPK_03900	1	435	+	GOIOJP_03590	17.6	9.3		RefSeq:WP_002557361.1, SO:0001217, UniParc:UPI00000575E7, UniRef:UniRef100_O51714, UniRef:UniRef50_O51714, UniRef:UniRef90_O51714
MBDBPK_04265	1	288	+	GOIOJP_03950	11.2	10.0		RefSeq:WP_002656327.1, SO:0001217, UniParc:UPI00018823F3, UniRef:UniRef100_UPI00018823F3, UniRef:UniRef50_A0A7U4DIN4, UniRef:UniRef90_A0A7U4DIN4
MBDBPK_04295	1	375	+	GOIOJP_03970	14.7	4.9	PF13614.10|AAA_31	PFAM:PF13614.10
MBDBPK_05465	1	474	+	GOIOJP_05020	19.0	9.2		RefSeq:WP_012621301.1, SO:0001217, UniParc:UPI00016B3CEA, UniRef:UniRef100_A0A9N7AWA4, UniRef:UniRef50_A0A7W9SK25, UniRef:UniRef90_Q9X3P1
MBDBPK_05770	1	567	+	GOIOJP_05260	21.8	8.8		RefSeq:WP_010883850.1, SO:0001217, UniParc:UPI00000576EB, UniRef:UniRef100_Q9S073, UniRef:UniRef90_Q9S073
MBDBPK_05775	1	528	+	GOIOJP_05265	20.8	9.1		RefSeq:WP_012599439.1, SO:0001217, UniParc:UPI00016B3BBA, UniRef:UniRef100_A0A7I6GXU7, UniRef:UniRef90_A0A0H3C0R6
MBDBPK_05925	19	264	+	GOIOJP_05390	9.3	8.0		
MBDBPK_05970	1	684	+	GOIOJP_05435	26.7	9.4		RefSeq:WP_012622432.1, SO:0001217, UniParc:UPI00016B27D7, UniRef:UniRef100_A0A9N7B4Y8, UniRef:UniRef50_C0R8X6, UniRef:UniRef90_A0A5J6WFZ6
MBDBPK_06275	1	765	+	GOIOJP_05645	29.8	9.9		RefSeq:WP_012622391.1, SO:0001217, UniParc:UPI00016B2F44, UniRef:UniRef100_A0A7U4DJ44, UniRef:UniRef50_O50757, UniRef:UniRef90_A0A0H3C5A6
MBDBPK_06290	1	357	+	GOIOJP_05660	14.3	9.6		RefSeq:WP_012615033.1, SO:0001217, UniParc:UPI00017F4968, UniRef:UniRef100_A0A7U3YBP9, UniRef:UniRef50_Q44728, UniRef:UniRef90_A0A7U3YBP9
MBDBPK_06355	1	312	+	GOIOJP_05705	11.7	4.8	PF05714.15|PFam54_60	PFAM:PF05714.15
MBDBPK_06360	1	312	+	GOIOJP_05710	12.1	9.6		
MBDBPK_06380	1	837	+	GOIOJP_05730	32.2	9.1	PF05714.15|PFam54_60	PFAM:PF05714.15, RefSeq:WP_012622389.1, SO:0001217, UniParc:UPI00016B2F6C, UniRef:UniRef100_A0A7U4DJ06, UniRef:UniRef90_Q66YX5
MBDBPK_06440	1	288	+	GOIOJP_05770	11.2	10.0		RefSeq:WP_012622462.1, SO:0001217, UniParc:UPI00016B34D8, UniRef:UniRef100_A0A7U4DIN4, UniRef:UniRef50_A0A7U4DIN4, UniRef:UniRef90_A0A7U4DIN4
MBDBPK_06495	1	765	+	GOIOJP_05820	29.2	9.9		RefSeq:WP_096890872.1, SO:0001217, UniParc:UPI000BC334A2, UniRef:UniRef100_UPI000BC334A2, UniRef:UniRef50_O50757, UniRef:UniRef90_O50757
MBDBPK_06545	1	444	+	GOIOJP_05870	16.6	6.7		RefSeq:WP_010256673.1, SO:0001217, UniParc:UPI000005685A, UniRef:UniRef100_O50737, UniRef:UniRef50_O50737, UniRef:UniRef90_O50737
MBDBPK_06555	1	339	+	GOIOJP_05880	13.2	4.7		RefSeq:WP_010259656.1, SO:0001217, UniParc:UPI000005685C, UniRef:UniRef100_O50739, UniRef:UniRef50_O50739, UniRef:UniRef90_O50739
MBDBPK_06560	1	834	+	GOIOJP_05885	31.4	6.4		SO:0001217, UniRef:UniRef50_O50740, UniRef:UniRef90_O50740
MBDBPK_06590	1	798	+	GOIOJP_05915	30.5	9.0		
MBDBPK_06595	1	783	+	GOIOJP_05920	29.9	7.0		SO:0001217, UniRef:UniRef50_A0A0H3C5I5, UniRef:UniRef90_UPI00017F3FC9
MBDBPK_06610	1	372	+	GOIOJP_05935	13.9	8.5		RefSeq:WP_012622701.1, SO:0001217, UniParc:UPI00016B3782, UniRef:UniRef100_A0A7U4DIU8, UniRef:UniRef50_O50749, UniRef:UniRef90_A0A1L8ZA88
MBDBPK_06620	1	414	+	GOIOJP_05945	16.1	9.3		RefSeq:WP_012622693.1, SO:0001217, UniParc:UPI00017F42BB, UniRef:UniRef100_A0A7U4DIU7, UniRef:UniRef50_O50751, UniRef:UniRef90_A0A1L8ZA81
MBDBPK_06645	1	765	+	GOIOJP_05970	29.7	9.8		RefSeq:WP_012622699.1, SO:0001217, UniParc:UPI00016B322F, UniRef:UniRef100_A0A7U3YB70, UniRef:UniRef50_O50757, UniRef:UniRef90_A0A0H3C5A6
MBDBPK_06665	1	276	+	GOIOJP_05985	10.7	8.9		RefSeq:WP_012622654.1, SO:0001217, UniParc:UPI00016B3A30, UniRef:UniRef100_A0A9N7BD28, UniRef:UniRef50_O50813, UniRef:UniRef90_O50813
MBDBPK_06875	1	594	+	GOIOJP_06160	22.7	9.1		RefSeq:WP_012622796.1, SO:0001217, UniParc:UPI00016B38CF, UniRef:UniRef100_A0A9N7AM77, UniRef:UniRef50_O50923, UniRef:UniRef90_O50923
MBDBPK_06970	1	1398	+	GOIOJP_06245	52.8	6.5		RefSeq:WP_012622802.1, SO:0001217, UniParc:UPI000005692B, UniRef:UniRef100_A0A7U4DJ15, UniRef:UniRef50_Q0SLV8, UniRef:UniRef90_A0A806CL76
EOHKMH_00105	1	432	+	GOIOJP_06345	16.6	9.5		
EOHKMH_05030	1	249	+	GOIOJP_06720	9.5	4.9		SO:0001217, UniRef:UniRef50_Q0SLG5
EOHKMH_05385	1	567	+	GOIOJP_06860	21.8	8.8		RefSeq:WP_010883820.1, SO:0001217, UniParc:UPI00000576C6, UniRef:UniRef100_Q9S0A4, UniRef:UniRef90_Q9S073
EOHKMH_05515	1	519	+	GOIOJP_06960	20.3	9.2		RefSeq:WP_012593060.1, SO:0001217, UniParc:UPI00017F48F3, UniRef:UniRef100_A0A0H3C438, UniRef:UniRef90_A0A0H3C438
EOHKMH_05675	1	249	+	GOIOJP_07055	9.5	4.9		SO:0001217, UniRef:UniRef50_Q0SLG5
EOHKMH_05685	1	357	+	GOIOJP_07065	14.3	9.4		RefSeq:WP_010883928.1, SO:0001217, UniParc:UPI000005696E, UniRef:UniRef100_Q44728, UniRef:UniRef50_Q44728, UniRef:UniRef90_Q44728
EOHKMH_05905	1	228	+	GOIOJP_07150	8.7	8.5		RefSeq:WP_012665401.1, SO:0001217, UniParc:UPI0000056993, UniRef:UniRef100_UPI0000056993, UniRef:UniRef50_UPI00016B33E0, UniRef:UniRef90_UPI00016B33E0
EOHKMH_06045	1	444	+	GOIOJP_07240	16.6	6.7		RefSeq:WP_010256673.1, SO:0001217, UniParc:UPI000005685A, UniRef:UniRef100_O50737, UniRef:UniRef50_O50737, UniRef:UniRef90_O50737
EOHKMH_06055	1	339	+	GOIOJP_07250	13.2	4.7		RefSeq:WP_010259656.1, SO:0001217, UniParc:UPI000005685C, UniRef:UniRef100_O50739, UniRef:UniRef50_O50739, UniRef:UniRef90_O50739
EOHKMH_06060	1	834	+	GOIOJP_07255	31.4	6.4		RefSeq:WP_010890292.1, SO:0001217, UniParc:UPI000005685D, UniRef:UniRef100_O50740, UniRef:UniRef50_O50740, UniRef:UniRef90_O50740
EOHKMH_06090	1	798	+	GOIOJP_07285	30.5	8.2		RefSeq:WP_010890297.1, SO:0001217, UniParc:UPI0000056862, UniRef:UniRef100_O50745, UniRef:UniRef90_Q66YQ9
EOHKMH_06095	1	783	+	GOIOJP_07290	29.8	5.6		RefSeq:WP_010890298.1, SO:0001217, UniParc:UPI0000056863, UniRef:UniRef100_O50746, UniRef:UniRef90_A0A0H3C5I5
EOHKMH_06110	1	375	+	GOIOJP_07305	14.0	5.6		RefSeq:WP_010256627.1, SO:0001217, UniParc:UPI0000056866, UniRef:UniRef100_O50749, UniRef:UniRef50_O50749, UniRef:UniRef90_O50749
EOHKMH_06120	1	387	+	GOIOJP_07315	14.9	9.2		RefSeq:WP_010256620.1, SO:0001217, UniParc:UPI0000056868, UniRef:UniRef100_O50751, UniRef:UniRef50_O50751, UniRef:UniRef90_O50751
EOHKMH_06150	1	765	+	GOIOJP_07345	29.2	9.8		RefSeq:WP_010890304.1, SO:0001217, UniParc:UPI000005686E, UniRef:UniRef100_O50757, UniRef:UniRef50_O50757, UniRef:UniRef90_O50757
EOHKMH_06395	1	285	+	GOIOJP_07400	11.1	7.9		RefSeq:WP_010890344.1, SO:0001217, UniParc:UPI00000568A7, UniRef:UniRef100_O50813, UniRef:UniRef50_O50813, UniRef:UniRef90_O50813
EOHKMH_06475	1	585	+	GOIOJP_07415	22.1	5.3		RefSeq:WP_052403610.1, SO:0001217, UniParc:UPI0003233FA8, UniRef:UniRef100_UPI0003233FA8, UniRef:UniRef50_A0A0H3BZV3, UniRef:UniRef90_A0A0H3BZV3
EOHKMH_06485	1	378	+	GOIOJP_07420	13.9	5.6		RefSeq:WP_015899368.1, SO:0001217, UniParc:UPI00000568C3, UniRef:UniRef100_UPI00000568C3, UniRef:UniRef50_UPI00016B379E, UniRef:UniRef90_UPI00016B379E
EOHKMH_06555	1	285	+	GOIOJP_07475	10.9	9.0	PF05714.15|PFam54_60	PFAM:PF05714.15
EOHKMH_06575	1	276	+	GOIOJP_07490	10.4	9.9		SO:0001217, UniRef:UniRef50_O50768, UniRef:UniRef90_O50768
EOHKMH_06690	1	219	+	GOIOJP_07595	7.7	9.5		
EOHKMH_06995	1	639	+	GOIOJP_07620	24.3	5.5	PF05714.15|PFam54_60	PFAM:PF05714.15
EOHKMH_07035	1	411	+	GOIOJP_07630	15.9	7.6		SO:0001217, UniRef:UniRef50_UPI001E473841
EOHKMH_07070	1	339	+	GOIOJP_07660	13.6	9.7		
EOHKMH_07255	1	567	+	GOIOJP_07755	21.8	9.1		RefSeq:WP_010883937.1, SO:0001217, UniParc:UPI0000057752, UniRef:UniRef100_Q9RZY1, UniRef:UniRef90_Q9S073
EOHKMH_07290	1	381	+	GOIOJP_07775	14.3	6.7		RefSeq:WP_231013320.1, SO:0001217, UniParc:UPI0003F834B4, UniRef:UniRef100_UPI0000057758, UniRef:UniRef50_UPI0000057758, UniRef:UniRef90_UPI0000057758
EOHKMH_07295	1	513	+	GOIOJP_07780	19.4	8.8		RefSeq:WP_083013073.1, SO:0001217, UniParc:UPI0009F1771F, UniRef:UniRef100_UPI0009F1771F, UniRef:UniRef50_UPI00016C5603, UniRef:UniRef90_UPI0004280BBD
EOHKMH_07305	1	228	+	GOIOJP_07785	8.6	8.7		RefSeq:WP_024705874.1, SO:0001217, UniParc:UPI000005775D, UniRef:UniRef100_UPI000005775D, UniRef:UniRef50_UPI001E5DCC1C, UniRef:UniRef90_UPI001E5DCC1C
EOHKMH_07315	1	282	+	GOIOJP_07795	11.3	10.0		RefSeq:WP_038379685.1, SO:0001217, UniParc:UPI00016C583C, UniRef:UniRef100_UPI0000057760, UniRef:UniRef50_A0A1L8ZA91, UniRef:UniRef90_A0A1L8ZA91
EOHKMH_07325	1	348	+	GOIOJP_07800	13.1	5.2	PF05714.15|PFam54_60	PFAM:PF05714.15
EOHKMH_07335	1	357	+	GOIOJP_07805	14.3	9.4		RefSeq:WP_010883928.1, SO:0001217, UniParc:UPI000005696E, UniRef:UniRef100_Q44728, UniRef:UniRef50_Q44728, UniRef:UniRef90_Q44728
JOOONJ_04450	1	378	+	GOIOJP_07885	14.3	8.9		
JOOONJ_04470	1	426	+	GOIOJP_07890	16.2	5.3		
JOOONJ_04880	1	378	+	GOIOJP_08195	14.3	8.9		
JOOONJ_05320	1	921	+	GOIOJP_08425	33.9	9.2		SO:0001217, UniRef:UniRef50_A0A7W9ZN01
JOOONJ_05490	1	432	+	GOIOJP_08505	17.6	9.4		SO:0001217, UniRef:UniRef50_Q44728, UniRef:UniRef90_Q44728
JOOONJ_05495	1	270	+	GOIOJP_08510	10.4	9.0		RefSeq:WP_012686403.1, SO:0001217, UniParc:UPI00017F3C3A, UniRef:UniRef100_UPI00017F3C3A, UniRef:UniRef50_UPI0001F238F1, UniRef:UniRef90_UPI00017F3C3A
JOOONJ_05675	1	375	+	GOIOJP_08535	14.3	9.2		RefSeq:WP_010259364.1, SO:0001217, UniParc:UPI00017F34D2, UniRef:UniRef100_UPI00017F34D2, UniRef:UniRef50_O50751, UniRef:UniRef90_O50751
JOOONJ_05685	1	375	+	GOIOJP_08545	14.0	5.6		RefSeq:WP_012686424.1, SO:0001217, UniParc:UPI00017F3FCA, UniRef:UniRef100_UPI00017F3FCA, UniRef:UniRef50_O50749, UniRef:UniRef90_O50749
JOOONJ_05885	1	1767	+	GOIOJP_08575	69.4	8.3		
JOOONJ_05890	1	366	+	GOIOJP_08580	14.3	8.8		RefSeq:WP_010256460.1, SO:0001217, UniParc:UPI00017F37C6, UniRef:UniRef100_UPI00017F37C6, UniRef:UniRef50_UPI001E473841, UniRef:UniRef90_UPI00017F37C6
JOOONJ_05940	1	240	+	GOIOJP_08590	8.8	9.7		RefSeq:WP_012615028.1, SO:0001217, UniParc:UPI00016B2DFC, UniRef:UniRef100_A0A7U3YBR9, UniRef:UniRef50_A0A7U3YBR9, UniRef:UniRef90_A0A7U3YBR9
JOOONJ_06050	1	354	+	GOIOJP_08605	14.1	9.3		RefSeq:WP_106007396.1, SO:0001217, UniParc:UPI000D03C6FE, UniRef:UniRef100_UPI000D03C6FE, UniRef:UniRef50_Q44728, UniRef:UniRef90_Q44728
JOOONJ_06115	1	288	+	GOIOJP_08660	11.2	10.0		RefSeq:WP_012622462.1, SO:0001217, UniParc:UPI00016B34D8, UniRef:UniRef100_A0A7U4DIN4, UniRef:UniRef50_A0A7U4DIN4, UniRef:UniRef90_A0A7U4DIN4
JOOONJ_06195	1	360	+	GOIOJP_08700	13.4	4.8		RefSeq:WP_012686381.1, SO:0001217, UniParc:UPI00017F4766, UniRef:UniRef100_UPI00017F4766, UniRef:UniRef50_UPI001E49CC46, UniRef:UniRef90_UPI001E49CC46
JOOONJ_06230	1	384	+	GOIOJP_08725	14.6	9.4		RefSeq:WP_012686383.1, SO:0001217, UniParc:UPI00017F476F, UniRef:UniRef100_UPI00017F476F, UniRef:UniRef50_UPI00017F476F, UniRef:UniRef90_UPI00017F476F
JOOONJ_06260	1	9651	+	GOIOJP_08740	303.4	5.0	PF05192.22|MutS_III	PFAM:PF05192.22
JKOCPB_04270	1	258	+	GOIOJP_08770	10.3	8.6		SO:0001217, UniParc:UPI00018E251A, UniRef:UniRef100_A0A7U8EX85, UniRef:UniRef50_A0A7U8EX85, UniRef:UniRef90_A0A7U8EX85
JKOCPB_04430	1	255	+	GOIOJP_08810	9.4	5.0		
JKOCPB_05505	1	528	+	GOIOJP_09140	20.8	9.1		RefSeq:WP_012644763.1, SO:0001217, UniParc:UPI00016C45EF, UniRef:UniRef100_A0A7U3YAS2, UniRef:UniRef90_A0A0H3C0R6
