contig	pfam32_type	plasmid_length
contig_1		13370
contig_2		19471
contig_3		7318
contig_4		6353
contig_5		4524
contig_6	lp54	98779
contig_7		20323
contig_8		5790
contig_9		33822
contig_10	lp56	931244
contig_11		5994
contig_12		6729
contig_13		11771
contig_14		72216
contig_15		6096
contig_16		6290
contig_17		8100
contig_18	cp32-4	49117
contig_19		8807
contig_20		16222
contig_21		10782
contig_22		3645
contig_23		11173
contig_24		21817
contig_25		11368
contig_26	cp26	44636
contig_27	cp32-3	56249
contig_28		19735
contig_29		6221
contig_30		11255
contig_31	cp32-1	50000
