gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure	pop_structure
>contig000001_128	156176	156577	1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xAxxx	xAxxx
>contig000001_375	433132	433524	1	130	PIN domain	5.9e-08	T	TASMANIA.T89	T.19597	Hmmer_genes	T	T
>contig000001_415	475748	476530	1	260	ParB-like nuclease domain	4.8e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A	A
>contig000001_502	576353	576628	1	91	Arc-like DNA binding domain	1.5e-06	A	TASMANIA.A31	A.55510	Hmmer_genes	xxxAxxxxx	xxxAxxxxx
>contig000001_517	593172	594068	1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	Txx	Txx
>contig000001_520	598066	598425	-1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	Ax	Ax
>contig000001_567	639517	639780	1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxTxxxxxxxxxx	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxTxxxxxxxxxx
>contig000001_709	803725	805380	1	551	RelB antitoxin	2e-06	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxxxxAxxx	xxxxxxAxxx
>contig000001_800	896853	898334	-1	493	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00014	T	TASMANIA.T4	T.2200	Hmmer_genes	xT	xT
>contig000002_6	4467	5258	1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	1.2e-05	T	TASMANIA.T9	T.17579	Hmmer_genes	T	T
>contig000002_60	48623	49096	1	157	"Antidote-toxin recognition MazE, bacterial antitoxin"	3.7e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A	A
>contig000003_10	10585	11172	-1	195	NikR C terminal nickel binding domain	7.4e-06	A	TASMANIA.A5	A.12688	Hmmer_genes	Axxx	Axxx
>contig000009_33	24897	25517	-1	206	"PemK-like, MazF-like toxin of type II toxin-antitoxin system"	0.00027	T	TASMANIA.T57	T.56898	Hmmer_genes	T	T
>contig000010_23	21647	22339	-1	230	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	3e-05	T	TASMANIA.T4	T.51595	Hmmer_genes	xxxxxxxxxxxxxxxxTx	xxxxxxxxxxxxxxxxTx
>contig000013_15	14984	16198	1	404	PIN domain	7.5e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	xT	xT
>contig000018_19	11032	11676	-1	214	ParB-like nuclease domain	7.2e-06	A	TASMANIA.A25	A.17865	Hmmer_genes	A	A
>contig000020_12	15292	15561	-1	89	RelB antitoxin	7.8e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	Ax?	Ax?
>contig000020_9	9906	10175	1	89	RelB antitoxin	7.8e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	xA	xA
>contig000021_8	6388	6948	-1	186	"ParE toxin of type II toxin-antitoxin system, parDE"	4.8e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	Txx?	Txx?
