gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure	pop_structure
>NODE_13_length_16574_cov_12.0038_8	8302	9783	-1	493	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00052	T	TASMANIA.T4	T.2200	Hmmer_genes	xT	xT
>NODE_16_length_14526_cov_14.7042_8	8983	9384	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx	xxxAx
>NODE_173_length_1949_cov_33.8156_1	909	1178	-1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	?Ax?	?Ax?
>NODE_189_length_1690_cov_40.5496_3	1418	1666	1	82	YoeB-like toxin of bacterial type II toxin-antitoxin system	2.7e-06	T	TASMANIA.T92	T.21922	Hmmer_genes	T?	T?
>NODE_19_length_12898_cov_10.693_1	304	1200	1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	?Txx	?Txx
>NODE_19_length_12898_cov_10.693_4	5207	5566	-1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	Ax	Ax
>NODE_1_length_37178_cov_15.5038_35	28054	28317	1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	?xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxTxxxxxxxx?	?xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxTxxxxxxxx?
>NODE_21_length_12850_cov_12.3317_11	11994	12776	1	260	ParB-like nuclease domain	1.8e-55	A	TASMANIA.A1	A.58457	Hmmer_genes	A?	A?
>NODE_248_length_906_cov_24.0077_1	90	905	-1	271	"ParE toxin of type II toxin-antitoxin system, parDE"	0.00025	T	TASMANIA.T9	T.17579	Hmmer_genes	?T?	?T?
>NODE_290_length_647_cov_7.07308_2	245	637	1	130	PIN domain	5.9e-08	T	TASMANIA.T89	T.19597	Hmmer_genes	?xT?	?xT?
>NODE_2_length_28745_cov_12.7045_11	13872	15527	1	551	RelB antitoxin	5.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxxxxAxxx	xxxxxxAxxx
>NODE_35_length_9321_cov_45.0168_9	7608	8168	-1	186	"ParE toxin of type II toxin-antitoxin system, parDE"	4.5e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	Txx?	Txx?
>NODE_37_length_9212_cov_37.5304_5	4456	4689	-1	77	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	4.6e-06	A	TASMANIA.A45	A.59949	Hmmer_genes	Ax	Ax
>NODE_6_length_18868_cov_14.2306_4	4100	4375	1	91	Arc-like DNA binding domain	3.6e-06	A	TASMANIA.A31	A.55510	Hmmer_genes	?xxxAxxxxx	?xxxAxxxxx
>NODE_74_length_5420_cov_12.9501_6	5014	5418	-1	134	AAA domain	2.1e-06	T	TASMANIA.T99	T.26461	Hmmer_genes	xxT?	xxT?
>NODE_78_length_5108_cov_26.1909_1	2	505	1	167	"Antidote-toxin recognition MazE, bacterial antitoxin"	3.6e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	?A	?A
>NODE_82_length_4849_cov_18.4831_2	1932	3146	-1	404	PIN domain	2.9e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	Tx?	Tx?
