ID or #		Start	End	Type	Contig
==================================================
NC_001318.1:1..910724		1	910724	partial	contig_1:1-904580
gene-BB_RS00005		105	677	complete	contig_1:12-584
gene-BB_RS00010		768	1796	complete	contig_1:675-1703
gene-BB_RS00015		1784	3249	complete	contig_1:1691-3156
gene-BB_RS00020		3395	5188	complete	contig_1:3302-5095
gene-BB_RS00025		5251	6306	complete	contig_1:5158-6213
gene-BB_RS00030		6309	7397	complete	contig_1:6216-7304
gene-BB_RS00035		7458	8315	complete	contig_1:7365-8222
gene-BB_RS00040		8427	9197	complete	contig_1:8334-9104
gene-BB_RS00045		9202	10206	complete	contig_1:9109-10113
gene-BB_RS00050		10203	10577	complete	contig_1:10110-10484
gene-BB_RS00055		10581	11420	complete	contig_1:10488-11327
gene-BB_RS00060		11421	12161	complete	contig_1:11328-12068
gene-BB_RS00065		12154	12753	complete	contig_1:12061-12660
gene-BB_RS00070		12746	14728	complete	contig_1:12653-14635
gene-BB_RS00075		14725	15345	complete	contig_1:14632-15252
gene-BB_RS00080		15345	15716	complete	contig_1:15252-15623
gene-BB_RS00085		15845	16804	complete	contig_1:15752-16711
gene-BB_RS00090		16807	17787	complete	contig_1:16714-17694
gene-BB_RS00095		17792	18304	complete	contig_1:17699-18211
gene-BB_RS00100		18312	19979	complete	contig_1:18219-19886
gene-BB_RS00105		20051	21083	complete	contig_1:19958-20990
gene-BB_RS00110		21058	22101	complete	contig_1:20965-22008
gene-BB_RS00115		22146	22739	complete	contig_1:22053-22646
gene-BB_RS00120		22819	23958	complete	contig_1:22726-23865
gene-BB_RS00125		23965	24696	complete	contig_1:23872-24603
gene-BB_RS00130		24697	25602	complete	contig_1:24604-25509
gene-BB_RS00135		25753	26391	complete	contig_1:25660-26298
gene-BB_RS00140		26399	27448	complete	contig_1:26306-27355
gene-BB_RS00145		27434	27865	complete	contig_1:27341-27772
gene-BB_RS00150		27855	28490	complete	contig_1:27762-28397
gene-BB_RS00155		28492	29472	complete	contig_1:28399-29379
gene-BB_RS00160		29543	31015	complete	contig_1:29450-30922
gene-BB_RS00165		31027	31479	complete	contig_1:30934-31386
gene-BB_RS00170		31550	32089	complete	contig_1:31457-31996
gene-BB_RS00175		32157	34037	complete	contig_1:32064-33944
gene-BB_RS00180		34037	35836	complete	contig_1:33944-35743
gene-BB_RS00185		35857	36609	complete	contig_1:35764-36516
gene-BB_RS00190		36606	38123	complete	contig_1:36513-38030
gene-BB_RS00195		38136	39638	complete	contig_1:38043-39545
gene-BB_RS00200		39826	40677	complete	contig_1:39733-40584
gene-BB_RS00205		40761	41432	complete	contig_1:40668-41339
gene-BB_RS00210		41443	42483	complete	contig_1:41350-42390
gene-BB_RS00215		42480	42881	complete	contig_1:42387-42788
gene-BB_RS00220		42907	45354	complete	contig_1:42814-45261
gene-BB_RS00225		45446	45991	complete	contig_1:45353-45898
gene-BB_RS00230		46011	46379	complete	contig_1:45918-46286
gene-BB_RS00235		46530	46601	complete	contig_1:46437-46508
rna-BB_RS00235		46530	46601	complete	contig_1:46437-46508
exon-BB_RS00235-1		46530	46601	complete	contig_1:46437-46508
gene-BB_RS00240		46688	47049	complete	contig_1:46595-46956
rna-BB_RS00240		46688	47049	complete	contig_1:46595-46956
exon-BB_RS00240-1		46688	47049	complete	contig_1:46595-46956
gene-BB_RS00245		47167	47841	complete	contig_1:47074-47748
gene-BB_RS00250		47917	48606	complete	contig_1:47824-48513
gene-BB_RS00255		48603	49259	complete	contig_1:48510-49166
gene-BB_RS00260		49341	50012	complete	contig_1:49248-49919
gene-BB_RS00265		50112	50474	complete	contig_1:50019-50381
gene-BB_RS00270		50490	51251	complete	contig_1:50397-51158
gene-BB_RS00275		51253	52434	complete	contig_1:51160-52341
gene-BB_RS00280		52454	53461	complete	contig_1:52361-53368
gene-BB_RS00285		53534	55504	complete	contig_1:53441-55411
gene-BB_RS00290		55501	56280	complete	contig_1:55408-56187
gene-BB_RS00295		56281	56748	complete	contig_1:56188-56655
gene-BB_RS00300		56832	57185	complete	contig_1:56739-57092
gene-BB_RS00305		57259	57975	complete	contig_1:57166-57882
gene-BB_RS00310		58029	59036	complete	contig_1:57936-58943
gene-BB_RS00315		59101	60039	complete	contig_1:59008-59946
gene-BB_RS00320		60036	60533	complete	contig_1:59943-60440
gene-BB_RS00325		60568	61257	complete	contig_1:60475-61164
gene-BB_RS00330		61254	63032	complete	contig_1:61161-62939
gene-BB_RS00335		63147	64028	complete	contig_1:63054-63935
gene-BB_RS00340		64038	65276	complete	contig_1:63945-65183
gene-BB_RS00345		65291	65752	complete	contig_1:65198-65659
gene-BB_RS00350		65768	67240	complete	contig_1:65675-67147
gene-BB_RS00355		67248	69569	complete	contig_1:67155-69476
gene-BB_RS00360		69566	70126	complete	contig_1:69473-70033
gene-BB_RS00365		70142	71219	complete	contig_1:70049-71126
gene-BB_RS00370		71201	72610	complete	contig_1:71108-72517
gene-BB_RS00375		72647	73492	complete	contig_1:72554-73399
gene-BB_RS00380		73489	74517	complete	contig_1:73396-74424
gene-BB_RS00385		74518	75772	complete	contig_1:74425-75679
gene-BB_RS00390		75774	76454	complete	contig_1:75681-76361
gene-BB_RS00395		76451	77701	complete	contig_1:76358-77608
gene-BB_RS00400		77711	79009	complete	contig_1:77618-78916
gene-BB_RS00405		79002	79322	complete	contig_1:78909-79229
gene-BB_RS00410		79505	80773	complete	contig_1:79412-80680
gene-BB_RS00415		80983	81408	complete	contig_1:80890-81315
gene-BB_RS00420		81405	82940	complete	contig_1:81312-82847
gene-BB_RS00425		82970	83920	complete	contig_1:82877-83827
gene-BB_RS00430		84041	85840	complete	contig_1:83948-85747
gene-BB_RS00435		85880	86854	complete	contig_1:85787-86761
gene-BB_RS00440		86926	87360	complete	contig_1:86833-87267
gene-BB_RS00445		87377	89203	complete	contig_1:87284-89110
gene-BB_RS00450		89200	89808	complete	contig_1:89107-89715
gene-BB_RS00455		89811	91115	complete	contig_1:89718-91022
gene-BB_RS00460		91137	92864	complete	contig_1:91044-92771
gene-BB_RS00465		92878	93423	complete	contig_1:92785-93330
gene-BB_RS00470		93433	94032	complete	contig_1:93340-93939
gene-BB_RS00475		94219	94605	complete	contig_1:94126-94512
gene-BB_RS00480		94611	96953	complete	contig_1:94518-96860
gene-BB_RS00485		96943	97866	complete	contig_1:96850-97773
gene-BB_RS00490		97863	98648	complete	contig_1:97770-98555
gene-BB_RS00495		98817	100205	complete	contig_1:98724-100112
gene-BB_RS00500		100228	100749	complete	contig_1:100135-100656
gene-BB_RS00505		100746	101339	complete	contig_1:100653-101246
gene-BB_RS00510		101525	102949	complete	contig_1:101432-102856
gene-BB_RS00515		103016	103771	complete	contig_1:102923-103678
gene-BB_RS00520		103764	105431	complete	contig_1:103671-105338
gene-BB_RS00525		105418	105846	complete	contig_1:105325-105753
gene-BB_RS00530		105884	106894	complete	contig_1:105791-106801
gene-BB_RS00535		106974	108170	complete	contig_1:106881-108077
gene-BB_RS00540		108307	109671	complete	contig_1:108214-109578
gene-BB_RS00545		109675	111042	complete	contig_1:109582-110949
gene-BB_RS00550		111046	111567	complete	contig_1:110953-111474
