CKDGNL_00005	group_1080
CKDGNL_00010	Type I restriction enzyme R N terminus family protein
CKDGNL_00015	group_1101
CKDGNL_00020	yfcC
CKDGNL_00025	argF
CKDGNL_00030	arcA
CKDGNL_00035	group_1346
CKDGNL_00040	Ribonuclease H1 N-terminal domain-containing protein
CKDGNL_00045	group_1348
CKDGNL_00050	lptD
CKDGNL_00055	uvrA
CKDGNL_00060	uvrB
CKDGNL_00065	group_3313
CKDGNL_00070	group_4026
CKDGNL_00075	ileS
CKDGNL_00080	group_1627
CKDGNL_00085	nagC
CKDGNL_00090	sbcC
CKDGNL_00095	sbcD
CKDGNL_00100	topA
CKDGNL_00105	hrpA
CKDGNL_00110	group_2101
CKDGNL_00115	group_2103
CKDGNL_00120	Outer membrane protein
CKDGNL_00125	group_3474
CKDGNL_00130	miaA
CKDGNL_00135	group_2104
CKDGNL_00140	cmk2
CKDGNL_00145	yicC
CKDGNL_00150	murC
CKDGNL_00155	ATP-binding protein
CKDGNL_00160	RNA pseudouridine synthase family protein
CKDGNL_00165	panF
CKDGNL_00170	coaBC
CKDGNL_00175	hEAT
CKDGNL_00180	murJ
CKDGNL_00185	Queuine tRNA-ribosyltransferase
CKDGNL_00190	group_3556
CKDGNL_00195	lptF
CKDGNL_00200	group_3819
CKDGNL_00205	pnp
CKDGNL_00210	rpsO
CKDGNL_00215	truB
CKDGNL_00220	rbfA
CKDGNL_00225	infB
CKDGNL_00230	nusA
CKDGNL_00235	rimP
CKDGNL_00240	comFC
CKDGNL_00245	mutS
CKDGNL_00250	hlpA
CKDGNL_00255	bamA
CKDGNL_00260	Cytosolic protein
CKDGNL_00265	tmk
CKDGNL_00270	group_4077
CKDGNL_00275	tdk
CKDGNL_00280	group_3884
CKDGNL_00285	ftsH
CKDGNL_00290	tilS
CKDGNL_00295	pth
CKDGNL_00300	50S ribosomal protein L25/general stress protein Ctc
CKDGNL_00310	spoVG
CKDGNL_00315	rsfS
CKDGNL_00320	LytR/CpsA/Psr regulator C-terminal domain-containing protein
CKDGNL_00325	nadD
CKDGNL_00330	obgE
CKDGNL_00335	rpmA
CKDGNL_00340	ysxB
CKDGNL_00345	rplU
CKDGNL_00350	apt
CKDGNL_00355	DUF2147 domain-containing protein
CKDGNL_00360	flgF
CKDGNL_00365	flgG
CKDGNL_00370	group_3315
CKDGNL_00375	flgI
CKDGNL_00380	flgJ1
CKDGNL_00385	rpoS
CKDGNL_00390	yibQ
CKDGNL_00395	tsaD
CKDGNL_00400	pdxK
CKDGNL_00405	murG
CKDGNL_00410	cvpA
CKDGNL_00415	DNA polymerase III subunit gamma/tau
CKDGNL_00420	ntrY
CKDGNL_00425	ntrC
CKDGNL_00430	group_4022
CKDGNL_00435	mazG
CKDGNL_00440	DUF368 domain-containing protein
CKDGNL_00450	group_3984
CKDGNL_00455	clpP2
CKDGNL_00460	dadA
CKDGNL_00465	rnz
CKDGNL_00470	group_3648
CKDGNL_00475	nosY
CKDGNL_00480	gldG
CKDGNL_00485	DUF4340 domain-containing protein
CKDGNL_00490	group_3933
CKDGNL_00495	Septum formation initiator family protein
CKDGNL_00500	group_3231
CKDGNL_00505	yejE
CKDGNL_00510	nth
CKDGNL_00525	Borrelia P83/P100 antigen
CKDGNL_00530	pQQ
CKDGNL_00535	uup
CKDGNL_00540	groES
CKDGNL_00545	mnmC
CKDGNL_00550	group_4089
CKDGNL_00555	valS
CKDGNL_00560	group_3668
CKDGNL_00565	rlpA
CKDGNL_00570	tsaC
CKDGNL_00575	plzA
CKDGNL_00580	mrcA
CKDGNL_00585	spo0J
CKDGNL_00590	pgi
CKDGNL_00595	Transporter, dicarboxylate/amino acid:cation (Na+ or H+) symporter (Daacs) family
CKDGNL_00600	CoA-disulfide reductase
CKDGNL_00605	pfkA
CKDGNL_00610	group_3373
CKDGNL_00615	trkA
CKDGNL_00620	trkG
CKDGNL_00625	cyaB
CKDGNL_00630	group_1644
CKDGNL_00635	pgsA
CKDGNL_00640	thrS
CKDGNL_00645	rodA
CKDGNL_00650	mrdA
CKDGNL_00655	mreD
CKDGNL_00660	mreC
CKDGNL_00665	mreB
CKDGNL_00670	Tetratricopeptide repeat domain protein
CKDGNL_00680	C4-type zinc ribbon domain-containing protein
CKDGNL_00685	rpoD
CKDGNL_00690	dnaG
CKDGNL_00695	mltG
CKDGNL_00710	group_1649
CKDGNL_00715	group_3930
CKDGNL_00720	pcnB
CKDGNL_00725	rnc
CKDGNL_00730	acpP
CKDGNL_00735	rpmF
CKDGNL_00740	coaD
CKDGNL_00745	group_3321
CKDGNL_00750	rplS
CKDGNL_00755	trmD
CKDGNL_00760	rimM
CKDGNL_00765	khpA
CKDGNL_00770	rpsP
CKDGNL_00775	ffh
CKDGNL_00780	group_3331
CKDGNL_00785	fusA
CKDGNL_00790	napA
CKDGNL_00795	ykwD
CKDGNL_00805	mvk
CKDGNL_00810	eRG8
CKDGNL_00815	mvaD
CKDGNL_00820	hMG1
CKDGNL_00825	fni
CKDGNL_00830	pksG
CKDGNL_00835	mnmA
CKDGNL_00840	group_3183
CKDGNL_00845	group_3622
CKDGNL_00850	group_1653
CKDGNL_00855	group_3514
CKDGNL_00860	nupO
CKDGNL_00865	gph
CKDGNL_00870	group_3810
CKDGNL_00875	Ion transport domain-containing protein
CKDGNL_00880	Toluene tolerance protein
CKDGNL_00885	cheY
CKDGNL_00890	cheX
CKDGNL_00895	group_4007
CKDGNL_00900	cheA
CKDGNL_00905	flaA
CKDGNL_00910	Flagellar filament outsheath protein
CKDGNL_00915	amiC
CKDGNL_00920	Glycosyltransferase
CKDGNL_00925	group_3842
CKDGNL_00930	UPF0127 protein
CKDGNL_00935	bptA
CKDGNL_00940	DZANK-type domain-containing protein
CKDGNL_00945	era
CKDGNL_00950	lysS
CKDGNL_00955	gpmA
CKDGNL_00960	rpiA
CKDGNL_00965	psgB
CKDGNL_00970	group_3455
CKDGNL_00975	group_3651
CKDGNL_00980	secF
CKDGNL_00985	secD
CKDGNL_00990	yajC
CKDGNL_00995	group_3164
CKDGNL_01000	groL
CKDGNL_01005	Serine/threonine kinase
CKDGNL_01010	bosR
CKDGNL_01015	yvaK
CKDGNL_01020	group_3791
CKDGNL_01025	nanE
CKDGNL_01030	ylqF
CKDGNL_01035	potA
CKDGNL_01040	potB
CKDGNL_01045	potC
CKDGNL_01050	potD
CKDGNL_01055	nhaC
CKDGNL_01060	group_2117
CKDGNL_01065	zwf
CKDGNL_01070	pncB
CKDGNL_01075	Exodeoxyribonuclease V gamma subunit
CKDGNL_01080	recB
CKDGNL_01085	recD
CKDGNL_01095	group_4167
CKDGNL_01100	pfkB
CKDGNL_01105	group_4092
CKDGNL_01110	Lipoprotein, putative
CKDGNL_01115	apeB
CKDGNL_01125	lysM
CKDGNL_01130	Uncharacterized conserved protein
CKDGNL_01135	mfd
CKDGNL_01140	Acetate kinase
CKDGNL_01145	yajL
CKDGNL_01155	bglX
CKDGNL_01160	nrnA
CKDGNL_01165	cdd
CKDGNL_01170	group_3411
CKDGNL_01175	fieF
CKDGNL_01185	rpsD
CKDGNL_01190	group_1669
CKDGNL_01195	group_3200
CKDGNL_01200	clpX
CKDGNL_01205	clpP
CKDGNL_01210	tig
CKDGNL_01235	pepD
CKDGNL_01240	group_3941
CKDGNL_01245	cheD
CKDGNL_01250	dacC
CKDGNL_01255	lldP
CKDGNL_01260	integrin-binding adhesin P66
CKDGNL_01265	group_3476
CKDGNL_01270	glyA
CKDGNL_01275	IPT/TIG domain protein
CKDGNL_01280	cysS
CKDGNL_01285	murB
CKDGNL_01290	tar
CKDGNL_01295	group_3387
CKDGNL_01300	rnfE
CKDGNL_01305	argS
CKDGNL_01310	fAA1
CKDGNL_01315	ydiL
CKDGNL_01320	comEC
CKDGNL_01325	rsmA
CKDGNL_01330	pta
CKDGNL_01335	group_1369
CKDGNL_01340	metG
CKDGNL_01345	fmhB
CKDGNL_01350	murD
CKDGNL_01355	group_3685
CKDGNL_01360	group_3112
CKDGNL_01365	ldcB
CKDGNL_01370	recG
CKDGNL_01375	ycf19
CKDGNL_01380	dnaE
CKDGNL_01385	group_3835
CKDGNL_01390	Type I restriction enzyme R protein N-terminal domain-containing protein
CKDGNL_01395	DUF1761 domain-containing protein
CKDGNL_01400	pyrG
CKDGNL_01405	ABC transporter permease
CKDGNL_01410	group_1375
CKDGNL_01415	wcaA
CKDGNL_01420	pyrH
CKDGNL_01430	group_3260
CKDGNL_01435	Methyl-accepting chemotaxis protein
CKDGNL_01440	group_3714
CKDGNL_01445	group_3437
CKDGNL_01450	STAS domain-containing protein
CKDGNL_01455	group_3347
CKDGNL_01460	group_3718
CKDGNL_01465	group_3400
CKDGNL_01470	group_3926
CKDGNL_01475	gnd
CKDGNL_01480	htpG
CKDGNL_01485	crr
CKDGNL_01490	ptsI
CKDGNL_01495	group_3645
CKDGNL_01500	cutB
CKDGNL_01505	cutS
CKDGNL_01510	group_1944
CKDGNL_01515	group_3938
CKDGNL_01520	ligA
CKDGNL_01525	group_1676
CKDGNL_01530	fliS
CKDGNL_01535	group_1380
CKDGNL_01540	polA
CKDGNL_01545	coaE
CKDGNL_01550	dedD
CKDGNL_01555	Xylulokinase
CKDGNL_01560	prs
CKDGNL_01565	group_4153
CKDGNL_01570	tadD
CKDGNL_01575	KTSC domain-containing protein
CKDGNL_01580	group_3453
CKDGNL_01585	ybhL
CKDGNL_01590	ccmA
CKDGNL_01595	group_3592
CKDGNL_01610	pqqL
CKDGNL_01615	Flagellar filament outer layer protein
CKDGNL_01620	xth
CKDGNL_01625	phnP
CKDGNL_01630	Membrane associated protein
CKDGNL_01635	Uncharacterized protein BB_0531
CKDGNL_01640	TIGR02757 family protein
CKDGNL_01645	pdxI
CKDGNL_01650	coaX
CKDGNL_01655	group_3478
CKDGNL_01660	group_3188
CKDGNL_01665	suhB
CKDGNL_01670	nadE
CKDGNL_01675	grpE
CKDGNL_01680	dnaK
CKDGNL_01685	dnaJ
CKDGNL_01690	rlmB
CKDGNL_01695	trxB
CKDGNL_01700	pheT
CKDGNL_01705	pheS
CKDGNL_01710	DNA repair exonuclease SbcCD ATPase subunit
CKDGNL_01715	Haloacid dehalogenase-like hydrolase
CKDGNL_01720	NlpC/P60 family protein
CKDGNL_01725	der
CKDGNL_01730	gerM
CKDGNL_01735	yqxC
CKDGNL_01740	group_4136
CKDGNL_01745	rny
CKDGNL_01750	rplQ
CKDGNL_01755	rpoA
CKDGNL_01760	rpsK
CKDGNL_01765	rpsM
CKDGNL_01770	rpmJ
CKDGNL_01775	secY
CKDGNL_01780	rplO
CKDGNL_01785	rpmD
CKDGNL_01790	rpsE
CKDGNL_01795	rplR
CKDGNL_01800	rplF
CKDGNL_01805	rpsH
CKDGNL_01810	rpsZ
CKDGNL_01815	rplE
CKDGNL_01820	rplX
CKDGNL_01825	rplN
CKDGNL_01830	rpsQ
CKDGNL_01835	rpmC
CKDGNL_01840	rplP
