ID or #		Start	End	Type	Contig
==================================================
NC_001318.1:1..910724		1	910724	partial	NZ_CP161904.1:910146-1
gene-BB_RS00005		105	677	complete	NZ_CP161904.1:910042-909470
gene-BB_RS00010		768	1796	complete	NZ_CP161904.1:909379-908351
gene-BB_RS00015		1784	3249	complete	NZ_CP161904.1:908363-906898
gene-BB_RS00020		3395	5188	complete	NZ_CP161904.1:906752-904959
gene-BB_RS00025		5251	6306	complete	NZ_CP161904.1:904896-903841
gene-BB_RS00030		6309	7397	complete	NZ_CP161904.1:903838-902750
gene-BB_RS00035		7458	8315	complete	NZ_CP161904.1:902689-901832
gene-BB_RS00040		8427	9197	complete	NZ_CP161904.1:901720-900950
gene-BB_RS00045		9202	10206	complete	NZ_CP161904.1:900945-899941
gene-BB_RS00050		10203	10577	complete	NZ_CP161904.1:899944-899570
gene-BB_RS00055		10581	11420	complete	NZ_CP161904.1:899566-898727
gene-BB_RS00060		11421	12161	complete	NZ_CP161904.1:898726-897986
gene-BB_RS00065		12154	12753	complete	NZ_CP161904.1:897993-897394
gene-BB_RS00070		12746	14728	complete	NZ_CP161904.1:897401-895419
gene-BB_RS00075		14725	15345	complete	NZ_CP161904.1:895422-894802
gene-BB_RS00080		15345	15716	complete	NZ_CP161904.1:894802-894431
gene-BB_RS00085		15845	16804	complete	NZ_CP161904.1:894302-893343
gene-BB_RS00090		16807	17787	complete	NZ_CP161904.1:893340-892360
gene-BB_RS00095		17792	18304	complete	NZ_CP161904.1:892355-891843
gene-BB_RS00100		18312	19979	complete	NZ_CP161904.1:891835-890168
gene-BB_RS00105		20051	21083	complete	NZ_CP161904.1:890096-889064
gene-BB_RS00110		21058	22101	complete	NZ_CP161904.1:889089-888046
gene-BB_RS00115		22146	22739	complete	NZ_CP161904.1:888001-887408
gene-BB_RS00120		22819	23958	complete	NZ_CP161904.1:887328-886189
gene-BB_RS00125		23965	24696	complete	NZ_CP161904.1:886182-885451
gene-BB_RS00130		24697	25602	complete	NZ_CP161904.1:885450-884545
gene-BB_RS00135		25753	26391	complete	NZ_CP161904.1:884394-883756
gene-BB_RS00140		26399	27448	complete	NZ_CP161904.1:883748-882699
gene-BB_RS00145		27434	27865	complete	NZ_CP161904.1:882713-882282
gene-BB_RS00150		27855	28490	complete	NZ_CP161904.1:882292-881657
gene-BB_RS00155		28492	29472	complete	NZ_CP161904.1:881655-880675
gene-BB_RS00160		29543	31015	complete	NZ_CP161904.1:880604-879132
gene-BB_RS00165		31027	31479	complete	NZ_CP161904.1:879120-878668
gene-BB_RS00170		31550	32089	complete	NZ_CP161904.1:878597-878058
gene-BB_RS00175		32157	34037	complete	NZ_CP161904.1:877990-876110
gene-BB_RS00180		34037	35836	complete	NZ_CP161904.1:876110-874311
gene-BB_RS00185		35857	36609	complete	NZ_CP161904.1:874290-873538
gene-BB_RS00190		36606	38123	complete	NZ_CP161904.1:873541-872024
gene-BB_RS00195		38136	39638	complete	NZ_CP161904.1:872011-870509
gene-BB_RS00200		39826	40677	complete	NZ_CP161904.1:870321-869470
gene-BB_RS00205		40761	41432	complete	NZ_CP161904.1:869386-868715
gene-BB_RS00210		41443	42483	complete	NZ_CP161904.1:868704-867664
gene-BB_RS00215		42480	42881	complete	NZ_CP161904.1:867667-867266
gene-BB_RS00220		42907	45354	complete	NZ_CP161904.1:867240-864793
gene-BB_RS00225		45446	45991	complete	NZ_CP161904.1:864701-864156
gene-BB_RS00230		46011	46379	complete	NZ_CP161904.1:864136-863768
gene-BB_RS00235		46530	46601	complete	NZ_CP161904.1:863617-863546
rna-BB_RS00235		46530	46601	complete	NZ_CP161904.1:863617-863546
exon-BB_RS00235-1		46530	46601	complete	NZ_CP161904.1:863617-863546
gene-BB_RS00240		46688	47049	complete	NZ_CP161904.1:863459-863098
rna-BB_RS00240		46688	47049	complete	NZ_CP161904.1:863459-863098
exon-BB_RS00240-1		46688	47049	complete	NZ_CP161904.1:863459-863098
gene-BB_RS00245		47167	47841	complete	NZ_CP161904.1:862980-862306
gene-BB_RS00250		47917	48606	complete	NZ_CP161904.1:862230-861541
gene-BB_RS00255		48603	49259	complete	NZ_CP161904.1:861544-860888
gene-BB_RS00260		49341	50012	complete	NZ_CP161904.1:860806-860135
gene-BB_RS00265		50112	50474	complete	NZ_CP161904.1:860035-859673
gene-BB_RS00270		50490	51251	complete	NZ_CP161904.1:859657-858896
gene-BB_RS00275		51253	52434	complete	NZ_CP161904.1:858894-857713
gene-BB_RS00280		52454	53461	complete	NZ_CP161904.1:857693-856686
gene-BB_RS00285		53534	55504	complete	NZ_CP161904.1:856613-854643
gene-BB_RS00290		55501	56280	complete	NZ_CP161904.1:854646-853867
gene-BB_RS00295		56281	56748	complete	NZ_CP161904.1:853866-853399
gene-BB_RS00300		56832	57185	complete	NZ_CP161904.1:853315-852962
gene-BB_RS00305		57259	57975	complete	NZ_CP161904.1:852888-852172
gene-BB_RS00310		58029	59036	complete	NZ_CP161904.1:852118-851111
gene-BB_RS00315		59101	60039	complete	NZ_CP161904.1:851046-850108
gene-BB_RS00320		60036	60533	complete	NZ_CP161904.1:850111-849614
gene-BB_RS00325		60568	61257	complete	NZ_CP161904.1:849579-848890
gene-BB_RS00330		61254	63032	complete	NZ_CP161904.1:848893-847115
gene-BB_RS00335		63147	64028	complete	NZ_CP161904.1:847000-846119
gene-BB_RS00340		64038	65276	complete	NZ_CP161904.1:846109-844871
gene-BB_RS00345		65291	65752	complete	NZ_CP161904.1:844856-844395
gene-BB_RS00350		65768	67240	complete	NZ_CP161904.1:844379-842907
gene-BB_RS00355		67248	69569	complete	NZ_CP161904.1:842899-840578
gene-BB_RS00360		69566	70126	complete	NZ_CP161904.1:840581-840021
gene-BB_RS00365		70142	71219	complete	NZ_CP161904.1:840005-838928
gene-BB_RS00370		71201	72610	complete	NZ_CP161904.1:838946-837537
gene-BB_RS00375		72647	73492	complete	NZ_CP161904.1:837500-836655
gene-BB_RS00380		73489	74517	complete	NZ_CP161904.1:836658-835630
gene-BB_RS00385		74518	75772	complete	NZ_CP161904.1:835629-834375
gene-BB_RS00390		75774	76454	complete	NZ_CP161904.1:834373-833693
gene-BB_RS00395		76451	77701	complete	NZ_CP161904.1:833696-832446
gene-BB_RS00400		77711	79009	complete	NZ_CP161904.1:832436-831138
gene-BB_RS00405		79002	79322	complete	NZ_CP161904.1:831145-830825
gene-BB_RS00410		79505	80773	complete	NZ_CP161904.1:830642-829374
gene-BB_RS00415		80983	81408	complete	NZ_CP161904.1:829164-828739
gene-BB_RS00420		81405	82940	complete	NZ_CP161904.1:828742-827207
gene-BB_RS00425		82970	83920	complete	NZ_CP161904.1:827177-826227
gene-BB_RS00430		84041	85840	complete	NZ_CP161904.1:826106-824307
gene-BB_RS00435		85880	86854	complete	NZ_CP161904.1:824267-823293
gene-BB_RS00440		86926	87360	complete	NZ_CP161904.1:823221-822787
gene-BB_RS00445		87377	89203	complete	NZ_CP161904.1:822770-820944
gene-BB_RS00450		89200	89808	complete	NZ_CP161904.1:820947-820339
gene-BB_RS00455		89811	91115	complete	NZ_CP161904.1:820336-819032
gene-BB_RS00460		91137	92864	complete	NZ_CP161904.1:819010-817283
gene-BB_RS00465		92878	93423	complete	NZ_CP161904.1:817269-816724
gene-BB_RS00470		93433	94032	complete	NZ_CP161904.1:816714-816115
gene-BB_RS00475		94219	94605	complete	NZ_CP161904.1:815928-815542
gene-BB_RS00480		94611	96953	complete	NZ_CP161904.1:815536-813194
