"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ESI26","UCT109","UCT110","UCT113","UCT29","UCT30","UCT31","UCT32","UCT35","UCT50","UCT92","UCT96","UNY149","UNY169","UNY172","UNY193","UNY203","UNY208","URI101","URI102","URI103","URI107","URI111","URI112","URI117","URI118","URI120","URI33","URI34","URI36","URI39","URI40","URI41","URI42","URI44","URI46","URI47","URI48","URI56","URI86","URI87","URI88","URI89","URI91","URI93","UWI247","UWI248","UWI263","UWI283"
"Cytosolic protein","","Cytosolic protein","49","49","1","63","3286","","","","2756","4397","4316","CKDGNL_00260","AIHAAB_01290","APIDPD_01925","HCLMIK_00250","DNBOAP_01290","DLCMNL_00250","GCGJFL_01290","AMNIDF_01925","JODKDA_01920","ANPAAP_01920","KCCBHE_00250","AINDPC_01920","NAHIGD_04010","GMPCOK_02825","EFMOJC_03750","KFEJKD_04375","GDPOAI_03310","CGENMI_04010","KLACFF_01290","BOHBDJ_01290","BIKOAE_01925","BAPHAO_01290","EGFPMN_01925","JIDBHP_01925","NKPDPH_01920","PIKJEB_00245","OFFMIL_00255","JHFDLE_01920","AFNEPP_00730","HCFOCN_01920","EPICMG_00260","BLADBF_01925","KKNGOI_00265","LIJDDG_01925","HFKOMI_00245","CENHHB_00250","GDCPBO_00250","HEGNPG_01920","EFDIJO_00035","GEBMJB_00250","NCOCKI_01290","OHAJAL_00245","CIPKDF_01290","DMHAMM_01290","AGFJGC_01290","GGIAGI_01890","AEKFMC_03510","EMEHFM_02570","LGKPKB_03110"
"hMG1","","hydroxymethylglutaryl-CoA reductase, degradative","49","49","1","63","748","","","","1142","1295","1273","CKDGNL_00820","AIHAAB_00730","APIDPD_01365","HCLMIK_00810","DNBOAP_00730","DLCMNL_00810","GCGJFL_00730","AMNIDF_01365","JODKDA_01360","ANPAAP_01360","KCCBHE_00810","AINDPC_01360","NAHIGD_03450","GMPCOK_02265","EFMOJC_03190","KFEJKD_02390","GDPOAI_04820","CGENMI_03450","KLACFF_00730","BOHBDJ_00730","BIKOAE_01365","BAPHAO_00730","EGFPMN_01365","JIDBHP_01365","NKPDPH_01360","PIKJEB_00805","OFFMIL_00815","JHFDLE_01360","AFNEPP_01290","HCFOCN_01360","EPICMG_00820","BLADBF_01365","KKNGOI_00825","LIJDDG_01365","HFKOMI_00805","CENHHB_00810","GDCPBO_00810","HEGNPG_01360","EFDIJO_00595","GEBMJB_00810","NCOCKI_00730","OHAJAL_00800","CIPKDF_00730","DMHAMM_00730","AGFJGC_00730","GGIAGI_03300","AEKFMC_02115","EMEHFM_01720","LGKPKB_03750"
"group_1091","Lipoprotein","Lipoprotein","49","49","1","63","240","","","","284","284","284","CKDGNL_03140","AIHAAB_02510","APIDPD_03140","HCLMIK_03135","DNBOAP_02510","DLCMNL_03135","GCGJFL_01620","AMNIDF_03135","JODKDA_02280","ANPAAP_03280","KCCBHE_02245","AINDPC_03115","NAHIGD_01110","GMPCOK_03765","EFMOJC_03875","KFEJKD_02330","GDPOAI_01125","CGENMI_01110","KLACFF_02510","BOHBDJ_02510","BIKOAE_02250","BAPHAO_02510","EGFPMN_03145","JIDBHP_03140","NKPDPH_03125","PIKJEB_02495","OFFMIL_01620","JHFDLE_03130","AFNEPP_06145","HCFOCN_03130","EPICMG_01625","BLADBF_03145","KKNGOI_02520","LIJDDG_03145","HFKOMI_02240","CENHHB_03135","GDCPBO_03135","HEGNPG_03130","EFDIJO_02030","GEBMJB_03135","NCOCKI_02510","OHAJAL_03125","CIPKDF_02510","DMHAMM_02510","AGFJGC_02510","GGIAGI_02515","AEKFMC_03885","EMEHFM_00655","LGKPKB_04360"
"BBA07 family lipoprotein","","BBA07 family lipoprotein","49","49","1","64","47","","","","473","566","478","CKDGNL_04545","AIHAAB_04550","APIDPD_04545","HCLMIK_04540","DNBOAP_04550","DLCMNL_04540","GCGJFL_04275","AMNIDF_04540","JODKDA_04580","ANPAAP_04540","KCCBHE_04540","AINDPC_04250","NAHIGD_04555","GMPCOK_04555","EFMOJC_00440","KFEJKD_05415","GDPOAI_04645","CGENMI_04550","KLACFF_04550","BOHBDJ_04550","BIKOAE_04545","BAPHAO_04550","EGFPMN_04555","JIDBHP_04545","NKPDPH_04495","PIKJEB_04490","OFFMIL_04545","JHFDLE_04580","AFNEPP_04765","HCFOCN_04540","EPICMG_04560","BLADBF_04280","KKNGOI_04560","LIJDDG_04555","HFKOMI_04535","CENHHB_04540","GDCPBO_04540","HEGNPG_04260","EFDIJO_04540","GEBMJB_04540","NCOCKI_04550","OHAJAL_05095","CIPKDF_04550","DMHAMM_04550","AGFJGC_04550","GGIAGI_05050","AEKFMC_04910","EMEHFM_03965","LGKPKB_05635"
"Queuine tRNA-ribosyltransferase","","Queuine tRNA-ribosyltransferase","49","49","1","63","3270","","","","1127","1127","1127","CKDGNL_00185","AIHAAB_01365","APIDPD_02000","HCLMIK_00175","DNBOAP_01365","DLCMNL_00175","GCGJFL_01365","AMNIDF_02000","JODKDA_01995","ANPAAP_01995","KCCBHE_00175","AINDPC_01995","NAHIGD_04085","GMPCOK_02900","EFMOJC_05970","KFEJKD_03015","GDPOAI_04465","CGENMI_04085","KLACFF_01365","BOHBDJ_01365","BIKOAE_02000","BAPHAO_01365","EGFPMN_02000","JIDBHP_02000","NKPDPH_01995","PIKJEB_00170","OFFMIL_00180","JHFDLE_01995","AFNEPP_00070","HCFOCN_01995","EPICMG_00185","BLADBF_02000","KKNGOI_00190","LIJDDG_02000","HFKOMI_00170","CENHHB_00175","GDCPBO_00175","HEGNPG_01995","EFDIJO_04200","GEBMJB_00175","NCOCKI_01365","OHAJAL_00170","CIPKDF_01365","DMHAMM_01365","AGFJGC_01365","GGIAGI_03535","AEKFMC_03435","EMEHFM_03260","LGKPKB_03885"
"ykwD","","Uncharacterized protein BB_0689","49","49","1","63","752","","","","407","467","465","CKDGNL_00795","AIHAAB_00755","APIDPD_01390","HCLMIK_00785","DNBOAP_00755","DLCMNL_00785","GCGJFL_00755","AMNIDF_01390","JODKDA_01385","ANPAAP_01385","KCCBHE_00785","AINDPC_01385","NAHIGD_03475","GMPCOK_02290","EFMOJC_03215","KFEJKD_02415","GDPOAI_04845","CGENMI_03475","KLACFF_00755","BOHBDJ_00755","BIKOAE_01390","BAPHAO_00755","EGFPMN_01390","JIDBHP_01390","NKPDPH_01385","PIKJEB_00780","OFFMIL_00790","JHFDLE_01385","AFNEPP_01265","HCFOCN_01385","EPICMG_00795","BLADBF_01390","KKNGOI_00800","LIJDDG_01390","HFKOMI_00780","CENHHB_00785","GDCPBO_00785","HEGNPG_01385","EFDIJO_00570","GEBMJB_00785","NCOCKI_00755","OHAJAL_00775","CIPKDF_00755","DMHAMM_00755","AGFJGC_00755","GGIAGI_03325","AEKFMC_02090","EMEHFM_01695","LGKPKB_03775"
"fni","","type 2 isopentenyl-diphosphate Delta-isomerase","49","49","1","63","747","","","","1064","1064","1064","CKDGNL_00825","AIHAAB_00725","APIDPD_01360","HCLMIK_00815","DNBOAP_00725","DLCMNL_00815","GCGJFL_00725","AMNIDF_01360","JODKDA_01355","ANPAAP_01355","KCCBHE_00815","AINDPC_01355","NAHIGD_03445","GMPCOK_02260","EFMOJC_03185","KFEJKD_02385","GDPOAI_02885","CGENMI_03445","KLACFF_00725","BOHBDJ_00725","BIKOAE_01360","BAPHAO_00725","EGFPMN_01360","JIDBHP_01360","NKPDPH_01355","PIKJEB_00810","OFFMIL_00820","JHFDLE_01355","AFNEPP_01295","HCFOCN_01355","EPICMG_00825","BLADBF_01360","KKNGOI_00830","LIJDDG_01360","HFKOMI_00810","CENHHB_00815","GDCPBO_00815","HEGNPG_01355","EFDIJO_00600","GEBMJB_00815","NCOCKI_00725","OHAJAL_00805","CIPKDF_00725","DMHAMM_00725","AGFJGC_00725","GGIAGI_03295","AEKFMC_02120","EMEHFM_01725","LGKPKB_03745"
"gatC","","Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC","49","49","1","63","357","","","","275","275","275","CKDGNL_02565","AIHAAB_01935","APIDPD_02565","HCLMIK_02560","DNBOAP_01935","DLCMNL_02560","GCGJFL_02195","AMNIDF_02560","JODKDA_02855","ANPAAP_03855","KCCBHE_02820","AINDPC_02540","NAHIGD_01685","GMPCOK_00505","EFMOJC_04450","KFEJKD_02535","GDPOAI_02015","CGENMI_01685","KLACFF_01935","BOHBDJ_01935","BIKOAE_02825","BAPHAO_01935","EGFPMN_02570","JIDBHP_02565","NKPDPH_02550","PIKJEB_01920","OFFMIL_02195","JHFDLE_02555","AFNEPP_05570","HCFOCN_02555","EPICMG_02200","BLADBF_02570","KKNGOI_01945","LIJDDG_02570","HFKOMI_02815","CENHHB_02560","GDCPBO_02560","HEGNPG_02555","EFDIJO_02605","GEBMJB_02560","NCOCKI_01935","OHAJAL_02550","CIPKDF_01935","DMHAMM_01935","AGFJGC_01935","GGIAGI_00355","AEKFMC_01355","EMEHFM_00740","LGKPKB_01610"
"ftsK","","DNA translocase FtsK","49","49","1","63","272","","","","1880","2363","2333","CKDGNL_02975","AIHAAB_02345","APIDPD_02975","HCLMIK_02970","DNBOAP_02345","DLCMNL_02970","GCGJFL_01785","AMNIDF_02970","JODKDA_02445","ANPAAP_03445","KCCBHE_02410","AINDPC_02950","NAHIGD_01275","GMPCOK_00090","EFMOJC_04040","KFEJKD_04720","GDPOAI_04435","CGENMI_01275","KLACFF_02345","BOHBDJ_02345","BIKOAE_02415","BAPHAO_02345","EGFPMN_02980","JIDBHP_02975","NKPDPH_02960","PIKJEB_02330","OFFMIL_01785","JHFDLE_02965","AFNEPP_05980","HCFOCN_02965","EPICMG_01790","BLADBF_02980","KKNGOI_02355","LIJDDG_02980","HFKOMI_02405","CENHHB_02970","GDCPBO_02970","HEGNPG_02965","EFDIJO_02195","GEBMJB_02970","NCOCKI_02345","OHAJAL_02960","CIPKDF_02345","DMHAMM_02345","AGFJGC_02345","GGIAGI_03240","AEKFMC_01765","EMEHFM_03785","LGKPKB_01200"
"bppB","","BppB","49","49","1","64","65","","","","431","431","431","CKDGNL_04470","AIHAAB_04475","APIDPD_04470","HCLMIK_04465","DNBOAP_04475","DLCMNL_04465","GCGJFL_04350","AMNIDF_04465","JODKDA_04505","ANPAAP_04465","KCCBHE_04465","AINDPC_04325","NAHIGD_04480","GMPCOK_04480","EFMOJC_00365","KFEJKD_03975","GDPOAI_04370","CGENMI_04475","KLACFF_04475","BOHBDJ_04475","BIKOAE_04470","BAPHAO_04475","EGFPMN_04480","JIDBHP_04470","NKPDPH_04420","PIKJEB_04415","OFFMIL_04470","JHFDLE_04655","AFNEPP_04690","HCFOCN_04465","EPICMG_04485","BLADBF_04355","KKNGOI_04485","LIJDDG_04480","HFKOMI_04460","CENHHB_04465","GDCPBO_04465","HEGNPG_04335","EFDIJO_04465","GEBMJB_04465","NCOCKI_04475","OHAJAL_05020","CIPKDF_04475","DMHAMM_04475","AGFJGC_04475","GGIAGI_04835","AEKFMC_05035","EMEHFM_03600","LGKPKB_04255"
