All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     UNY149P
# misassemblies              21     
  # contig misassemblies     21     
    # c. relocations         5      
    # c. translocations      16     
    # c. inversions          0      
  # scaffold misassemblies   0      
    # s. relocations         0      
    # s. translocations      0      
    # s. inversions          0      
# misassembled contigs       11     
Misassembled contigs length  1211948
# local misassemblies        21     
# scaffold gap ext. mis.     0      
# scaffold gap loc. mis.     0      
# unaligned mis. contigs     3      
# mismatches                 10401  
# indels                     615    
    # indels (<= 5 bp)       552    
    # indels (> 5 bp)        63     
Indels length                3393   
